Time [s],Channel 0,Channel 1
0.000000000,0,0
11.024615840,1,0
11.024892480,1,1
11.025203680,0,1
11.025543680,0,0
11.025989760,1,0
11.026391840,1,1
11.026977280,0,1
11.027452320,0,0
11.028209280,1,0
11.028746400,1,1
11.029688640,0,1
11.030286560,0,0
11.031415040,1,0
11.032075520,1,1
11.033389440,0,1
11.034111680,0,0
11.035610880,1,0
11.036395520,1,1
11.038080000,0,1
11.038927200,0,0
11.040796640,1,0
11.041705600,1,1
11.043760800,0,1
11.044731840,0,0
11.046972320,1,0
11.048005440,1,1
11.050431360,0,1
11.051525600,0,0
11.054137600,1,0
11.055293920,1,1
11.058091360,0,1
11.059309920,0,0
11.062292640,1,0
11.063573120,1,1
11.066741440,0,1
11.068084320,0,0
11.071437600,1,0
11.072842240,1,1
11.076380960,0,1
11.077848000,0,0
11.081572320,1,0
11.083101760,1,1
11.087011200,0,1
11.088601920,0,0
11.092697600,1,0
11.094350080,1,1
11.098631200,0,1
11.100345920,0,0
11.104812480,1,0
11.106589440,1,1
11.111241280,0,1
11.113080000,0,0
11.117916960,1,0
11.119817920,1,1
11.124840480,0,1
11.126803520,0,0
11.132011360,1,0
11.134036640,1,1
11.139429760,0,1
11.141516160,0,0
11.147095840,1,0
11.149244480,1,1
11.155009120,0,1
11.157219840,0,0
11.163169920,1,0
11.165442240,1,1
11.171578080,0,1
11.173913120,0,0
11.180233760,1,0
11.182631360,1,1
11.182645920,0,1
11.182922880,0,0
11.183229280,1,0
11.183568960,1,1
11.184015360,0,1
11.184416960,0,0
11.185003040,1,0
11.185477440,1,1
11.186234880,0,1
11.186771360,0,0
11.187714240,1,0
11.188312960,1,1
11.189440800,0,1
11.190101440,0,0
11.191415040,1,0
11.192137920,1,1
11.193636640,0,1
11.194421760,0,0
11.196105920,1,0
11.196952640,1,1
11.198822880,0,1
11.199731040,0,0
11.201787040,1,0
11.202757440,1,1
11.204998720,0,1
11.206031200,0,0
11.208457920,1,0
11.209552800,1,1
11.212164160,0,1
11.213320800,0,0
11.216118080,1,0
11.217337120,1,1
11.220319680,0,1
11.221600800,0,0
11.224768480,1,0
11.226111200,1,1
11.229464960,0,1
11.230868960,0,0
11.234408640,1,0
11.235875200,1,1
11.239600000,0,1
11.241128800,0,0
11.245039040,1,0
11.246630240,1,1
11.250725440,0,1
11.252378080,0,0
11.256658880,1,0
11.258373920,1,1
11.262840320,0,1
11.264617600,0,0
11.269269120,1,0
11.271107360,1,1
11.275945120,0,1
11.277845440,0,0
11.282868800,1,0
11.284831040,1,1
11.290039680,0,1
11.292064480,0,0
11.297458560,1,0
11.299545760,1,1
11.305124800,0,1
11.307273760,0,0
11.313038400,1,0
11.315249440,1,1
11.321199520,0,1
11.323472800,0,0
11.329608000,1,0
11.331942880,1,1
11.338264320,0,1
11.340660960,0,0
11.340676160,1,0
11.340952480,1,1
11.341254720,0,1
11.341595040,0,0
11.342040960,1,0
11.342443040,1,1
11.343028480,0,1
11.343503360,0,0
11.344260480,1,0
11.344797440,1,1
11.345739840,0,1
11.346338080,0,0
11.347466240,1,0
11.348126720,1,1
11.349440640,0,1
11.350162880,0,0
11.351662240,1,0
11.352446560,1,1
11.354131360,0,1
11.354978720,0,0
11.356848160,1,0
11.357757120,1,1
11.359812320,0,1
11.360783200,0,0
11.363024000,1,0
11.364057120,1,1
11.366483040,0,1
11.367577440,0,0
11.370189440,1,0
11.371345920,1,1
11.374143360,0,1
11.375361600,0,0
11.378344960,1,0
11.379625440,1,1
11.382793920,0,1
11.384137280,0,0
11.387490400,1,0
11.388895200,1,1
11.392434240,0,1
11.393901120,0,0
11.397625760,1,0
11.399155040,1,1
11.403064800,0,1
11.404655360,0,0
11.408751200,1,0
11.410403680,1,1
11.414684960,0,1
11.416399520,0,0
11.420866400,1,0
11.422643040,1,1
11.427295360,0,1
11.429134240,0,0
11.433971360,1,0
11.435872480,1,1
11.440895200,0,1
11.442857600,0,0
11.448065920,1,0
11.450091520,1,1
11.455484960,0,1
11.457571680,0,0
11.463151200,1,0
11.465300000,1,1
11.471064960,0,1
11.473275360,0,0
11.479226080,1,0
11.481498560,1,1
