Time [s],Channel 0,Channel 1
20.912048480,0,0
24.655570720,1,0
24.657230080,1,1
24.661884800,0,1
24.662426240,1,1
24.664276800,0,1
24.664535360,0,0
24.664568320,0,1
24.664599680,0,0
24.669511200,1,0
24.671412160,1,1
24.671799520,0,1
24.672211200,0,0
24.676122240,1,0
24.677712800,1,1
24.677728960,0,1
24.678005920,0,0
24.678092320,1,0
24.678368640,1,1
24.678492960,0,1
24.678769120,0,0
24.679450560,1,0
24.679924960,1,1
24.679941440,0,1
24.680218080,0,0
24.680295040,1,0
24.680571840,1,1
24.681808800,0,1
24.682469600,0,0
24.685823680,1,0
24.687227840,1,1
24.687244320,0,1
24.687521120,0,0
24.687597760,1,0
24.687874720,1,1
24.688369920,0,1
24.688771680,0,0
24.693623040,1,0
24.695523360,1,1
24.695540000,0,1
24.695816800,0,0
24.695900480,1,0
24.696177440,1,1
24.696301120,0,1
24.696577280,0,0
24.700596320,1,0
24.702187200,1,1
24.703501440,0,1
24.704224480,0,0
24.704240320,1,0
24.704517280,1,1
24.704603840,0,1
24.704880000,0,0
24.705376000,1,0
24.705778080,1,1
24.708589440,0,1
24.709808480,0,0
24.709824320,1,0
24.710100480,1,1
24.710206560,0,1
24.710482720,0,0
24.713018400,1,0
24.714113120,1,1
24.718394080,0,1
24.720108960,0,0
24.720124800,1,0
24.720401280,1,1
24.720509440,0,1
24.720785440,0,0
24.727217120,1,0
24.729613600,1,1
24.731670080,0,1
24.732640640,0,0
24.735809920,1,0
24.737152960,1,1
24.737168960,0,1
24.737445760,0,0
24.737512960,1,0
24.737789280,1,1
24.742179200,0,1
24.743893920,0,0
24.747248480,1,0
24.748653600,1,1
24.748669280,0,1
24.748945600,0,0
24.749015680,1,0
24.749292000,1,1
24.752940320,0,1
24.754406880,0,0
24.756834400,1,0
24.757929600,1,1
24.757945440,0,1
24.758221600,0,0
24.758318560,1,0
24.758594720,1,1
24.762428480,0,1
24.763957120,0,0
24.765457120,1,0
24.766242240,1,1
24.766258080,0,1
24.766534240,0,0
24.766621280,1,0
24.766897600,1,1
24.767021920,0,1
24.767298720,0,0
24.768164960,1,0
24.768702240,1,1
24.771499840,0,1
24.772719040,0,0
24.772735040,1,0
24.773011360,1,1
24.773124640,0,1
24.773400960,0,0
24.778161760,1,0
24.780001120,1,1
24.782798880,0,1
24.784017760,0,0
24.784033760,1,0
24.784309920,1,1
24.784427360,0,1
24.784703680,0,0
24.790577120,1,0
24.792787840,1,1
24.796513280,0,1
24.798042080,0,0
24.798058240,1,0
24.798335200,1,1
24.798430240,0,1
24.798706560,0,0
24.798830880,1,0
24.799107200,1,1
24.801086560,0,1
24.801995040,0,0
24.805906080,1,0
24.807497120,1,1
24.807512960,0,1
24.807789920,0,0
24.807933760,1,0
24.808209920,1,1
24.812229120,0,1
24.813819840,0,0
24.816988800,1,0
24.818331200,1,1
24.818347680,0,1
24.818624160,0,0
24.818736480,1,0
24.819013120,1,1
24.822290240,0,1
24.823632640,0,0
24.824391200,1,0
24.824927680,1,1
24.824944160,0,1
24.825220960,0,0
24.825339200,1,0
24.825616160,1,1
24.828151200,0,1
24.829245280,0,0
24.832970880,1,0
24.834499680,1,1
24.840635360,0,1
24.842970240,0,0
24.842986560,1,0
24.843262880,1,1
24.843342720,0,1
24.843619520,0,0
24.847823680,1,0
24.849476320,1,1
24.852460160,0,1
24.853741120,0,0
24.853756960,1,0
24.854033920,1,1
24.854145600,0,1
24.854421760,0,0
24.857884800,1,0
24.859290240,1,1
24.863756800,0,1
24.865533280,0,0
24.865549600,1,0
24.865825920,1,1
24.865948320,0,1
24.866225120,0,0
24.872654400,1,0
24.875050720,1,1
24.878220000,0,1
24.879563040,0,0
24.879578720,1,0
24.879855200,1,1
24.879951200,0,1
24.880227520,0,0
24.880351840,1,0
24.880628480,1,1
24.883163840,0,1
24.884258080,0,0
24.887983520,1,0
24.889512160,1,1
24.889528480,0,1
24.889805120,0,0
24.889954720,1,0
24.890231520,1,1
24.896660800,0,1
24.899057600,0,0
24.902411680,1,0
24.903816320,1,1
24.903832800,0,1
24.904109280,0,0
24.904257600,1,0
24.904534400,1,1
24.910221920,0,1
24.912371200,0,0
24.913870880,1,0
24.914655680,1,1
24.914671520,0,1
