Time [s],Channel 0,Channel 1
0.000000000,0,0
21.285939840,1,0
21.286217280,1,1
21.286385120,0,1
21.286663040,0,0
21.287351840,1,0
21.287710080,1,1
21.287877440,0,1
21.288155200,0,0
21.288615520,1,0
21.288892960,1,1
21.289857760,0,1
21.290134720,0,0
21.290609600,1,0
21.290977600,1,1
21.290993600,0,1
21.291270400,0,0
21.291371840,1,0
21.291649760,1,1
21.292670880,0,1
21.292948320,0,0
21.293152480,1,0
21.293429440,1,1
21.293597600,0,1
21.293875520,0,0
21.293986560,1,0
21.294263520,1,1
21.295229440,0,1
21.295506240,0,0
21.295979840,1,0
21.296332800,1,1
21.296359040,0,1
21.296635840,0,0
21.297085600,1,0
21.297414240,1,1
21.297611200,0,1
21.297888320,0,0
21.298556320,1,0
21.298833280,1,1
21.299301920,0,1
21.299579200,0,0
21.299686720,1,0
21.300083680,1,1
21.300100000,0,1
21.300377440,0,0
21.301216320,1,0
21.301493120,1,1
21.302197920,0,1
21.302520640,0,0
21.302688960,1,0
21.302966240,1,1
21.303176800,0,1
21.303498720,0,0
21.304001120,1,0
21.304278720,1,1
21.304982240,0,1
21.305304480,0,0
21.305472960,1,0
21.305750400,1,1
21.305961280,0,1
21.306282880,0,0
21.306484160,1,0
21.306761600,1,1
21.306868640,0,1
21.307146080,0,0
21.307571360,1,0
21.307848160,1,1
21.307970400,0,1
21.308248320,0,0
21.308375200,1,0
21.308652800,1,1
21.309448000,0,1
21.309724800,0,0
21.310193280,1,0
21.310471360,1,1
21.310581760,0,1
21.310938560,0,0
21.311309440,1,0
21.311586720,1,1
21.311674880,0,1
21.311952320,0,0
21.312377440,1,0
21.312654400,1,1
21.312776640,0,1
21.313054400,0,0
21.313183680,1,0
21.313506080,1,1
21.314004800,0,1
21.314281600,0,0
21.314979840,1,0
21.315257600,1,1
21.315779200,0,1
21.316056640,0,0
21.316312960,1,0
21.316590400,1,1
21.316691360,0,1
21.316968640,0,0
21.317227200,1,0
21.317504000,1,1
21.317701920,0,1
21.317979360,0,0
21.318083200,1,0
21.318360640,1,1
21.318483840,0,1
21.318760800,0,0
21.319186400,1,0
21.319463200,1,1
21.320189760,0,1
21.320512640,0,0
21.320680160,1,0
21.320958080,1,1
21.321213280,0,1
21.321490720,0,0
21.321992800,1,0
21.322269600,1,1
21.322992160,0,1
21.323314720,0,0
21.323482560,1,0
21.323760000,1,1
21.324015840,0,1
21.324292960,0,0
21.324493440,1,0
21.324771040,1,1
21.325489760,0,1
21.325766880,0,0
21.325934880,1,0
21.326212960,1,1
21.326302560,0,1
21.326579360,0,0
21.326780800,1,0
21.327057600,1,1
21.327792640,0,1
21.328070080,0,0
21.328844640,1,0
21.329166880,1,1
21.329335520,0,1
21.329612800,0,0
21.329827200,1,0
21.330148640,1,1
21.330349760,0,1
21.330627200,0,0
21.330698240,1,0
21.330975840,1,1
21.331098880,0,1
21.331375680,0,0
21.331499520,1,0
21.331776480,1,1
21.332498560,0,1
21.332775840,0,0
21.333550400,1,0
21.333872800,1,1
21.334352000,0,1
21.334671200,0,0
21.335052800,1,0
21.335329600,1,1
21.335430880,0,1
21.335708800,0,0
21.335810240,1,0
21.336132160,1,1
21.336631520,0,1
21.336908160,0,0
21.337009440,1,0
21.337287360,1,1
21.337412640,0,1
21.337734400,0,0
21.338233920,1,0
21.338510720,1,1
21.339216000,0,1
21.339545440,0,0
21.339706560,1,0
21.339984160,1,1
21.340194880,0,1
21.340516960,0,0
21.340717280,1,0
21.340994240,1,1
21.341413120,0,1
21.341689760,0,0
21.341812160,1,0
21.342090080,1,1
21.342219360,0,1
21.342541120,0,0
21.342739040,1,0
21.343015840,1,1
21.343416000,0,1
21.343693120,0,0
21.344418880,1,0
21.344741120,1,1
21.344909280,0,1
21.345187200,0,0
21.345397440,1,0
21.345719040,1,1
21.346221440,0,1
21.346498240,0,0
21.347221760,1,0
21.347544640,1,1
21.347712320,0,1
21.347990080,0,0
21.348199680,1,0
21.348522080,1,1
21.349023680,0,1
21.349300480,0,0
21.350025280,1,0
21.350348000,1,1
21.350515680,0,1
21.350792960,0,0
21.351003840,1,0
21.351325760,1,1
21.351526080,0,1
21.351803520,0,0
21.352522560,1,0
21.352799520,1,1
21.352967680,0,1
21.353245760,0,0
21.353329280,1,0
21.353606080,1,1
21.353807360,0,1
21.354084160,0,0
21.354825440,1,0
21.355102720,1,1
21.355877120,0,1
21.356199680,0,0
21.356368320,1,0
21.356645600,1,1
21.356853920,0,1
21.357130560,0,0
21.357837920,1,0
21.358160320,1,1
21.358632160,0,1
21.358909600,0,0
21.359169440,1,0
21.359446880,1,1
21.359547520,0,1
21.359824800,0,0
21.360635840,1,0
21.360957600,1,1
21.361433760,0,1
21.361753280,0,0
21.362427840,1,0
21.362704800,1,1
21.362873120,0,1
21.363150400,0,0
21.363263680,1,0
21.363540320,1,1
21.364339360,0,1
21.364616800,0,0
21.365391040,1,0
21.365713440,1,1
21.365739680,0,1
21.366016960,0,0
21.366185120,1,0
21.366462400,1,1
21.367021600,0,1
21.367299040,0,0
21.367506240,1,0
21.367783840,1,1
21.367884960,0,1
21.368162080,0,0
21.368249120,1,0
21.368571040,1,1
21.369366400,0,1
21.369643840,0,0
21.369811200,1,0
21.370089120,1,1
21.370343680,0,1
21.370620960,0,0
21.370745920,1,0
21.371022880,1,1
21.371146560,0,1
21.371423520,0,0
21.371849120,1,0
21.372126560,1,1
21.372851840,0,1
21.373174080,0,0
21.373342240,1,0
21.373620160,1,1
21.373830240,0,1
21.374151840,0,0
21.374654400,1,0
21.374931360,1,1
21.375654880,0,1
21.375977760,0,0
21.376145280,1,0
21.376423200,1,1
21.376627360,0,1
21.376910880,0,0
21.377155200,1,0
21.377432160,1,1
21.378152480,0,1
21.378429280,0,0
21.378597600,1,0
21.378874880,1,1
21.378961760,0,1
21.379283520,0,0
21.379484640,1,0
21.379762080,1,1
21.380455360,0,1
21.380732640,0,0
21.380900480,1,0
21.381178240,1,1
21.381258880,0,1
21.381536320,0,0
21.381663680,1,0
21.381940640,1,1
21.382141760,0,1
21.382418560,0,0
21.382560640,1,0
21.382837920,1,1
21.382961280,0,1
21.383238720,0,0
21.383361920,1,0
21.383638880,1,1
21.384360800,0,1
21.384637600,0,0
21.385412480,1,0
21.385735040,1,1
21.385903680,0,1
21.386181760,0,0
21.386439840,1,0
21.386716800,1,1
21.386918080,0,1
21.387194880,0,0
21.387266400,1,0
21.387543840,1,1
21.387667040,0,1
21.387944800,0,0
21.388067680,1,0
21.388344640,1,1
21.388468320,0,1
21.388745120,0,0
21.388868960,1,0
21.389146400,1,1
21.389571680,0,1
21.389849120,0,0
21.389970720,1,0
21.390248000,1,1
21.390377760,0,1
21.390699680,0,0
21.390897280,1,0
21.391174720,1,1
21.391574560,0,1
21.391851360,0,0
21.391973600,1,0
21.392251520,1,1
21.392374240,0,1
21.392651520,0,0
21.392781440,1,0
21.393103040,1,1
21.393898880,0,1
21.394175840,0,0
21.394343840,1,0
21.394621280,1,1
21.394683040,0,1
21.395004640,0,0
21.395804000,1,0
21.396081280,1,1
21.396248800,0,1
21.396526240,0,0
21.397286080,1,0
21.397608480,1,1
21.397776000,0,1
21.398053280,0,0
21.398266720,1,0
21.398588960,1,1
21.399387520,0,1
21.399665120,0,0
21.400439360,1,0
21.400762240,1,1
21.400787840,0,1
21.401065280,0,0
21.401233120,1,0
21.401510880,1,1
21.402070400,0,1
21.402347840,0,0
21.402555200,1,0
21.402832160,1,1
21.402986560,0,1
21.403264160,0,0
21.403546880,1,0
21.403824480,1,1
21.404189600,0,1
21.404466560,0,0
21.405192480,1,0
21.405515360,1,1
21.406293120,0,1
21.406612640,0,0
21.406991680,1,0
21.407268960,1,1
21.407436800,0,1
21.407714240,0,0
21.408398880,1,0
21.408721280,1,1
21.408888800,0,1
21.409166080,0,0
21.409374400,1,0
21.409651680,1,1
21.409837280,0,1
21.410114720,0,0
21.410315200,1,0
21.410592160,1,1
21.410695360,0,1
21.410972160,0,0
21.411096000,1,0
21.411373440,1,1
21.411496640,0,1
21.411774240,0,0
21.412495680,1,0
21.412772480,1,1
21.412940640,0,1
21.413218560,0,0
21.413299040,1,0
21.413575840,1,1
21.413722080,0,1
21.413998880,0,0
21.414199680,1,0
21.414477120,1,1
21.414600800,0,1
21.414878240,0,0
21.415303520,1,0
21.415580320,1,1
21.415702560,0,1
21.415980320,0,0
21.416103200,1,0
21.416380800,1,1
21.416639520,0,1
21.416916480,0,0
21.417306400,1,0
21.417583200,1,1
21.417705440,0,1
21.417983520,0,0
21.418129280,1,0
21.418406400,1,1
21.418905440,0,1
21.419182240,0,0
21.419606880,1,0
21.419890560,1,1
21.420037120,0,1
21.420314560,0,0
21.420569760,1,0
21.420847040,1,1
21.421642240,0,1
21.421919520,0,0
21.422388000,1,0
21.422665920,1,1
21.423469920,0,1
21.423747360,0,0
21.424125920,1,0
21.424402880,1,1
21.424571200,0,1
21.424848480,0,0
21.425221280,1,0
21.425543040,1,1
21.426255840,0,1
21.426575840,0,0
21.426953440,1,0
21.427230400,1,1
21.427398400,0,1
21.427676480,0,0
21.428546560,1,0
21.428823360,1,1
21.429298560,0,1
21.429621440,0,0
21.429722080,1,0
21.429999360,1,1
21.430213440,0,1
21.430535360,0,0
21.430732640,1,0
21.431010240,1,1
21.431719360,0,1
21.431996160,0,0
21.432164480,1,0
21.432442400,1,1
21.432556000,0,1
21.432832800,0,0
21.433034080,1,0
21.433310880,1,1
21.434022240,0,1
21.434299680,0,0
21.435073760,1,0
21.435396000,1,1
21.435564480,0,1
21.435841920,0,0
21.436100640,1,0
21.436377440,1,1
21.436880480,0,1
21.437157920,0,0
21.437862560,1,0
21.438184960,1,1
21.438353440,0,1
21.438631360,0,0
21.438886400,1,0
21.439163200,1,1
21.439962720,0,1
21.440239520,0,0
21.440714080,1,0
21.441036480,1,1
21.441137600,0,1
21.441415360,0,0
21.441673760,1,0
21.441951200,1,1
21.442746240,0,1
21.443023200,0,0
21.443492160,1,0
21.443770240,1,1
21.444532320,0,1
21.444851360,0,0
21.445230080,1,0
21.445507520,1,1
21.445675200,0,1
21.445952640,0,0
21.446669600,1,0
21.446946880,1,1
21.447452960,0,1
21.447730400,0,0
21.447964800,1,0
21.448242720,1,1
21.448340160,0,1
21.448617120,0,0
21.449495520,1,0
21.449772480,1,1
