Time [s],Channel 0,Channel 1
0.000000000,0,0
27.151375360,1,0
27.151651680,1,1
27.151966080,0,1
27.152242720,0,0
27.152752160,1,0
27.153028800,1,1
27.153746720,0,1
27.154024160,0,0
27.154988480,1,0
27.155266080,1,1
27.156477600,0,1
27.156754560,0,0
27.158214720,1,0
27.158491840,1,1
27.160199200,0,1
27.160476000,0,0
27.162431040,1,0
27.162708000,1,1
27.164910400,0,1
27.165187840,0,0
27.167637120,1,0
27.167913760,1,1
27.170611360,0,1
27.170888960,0,0
27.173832960,1,0
27.174110560,1,1
27.177302080,0,1
27.177579040,0,0
27.181018880,1,0
27.181296160,1,1
27.184982880,0,1
27.185259680,0,0
27.189194560,1,0
27.189471680,1,1
27.193653440,0,1
27.193930720,0,0
27.198359520,1,0
27.198636320,1,1
27.203313440,0,1
27.203591040,0,0
27.208514880,1,0
27.208792480,1,1
27.213963520,0,1
27.214240640,0,0
27.219660000,1,0
27.219937440,1,1
27.225603360,0,1
27.225880320,0,0
27.231794720,1,0
27.232071520,1,1
27.238233280,0,1
27.238510880,0,0
27.244919680,1,0
27.245196640,1,1
27.251853280,0,1
27.252130720,0,0
27.259034240,1,0
27.259311840,1,1
27.266463040,0,1
27.266740000,0,0
27.274138720,1,0
27.274415840,1,1
27.282062240,0,1
27.282339200,0,0
27.290233120,1,0
27.290510080,1,1
27.298651520,0,1
27.298928960,0,0
27.307317440,1,0
27.307594240,1,1
27.309736800,0,1
27.310014240,0,0
27.310291520,1,0
27.310568000,1,1
27.311077760,0,1
27.311355040,0,0
27.312072320,1,0
27.312348960,1,1
27.313314080,0,1
27.313590720,0,0
27.314803360,1,0
27.315080640,1,1
27.316540480,0,1
27.316817280,0,0
27.318525120,1,0
27.318802240,1,1
27.320757120,0,1
27.321034400,0,0
27.323236640,1,0
27.323513440,1,1
27.325963680,0,1
27.326240960,0,0
27.328938080,1,0
27.329214720,1,1
27.332160000,0,1
27.332436800,0,0
27.335629440,1,0
27.335906720,1,1
27.339346400,0,1
27.339623200,0,0
27.343310880,1,0
27.343588000,1,1
27.347522560,0,1
27.347800000,0,0
27.351981760,1,0
27.352258400,1,1
27.356688000,0,1
27.356965120,0,0
27.361642400,1,0
27.361919040,1,1
27.366843840,0,1
27.367120640,0,0
27.372292960,1,0
27.372570240,1,1
27.377989760,0,1
27.378266400,0,0
27.383933760,1,0
27.384211040,1,1
27.390125440,0,1
27.390402880,0,0
27.396564160,1,0
27.396840800,1,1
27.403250560,0,1
27.403527840,0,0
27.410184480,1,0
27.410460960,1,1
27.417365760,0,1
27.417642400,0,0
27.424794720,1,0
27.425071840,1,1
27.432471200,0,1
27.432747840,0,0
27.440395040,1,0
27.440672160,1,1
27.448566400,0,1
27.448843680,0,0
27.456985120,1,0
27.457262080,1,1
27.465651520,0,1
27.465928640,0,0
27.468070560,1,0
27.468347200,1,1
27.468617120,0,1
27.468893600,0,0
27.469403200,1,0
27.469680000,1,1
27.470397920,0,1
27.470675360,0,0
27.471639520,1,0
27.471916800,1,1
27.473128800,0,1
27.473405600,0,0
27.474865920,1,0
27.475143040,1,1
27.476850560,0,1
27.477127360,0,0
27.479082560,1,0
27.479359040,1,1
27.481561920,0,1
27.481839040,0,0
27.484288800,1,0
27.484565600,1,1
27.487263200,0,1
27.487540480,0,0
27.490484960,1,0
27.490762080,1,1
27.493954240,0,1
27.494231040,0,0
27.497671040,1,0
27.497948160,1,1
27.501635520,0,1
27.501912320,0,0
27.505847200,1,0
27.506123840,1,1
27.510306240,0,1
27.510583360,0,0
27.515012960,1,0
27.515289600,1,1
27.519967200,0,1
27.520244480,0,0
27.525168640,1,0
27.525445760,1,1
27.530617600,0,1
27.530894400,0,0
27.536314560,1,0
27.536591840,1,1
27.542258720,0,1
27.542535520,0,0
27.548450400,1,0
27.548727040,1,1
27.554889120,0,1
27.555166240,0,0
27.561575680,1,0
27.561852320,1,1
27.568509600,0,1
27.568786880,0,0
27.575690880,1,0
27.575968000,1,1
27.583119840,0,1
27.583396640,0,0
