Time [s],Channel 0,Channel 1
0.000000000,1,0
5.503370360,0,0
10.561989004,1,0
10.562500234,1,1
10.563359956,0,1
10.563604298,0,0
10.564759734,1,0
10.565003628,1,1
10.566160496,0,1
10.566403940,0,0
10.567561300,1,0
10.567805378,1,1
10.568962110,0,1
10.569206414,0,0
10.570362964,1,0
10.570606678,1,1
10.571763716,0,1
10.572007288,0,0
10.573164530,1,0
10.573408576,1,1
10.574565340,0,1
10.574809612,0,0
10.575966194,1,0
10.576209942,1,1
10.577366954,0,1
10.577610486,0,0
10.578767760,1,0
10.579011774,1,1
10.580168570,0,1
10.580412860,0,0
10.581569424,1,0
10.581813140,1,1
10.582970184,0,1
10.583213802,0,0
10.584370990,1,0
10.584615056,1,1
10.585771800,0,1
10.586016010,0,0
10.587172654,1,0
10.587416422,1,1
10.588573414,0,1
10.588817050,0,0
10.589974220,1,0
10.590218256,1,1
10.591375030,0,1
10.591619324,0,0
10.592775884,1,0
10.593019670,1,1
10.594176644,0,1
10.594420116,0,0
10.595577450,1,0
10.595821504,1,1
10.596978260,0,1
10.597222522,0,0
10.598379114,1,0
10.598622820,1,1
10.599779874,0,1
10.600023398,0,0
10.601180678,1,0
10.601424652,1,1
10.602581490,0,1
10.602825804,0,0
10.603982344,1,0
10.604226018,1,1
10.605383104,0,1
10.605626796,0,0
10.606783908,1,0
10.607027900,1,1
10.608184720,0,1
10.608429052,0,0
10.609585574,1,0
10.609829184,1,1
10.610986334,0,1
10.611229844,0,0
10.612387138,1,0
10.612631082,1,1
10.613787948,0,1
10.614032252,0,0
10.615188804,1,0
10.615432648,1,1
10.616589564,0,1
10.616833192,0,0
10.617990368,1,0
10.618234414,1,1
10.619391178,0,1
10.619635600,0,0
10.620792034,1,0
10.621035646,1,1
10.622192794,0,1
10.622436440,0,0
10.623593598,1,0
10.623837612,1,1
10.624994408,0,1
10.625238764,0,0
10.626395264,1,0
10.626638846,1,1
10.627796024,0,1
10.628039506,0,0
10.629196828,1,0
10.629440812,1,1
10.630597638,0,1
10.630841964,0,0
10.631998494,1,0
10.632242126,1,1
10.633399254,0,1
10.633642788,0,0
10.634800058,1,0
10.635044160,1,1
10.636200868,0,1
10.636445112,0,0
10.637601724,1,0
10.637845376,1,1
10.639002484,0,1
10.639246102,0,0
10.640403288,1,0
10.640647274,1,1
10.641804098,0,1
10.642048510,0,0
10.643204952,1,0
10.643448724,1,1
10.644605714,0,1
10.644849302,0,0
10.646006518,1,0
10.646250556,1,1
10.647407328,0,1
