Time [s],Channel 0,Channel 1
0.000000000,0,0
11.585621720,1,0
11.586132002,1,1
11.587051374,0,1
11.587295752,0,0
11.588451146,1,0
11.588694834,1,1
11.589851906,0,1
11.590095462,0,0
11.591252720,1,0
11.591496836,1,1
11.592653532,0,1
11.592897940,0,0
11.594054386,1,0
11.594298072,1,1
11.595455148,0,1
11.595698734,0,0
11.596855952,1,0
11.597099908,1,1
11.598256764,0,1
11.598501060,0,0
11.599657620,1,0
11.599901310,1,1
11.601058380,0,1
11.601302022,0,0
11.602459186,1,0
11.602703144,1,1
11.603859996,0,1
11.604104232,0,0
11.605260852,1,0
11.605504514,1,1
11.606661612,0,1
11.606905210,0,0
11.608062418,1,0
11.608306382,1,1
11.609463228,0,1
11.609707420,0,0
11.610864084,1,0
11.611107752,1,1
11.612264844,0,1
11.612508330,0,0
11.613665650,1,0
11.613909786,1,1
11.615066462,0,1
11.615310790,0,0
11.616467316,1,0
11.616711072,1,1
11.617868078,0,1
11.618111652,0,0
11.619268882,1,0
11.619512942,1,1
11.620669694,0,1
11.620913896,0,0
11.622070548,1,0
11.622314360,1,1
11.623471310,0,1
11.623714822,0,0
11.624872116,1,0
11.625116112,1,1
11.626272926,0,1
11.626517100,0,0
11.627673782,1,0
11.627917548,1,1
11.629074542,0,1
11.629318126,0,0
11.630475348,1,0
11.630719384,1,1
11.631876158,0,1
11.632120388,0,0
11.633277014,1,0
11.633520802,1,1
11.634677774,0,1
11.634921248,0,0
11.636078580,1,0
11.636322504,1,1
11.637479392,0,1
11.637723658,0,0
11.638880246,1,0
11.639123906,1,1
11.640281008,0,1
11.640524618,0,0
11.641681812,1,0
11.641925742,1,1
11.643082624,0,1
11.643326896,0,0
11.644483480,1,0
11.644727228,1,1
11.645884240,0,1
11.646127740,0,0
11.647285046,1,0
11.647528980,1,1
11.648685856,0,1
11.648930068,0,0
11.650086712,1,0
11.650330398,1,1
11.651487472,0,1
11.651731044,0,0
11.652888278,1,0
11.653132350,1,1
11.654289088,0,1
11.654533338,0,0
11.655689944,1,0
11.655933670,1,1
11.657090704,0,1
11.657334248,0,0
11.658491510,1,0
11.658735672,1,1
11.659892322,0,1
11.660136576,0,0
11.661293176,1,0
11.661536908,1,1
11.662693938,0,1
11.662944678,0,0
11.664094742,1,0
11.664338652,1,1
11.665495554,0,1
11.665739946,0,0
11.666896410,1,0
11.667140144,1,1
11.668297170,0,1
11.668540724,0,0
11.669697976,1,0
11.669942030,1,1
11.671098786,0,1
11.671342984,0,0
11.672499642,1,0
11.672743266,1,1
11.673900402,0,1
11.674143978,0,0
11.675301208,1,0
11.675545218,1,1
11.676702018,0,1
11.676946256,0,0
11.678102874,1,0
11.678346638,1,1
11.679503634,0,1
11.679747166,0,0
11.680904440,1,0
11.681148540,1,1
11.682305252,0,1
11.682549544,0,0
11.683706106,1,0
11.683949758,1,1
11.685106868,0,1
11.685350404,0,0
11.686507672,1,0
11.686751776,1,1
11.687908484,0,1
11.688152614,0,0
11.689309338,1,0
11.689553146,1,1
11.690710100,0,1
11.690953642,0,0
11.692110906,1,0
11.692355014,1,1
11.693511716,0,1
11.693756052,0,0
11.694912572,1,0
11.695156184,1,1
11.696313332,0,1
11.696557046,0,0
11.697714138,1,0
11.697958136,1,1
11.699114948,0,1
11.699359224,0,0
11.700515804,1,0
11.700759554,1,1
11.701916564,0,1
11.702160134,0,0
11.703317362,1,0
11.703561390,1,1
11.704718180,0,1
11.704962410,0,0
11.706119036,1,0
11.706362742,1,1
11.707519798,0,1
11.707763322,0,0
11.708920602,1,0
11.709164778,1,1
11.710321414,0,1
11.710565782,0,0
11.711722268,1,0
11.711966114,1,1
11.713123030,0,1
11.713366576,0,0
11.714523836,1,0
11.714767866,1,1
11.715924646,0,1
11.716168852,0,0
11.717325502,1,0
11.717569234,1,1
11.718726262,0,1
11.718969814,0,0
11.720127068,1,0
11.720371186,1,1
11.721527878,0,1
11.721772090,0,0
11.722928734,1,0
11.723172538,1,1
11.724329494,0,1
11.724573000,0,0
11.725730300,1,0
11.725974424,1,1
11.727131112,0,1
11.727375412,0,0
11.728531966,1,0
11.728775592,1,1
11.729932728,0,1
11.730176322,0,0
11.731333532,1,0
11.731577546,1,1
11.732734344,0,1
11.732978566,0,0
11.734135198,1,0
11.734378914,1,1
11.735535960,0,1
11.735779560,0,0
11.736936764,1,0
11.737180816,1,1
11.738337576,0,1
11.738581886,0,0
11.739738432,1,0
11.739982218,1,1
11.741139192,0,1
11.741382680,0,0
11.742539998,1,0
11.742784054,1,1
11.743940808,0,1
11.744185092,0,0
11.745341664,1,0
11.745585540,1,1
11.746742424,0,1
11.746985968,0,0
11.748143230,1,0
11.748387292,1,1
11.749544040,0,1
11.749788328,0,0
11.750944896,1,0
11.751188578,1,1
11.752345656,0,1
11.752589290,0,0
11.753746462,1,0
11.753990546,1,1
11.755147274,0,1
11.755391416,0,0
11.756548128,1,0
11.756791832,1,1
11.757948890,0,1
11.758192478,0,0
11.759349694,1,0
11.759593784,1,1
11.760750506,0,1
11.760994688,0,0
11.762151362,1,0
11.762394936,1,1
11.763552122,0,1
11.763795714,0,0
11.764952928,1,0
11.765196972,1,1
11.766353738,0,1
11.766598008,0,0
11.767754594,1,0
11.767998340,1,1
11.769155354,0,1
11.769398920,0,0
11.770556160,1,0
11.770800142,1,1
11.771956970,0,1
11.772201246,0,0
11.773357826,1,0
11.773601628,1,1
11.774758578,0,1
11.775002090,0,0
11.776159392,1,0
11.776403380,1,1
11.777560204,0,1
11.777804568,0,0
11.778961058,1,0
11.779204750,1,1
11.780361820,0,1
11.780605328,0,0
11.781762624,1,0
11.782006702,1,1
11.783163436,0,1
11.783407656,0,0
11.784564292,1,0
11.784808020,1,1
11.785965052,0,1
11.786208516,0,0
11.787365858,1,0
11.787609822,1,1
11.788766668,0,1
11.789010926,0,0
11.790167524,1,0
11.790411174,1,1
11.791568284,0,1
11.791811836,0,0
11.792969090,1,0
11.793213126,1,1
11.794369900,0,1
11.794614098,0,0
11.795770756,1,0
11.796014428,1,1
11.797171516,0,1
11.797415074,0,0
11.798572322,1,0
11.798816248,1,1
11.799973132,0,1
11.800217402,0,0
11.801373988,1,0
11.801617734,1,1
11.802774750,0,1
11.803018870,0,0
11.804175554,1,0
11.804419568,1,1
11.805576366,0,1
11.805820722,0,0
11.806977220,1,0
11.807220938,1,1
11.808377982,0,1
11.808621566,0,0
11.809778788,1,0
11.810022890,1,1
11.811179598,0,1
11.811423960,0,0
11.812580454,1,0
11.812824092,1,1
11.813981214,0,1
11.814224754,0,0
11.815382020,1,0
11.815626128,1,1
11.816782830,0,1
11.817027082,0,0
11.818183686,1,0
11.818427546,1,1
11.819584446,0,1
11.819827926,0,0
11.820985252,1,0
11.821229248,1,1
11.822386064,0,1
11.822630402,0,0
11.823786918,1,0
11.824030584,1,1
11.825187680,0,1
11.825431162,0,0
11.826588484,1,0
11.826832536,1,1
11.827989296,0,1
11.828233574,0,0
11.829390150,1,0
11.829633772,1,1
11.830790912,0,1
11.831034484,0,0
11.832191718,1,0
11.832435656,1,1
11.833592528,0,1
11.833836878,0,0
11.834993384,1,0
11.835237026,1,1
11.836394144,0,1
11.836637604,0,0
11.837794950,1,0
11.838039094,1,1
11.839195760,0,1
11.839440082,0,0
11.840596616,1,0
11.840840414,1,1
11.841997376,0,1
11.842240992,0,0
11.843398182,1,0
11.843642166,1,1
11.844798992,0,1
11.845043320,0,0
11.846199848,1,0
11.846443652,1,1
11.847600610,0,1
11.847844030,0,0
11.849001414,1,0
11.849245486,1,1
11.850402226,0,1
11.850646490,0,0
11.851803080,1,0
11.852046822,1,1
11.853203842,0,1
11.853447402,0,0
11.854604638,1,0
11.854848642,1,1
11.856005458,0,1
11.856249728,0,0
11.857406314,1,0
11.857650010,1,1
11.858807074,0,1
11.859050722,0,0
11.860207880,1,0
11.860452046,1,1
11.861608690,0,1
11.861853050,0,0
11.863009546,1,0
11.863253180,1,1
11.864410306,0,1
11.864653910,0,0
11.865811112,1,0
11.866055084,1,1
11.867211922,0,1
11.867456288,0,0
11.868612778,1,0
11.868856502,1,1
11.870013540,0,1
11.870257148,0,0
11.871414344,1,0
11.871658454,1,1
11.872815156,0,1
11.873059358,0,0
11.874216010,1,0
11.874459806,1,1
11.875616772,0,1
11.875860468,0,0
11.877017576,1,0
11.877261576,1,1
11.878418388,0,1
11.878662730,0,0
11.879819244,1,0
11.880062928,1,1
11.881220004,0,1
11.881463440,0,0
11.882620810,1,0
11.882864812,1,1
11.884021620,0,1
11.884265916,0,0
11.885422476,1,0
11.885666166,1,1
11.886823236,0,1
11.887066760,0,0
11.888224042,1,0
11.888468050,1,1
11.889624852,0,1
11.889869088,0,0
11.891025708,1,0
11.891269420,1,1
11.892426468,0,1
11.892669866,0,0
11.893827274,1,0
11.894071238,1,1
11.895228086,0,1
11.895472392,0,0
11.896628940,1,0
11.896872658,1,1
11.898029702,0,1
11.898273320,0,0
11.899430506,1,0
11.899674442,1,1
11.900831318,0,1
11.901075514,0,0
11.902232172,1,0
11.902475928,1,1
11.903632934,0,1
11.903876508,0,0
11.905033740,1,0
11.905277730,1,1
11.906434550,0,1
11.906678918,0,0
11.907835406,1,0
11.908079050,1,1
11.909236166,0,1
11.909479878,0,0
11.910636972,1,0
11.910881002,1,1
11.912037782,0,1
11.912282006,0,0
11.913438638,1,0
11.913682336,1,1
11.914839398,0,1
11.915082916,0,0
11.916240204,1,0
11.916484240,1,1
11.917641016,0,1
11.917885326,0,0
11.919041870,1,0
11.919285574,1,1
11.920442632,0,1
11.920686304,0,0
11.921843436,1,0
11.922087410,1,1
11.923244248,0,1
11.923488430,0,0
11.924645102,1,0
11.924888762,1,1
11.926045864,0,1
11.926289474,0,0
11.927446670,1,0
11.927690648,1,1
11.928847480,0,1
11.929091886,0,0
11.930248336,1,0
11.930492016,1,1
11.931649096,0,1
11.931892746,0,0
11.933049902,1,0
11.933293918,1,1
11.934450712,0,1
11.934694990,0,0
11.935851568,1,0
11.936095204,1,1
11.937252328,0,1
11.937495866,0,0
11.938653134,1,0
11.938897206,1,1
11.940053944,0,1
11.940298310,0,0
11.941454800,1,0
11.941698576,1,1
11.942855560,0,1
11.943099930,0,0
11.944256366,1,0
11.944500328,1,1
11.945657178,0,1
11.945901482,0,0
11.947058032,1,0
11.947301696,1,1
11.948458794,0,1
11.948702276,0,0
11.949859598,1,0
11.950103566,1,1
11.951260410,0,1
11.951504670,0,0
11.952661256,1,0
11.952904884,1,1
11.954062026,0,1
11.954305580,0,0
11.955462832,1,0
11.955706836,1,1
11.956863642,0,1
11.957107840,0,0
11.958264498,1,0
11.958508206,1,1
11.959665258,0,1
11.959908750,0,0
11.961066064,1,0
11.961310158,1,1
11.962466874,0,1
11.962711228,0,0
11.963867730,1,0
11.964111442,1,1
11.965268490,0,1
11.965512072,0,0
11.966669296,1,0
11.966913312,1,1
11.968070108,0,1
11.968314348,0,0
11.969470962,1,0
11.969714680,1,1
11.970871724,0,1
11.971115310,0,0
11.972272528,1,0
11.972516632,1,1
11.973673340,0,1
11.973917520,0,0
11.975074196,1,0
11.975317918,1,1
11.976474956,0,1
11.976718498,0,0
11.977875762,1,0
11.978119754,1,1
11.979276572,0,1
11.979520840,0,0
11.980677428,1,0
11.980921122,1,1
11.982078188,0,1
11.982321818,0,0
11.983478994,1,0
11.983722992,1,1
11.984879804,0,1
11.985124028,0,0
11.986280660,1,0
11.986524410,1,1
11.987681420,0,1
11.987924856,0,0
11.989082226,1,0
11.989326362,1,1
11.990483038,0,1
11.990727200,0,0
11.991883892,1,0
11.992127598,1,1
