Time [s],Channel 0,Channel 1
0.000000000,0,0
18.863592076,1,0
18.864081852,1,1
18.865155450,0,1
18.865294648,0,0
18.866762490,0,1
18.866927730,1,1
18.868538614,1,0
18.868703650,0,0
18.870340898,0,1
18.870506264,1,1
18.872143670,1,0
18.872308884,0,0
18.873946120,0,1
18.874111464,1,1
18.875749128,1,0
18.875914084,0,0
18.877551294,0,1
18.877716666,1,1
18.879353934,1,0
18.879519286,0,0
18.881156634,0,1
18.881321866,1,1
18.882959408,1,0
18.883124486,0,0
18.884761708,0,1
18.884927066,1,1
18.886564398,1,0
18.886729686,0,0
18.888366982,0,1
18.888532268,1,1
18.890169888,1,0
18.890334886,0,0
18.891971938,0,1
18.892137468,1,1
18.893774744,1,0
18.893940088,0,0
18.895577328,0,1
18.895742668,1,1
18.897380368,1,0
18.897545288,0,0
18.899182402,0,1
18.899347870,1,1
18.900985226,1,0
18.901150490,0,0
18.902787792,0,1
18.902953070,1,1
18.904590666,1,0
18.904755690,0,0
18.906393034,0,1
18.906558270,1,1
18.908195572,1,0
18.908360890,0,0
18.909998090,0,1
18.910163472,1,1
18.911801180,1,0
18.911966092,0,0
18.913603296,0,1
18.913768672,1,1
18.915406036,1,0
18.915571292,0,0
18.917208688,0,1
18.917373872,1,1
18.919011594,1,0
18.919176492,0,0
18.920813644,0,1
18.920979074,1,1
18.922616534,1,0
18.922781692,0,0
18.924419034,0,1
18.924584274,1,1
18.926221874,1,0
18.926386894,0,0
18.928024158,0,1
18.928189474,1,1
18.929826798,1,0
18.929992094,0,0
18.931629448,0,1
18.931794676,1,1
18.933432338,1,0
18.933597294,0,0
18.935234588,0,1
18.935399876,1,1
18.937037344,1,0
18.937202496,0,0
18.938839796,0,1
18.939005076,1,1
18.940642884,1,0
18.940807696,0,0
18.942445002,0,1
18.942610278,1,1
18.944247542,1,0
18.944412896,0,0
18.946050260,0,1
18.946215478,1,1
18.947853182,1,0
18.948018098,0,0
18.949655350,0,1
18.949820678,1,1
18.951458040,1,0
18.951623298,0,0
18.953260740,0,1
18.953425878,1,1
18.955063530,1,0
18.955228498,0,0
18.956865696,0,1
18.957031080,1,1
18.958668586,1,0
18.958833700,0,0
18.960471036,0,1
18.960636280,1,1
18.962274044,1,0
18.962438900,0,0
18.964076044,0,1
18.964241480,1,1
18.965878850,1,0
18.966044100,0,0
18.967681500,0,1
18.967846682,1,1
18.969484340,1,0
18.969649302,0,0
18.971286558,0,1
18.971451882,1,1
18.973089314,1,0
18.973254502,0,0
18.974891848,0,1
18.975057082,1,1
18.976694688,1,0
18.976859702,0,0
18.978496904,0,1
18.978662284,1,1
18.980299662,1,0
18.980464904,0,0
18.982102244,0,1
18.982267484,1,1
18.983905202,1,0
18.984070104,0,0
18.985707402,0,1
18.985872684,1,1
18.987510058,1,0
18.987675304,0,0
18.989312708,0,1
18.989477886,1,1
18.991115498,1,0
18.991280504,0,0
18.992917716,0,1
18.993083086,1,1
18.994720364,1,0
18.994885706,0,0
18.996523056,0,1
18.996688286,1,1
18.998325846,1,0
18.998490906,0,0
19.000128212,0,1
19.000293488,1,1
19.001930702,1,0
19.002096106,0,0
19.003733354,0,1
19.003898688,1,1
19.005536310,1,0
19.005701308,0,0
19.007338410,0,1
19.007503888,1,1
19.009141300,1,0
19.009306508,0,0
19.010943900,0,1
19.011109090,1,1
19.012746706,1,0
19.012911708,0,0
19.014548824,0,1
19.014714282,1,1
19.016351796,1,0
19.016516910,0,0
19.018154248,0,1
19.018319490,1,1
19.019957120,1,0
19.020122110,0,0
19.021766396,0,1
19.021924690,1,1
19.023562170,1,0
19.023727310,0,0
19.025364562,0,1
19.025529900,1,1
19.027167602,1,0
19.027332512,0,0
19.028969634,0,1
19.029135092,1,1
19.030772408,1,0
19.030937712,0,0
19.032574976,0,1
19.032740292,1,1
19.034378014,1,0
19.034542912,0,0
19.036180032,0,1
19.036345494,1,1
19.037982922,1,0
19.038148114,0,0
19.039785522,0,1
19.039950694,1,1
19.041588296,1,0
19.041753314,0,0
19.043390380,0,1
19.043555894,1,1
19.045193268,1,0
19.045358514,0,0
19.046995986,0,1
19.047161096,1,1
19.048798826,1,0
19.048963706,0,0
19.050600876,0,1
19.050766296,1,1
19.052403766,1,0
19.052568916,0,0
19.054206266,0,1
19.054371496,1,1
19.056009256,1,0
19.056174116,0,0
19.057811274,0,1
19.057976698,1,1
19.059614114,1,0
19.059779316,0,0
19.061416680,0,1
19.061581898,1,1
19.063219654,1,0
19.063384518,0,0
19.065021770,0,1
19.065187098,1,1
19.066824428,1,0
19.066989718,0,0
19.068627028,0,1
19.068792300,1,1
19.070430068,1,0
19.070594918,0,0
19.072232234,0,1
19.072397500,1,1
19.074034840,1,0
19.074200120,0,0
19.075837574,0,1
19.076002700,1,1
19.077640214,1,0
19.077805320,0,0
19.079442582,0,1
19.079607902,1,1
19.081245188,1,0
19.081410520,0,0
19.083047922,0,1
19.083213102,1,1
19.084850762,1,0
19.085015722,0,0
19.086653046,0,1
19.086818302,1,1
19.088455618,1,0
19.088620922,0,0
19.090258270,0,1
19.090423504,1,1
19.092061158,1,0
19.092226122,0,0
19.093863326,0,1
19.094028704,1,1
19.095665882,1,0
19.095831324,0,0
19.097468816,0,1
19.097633904,1,1
19.099271490,1,0
19.099436524,0,0
19.101073740,0,1
19.101239104,1,1
19.102876104,1,0
19.103041724,0,0
19.104679130,0,1
19.104844306,1,1
19.106481970,1,0
19.106646926,0,0
19.108284086,0,1
19.108449506,1,1
19.110086894,1,0
19.110252126,0,0
19.111889428,0,1
19.112054706,1,1
19.113692266,1,0
19.113857326,0,0
19.115494634,0,1
19.115659908,1,1
19.117297290,1,0
19.117462528,0,0
19.119099940,0,1
19.119265108,1,1
19.120902814,1,0
19.121067728,0,0
19.122704948,0,1
19.122870308,1,1
19.124507638,1,0
19.124672928,0,0
19.126310154,0,1
19.126475510,1,1
19.128113194,1,0
19.128278130,0,0
19.129915294,0,1
19.130080710,1,1
19.131718134,1,0
19.131883330,0,0
19.133520702,0,1
19.133685910,1,1
19.135323624,1,0
19.135488530,0,0
19.137125708,0,1
19.137291112,1,1
19.138928532,1,0
19.139093730,0,0
19.140731132,0,1
19.140896312,1,1
19.142534138,1,0
19.142698932,0,0
19.144336140,0,1
19.144501512,1,1
19.146138878,1,0
19.146304132,0,0
19.147941446,0,1
19.148106714,1,1
19.149744486,1,0
19.149909332,0,0
19.151546604,0,1
19.151711914,1,1
19.153349292,1,0
19.153514534,0,0
19.155151994,0,1
19.155317114,1,1
19.156954832,1,0
19.157119734,0,0
19.158757000,0,1
19.158922306,1,1
19.160559756,1,0
19.160724934,0,0
19.162362290,0,1
19.162527516,1,1
19.164165130,1,0
19.164330136,0,0
19.165967414,0,1
19.166132716,1,1
19.167770038,1,0
19.167935336,0,0
19.169572688,0,1
19.169737916,1,1
19.171375528,1,0
19.171540536,0,0
19.173177762,0,1
19.173343118,1,1
19.174980500,1,0
19.175145738,0,0
19.176783102,0,1
19.176948318,1,1
19.178585942,1,0
19.178750938,0,0
19.180388042,0,1
19.180553518,1,1
19.182190848,1,0
19.182356138,0,0
19.183993498,0,1
19.184158720,1,1
19.185796338,1,0
19.185961338,0,0
19.187598456,0,1
19.187763920,1,1
19.189401196,1,0
19.189566540,0,0
19.191203996,0,1
19.191369120,1,1
19.193006752,1,0
19.193171740,0,0
19.194808920,0,1
19.194974322,1,1
19.196611742,1,0
19.196776940,0,0
19.198414342,0,1
19.198579522,1,1
19.200217150,1,0
19.200382142,0,0
19.202019350,0,1
19.202184722,1,1
19.203822206,1,0
19.203987342,0,0
19.205624656,0,1
19.205789924,1,1
19.207427646,1,0
19.207592542,0,0
19.209229614,0,1
19.209395124,1,1
19.211032420,1,0
19.211197744,0,0
19.212835154,0,1
19.213000324,1,1
19.214637994,1,0
19.214802944,0,0
19.216440160,0,1
19.216605526,1,1
19.218243050,1,0
19.218408144,0,0
19.220045500,0,1
19.220210726,1,1
19.221848390,1,0
19.222013312,0,0
19.223650508,0,1
19.223815926,1,1
19.225453314,1,0
19.225618546,0,0
19.227255964,0,1
19.227421126,1,1
19.229058804,1,0
19.229223746,0,0
19.230861054,0,1
19.231026328,1,1
19.232663712,1,0
19.232828948,0,0
19.234466446,0,1
19.234631528,1,1
19.236269268,1,0
19.236434148,0,0
19.238071518,0,1
19.238236728,1,1
19.239874008,1,0
19.240039348,0,0
19.241676708,0,1
19.241841930,1,1
19.243479482,1,0
19.243644548,0,0
19.245281666,0,1
19.245447130,1,1
19.247084356,1,0
19.247249750,0,0
19.248887206,0,1
19.249052330,1,1
19.250690046,1,0
19.250854950,0,0
19.252492180,0,1
19.252657532,1,1
19.254294952,1,0
19.254460150,0,0
19.256097520,0,1
19.256262732,1,1
19.257900310,1,0
19.258065352,0,0
19.259702560,0,1
19.259867932,1,1
19.261505284,1,0
19.261670552,0,0
19.263308016,0,1
19.263473132,1,1
19.265110906,1,0
19.265275752,0,0
19.266912874,0,1
19.267078334,1,1
19.268715630,1,0
19.268880954,0,0
19.270518280,0,1
19.270683534,1,1
19.272321204,1,0
19.272486154,0,0
19.274123370,0,1
19.274288734,1,1
19.275926060,1,0
19.276091354,0,0
19.277728712,0,1
19.277893936,1,1
19.279531718,1,0
19.279696556,0,0
19.281333768,0,1
19.281499136,1,1
19.283136408,1,0
19.283301756,0,0
19.284939176,0,1
19.285104328,1,1
19.286742014,1,0
19.286906956,0,0
19.288544066,0,1
19.288709538,1,1
19.290346922,1,0
19.290512156,0,0
19.292149522,0,1
19.292314738,1,1
19.293952412,1,0
19.294117358,0,0
19.295754446,0,1
19.295919938,1,1
19.297557336,1,0
19.297722558,0,0
19.299359986,0,1
19.299525140,1,1
19.301162908,1,0
19.301327760,0,0
19.302964926,0,1
19.303130340,1,1
19.304767616,1,0
19.304932960,0,0
19.306570266,0,1
19.306735540,1,1
19.308373172,1,0
19.308538160,0,0
19.310175424,0,1
19.310340742,1,1
19.311978030,1,0
19.312143360,0,0
19.313780764,0,1
19.313945942,1,1
19.315583570,1,0
19.315748562,0,0
19.317385688,0,1
19.317551142,1,1
19.319188294,1,0
19.319353762,0,0
19.320991228,0,1
19.321156352,1,1
19.322793918,1,0
19.322958962,0,0
19.324596150,0,1
19.324761544,1,1
19.326398974,1,0
19.326564164,0,0
19.328201492,0,1
19.328366744,1,1
19.330004464,1,0
19.330169364,0,0
19.331806582,0,1
19.331971944,1,1
19.333609322,1,0
19.333774564,0,0
19.335411972,0,1
19.335577146,1,1
19.337214878,1,0
19.337379764,0,0
19.339017046,0,1
19.339182346,1,1
19.340819618,1,0
19.340984966,0,0
19.342622436,0,1
19.342787546,1,1
19.344425142,1,0
19.344590158,0,0
19.346227308,0,1
19.346392748,1,1
19.348029998,1,0
19.348195366,0,0
19.349832732,0,1
19.349997948,1,1
19.351635572,1,0
19.351800568,0,0
19.353437856,0,1
19.353603148,1,1
19.355240430,1,0
19.355405768,0,0
19.357043080,0,1
19.357208350,1,1
19.358846170,1,0
19.359010968,0,0
19.360648286,0,1
19.360813550,1,1
19.362450942,1,0
19.362616170,0,0
19.364253626,0,1
19.364418750,1,1
19.366056516,1,0
19.366221370,0,0
19.367858484,0,1
19.368023952,1,1
19.369661324,1,0
19.369826570,0,0
19.371464008,0,1
19.371629152,1,1
19.373266930,1,0
19.373431772,0,0
19.375068898,0,1
19.375234352,1,1
