Time [s],Channel 0,Channel 1
0.000000000,0,0
5.930775004,1,0
5.931281572,1,1
5.932139792,0,1
5.932310914,0,0
5.933539674,1,0
5.933710940,1,1
5.934940320,0,1
5.935110672,0,0
5.936341104,1,0
5.936512500,1,1
5.937741892,0,1
5.937913032,0,0
5.939142816,1,0
5.939313992,1,1
5.940543464,0,1
5.940713842,0,0
5.941944246,1,0
5.942115752,1,1
5.943345034,0,1
5.943516168,0,0
5.944745958,1,0
5.944917078,1,1
5.946146606,0,1
5.946317210,0,0
5.947547388,1,0
5.947718972,1,1
5.948948176,0,1
5.949119204,0,0
5.950349102,1,0
5.950520164,1,1
5.951749748,0,1
5.951920146,0,0
5.953150530,1,0
5.953322008,1,1
5.954551318,0,1
5.954722424,0,0
5.955952244,1,0
5.956123334,1,1
5.957352890,0,1
5.957523316,0,0
5.958753672,1,0
5.958925092,1,1
5.960154460,0,1
5.960325458,0,0
5.961555386,1,0
5.961726552,1,1
5.962956032,0,1
5.963126486,0,0
5.964356814,1,0
5.964528378,1,1
5.965757602,0,1
5.965928628,0,0
5.967158528,1,0
5.967329638,1,1
5.968559174,0,1
5.968729520,0,0
5.969959956,1,0
5.970131548,1,1
5.971360746,0,1
5.971531798,0,0
5.972761670,1,0
5.972932758,1,1
5.974162316,0,1
5.974332890,0,0
5.975563098,1,0
5.975734650,1,1
5.976963888,0,1
5.977135016,0,0
5.978364812,1,0
5.978535926,1,1
5.979765458,0,1
5.979936026,0,0
5.981166240,1,0
5.981337736,1,1
5.982567030,0,1
5.982738136,0,0
5.983967954,1,0
5.984139146,1,1
5.985368600,0,1
5.985539146,0,0
5.986769384,1,0
5.986940788,1,1
5.988170164,0,1
5.988341272,0,0
5.989571096,1,0
5.989742298,1,1
5.990971742,0,1
5.991142114,0,0
5.992372526,1,0
5.992543992,1,1
5.993773314,0,1
5.993944390,0,0
5.995174238,1,0
5.995345468,1,1
5.996574884,0,1
5.996745400,0,0
5.997975668,1,0
5.998147160,1,1
5.999376456,0,1
5.999547560,0,0
6.000777380,1,0
6.000948436,1,1
6.002178026,0,1
6.002348486,0,0
6.003578810,1,0
6.003750396,1,1
6.004979598,0,1
6.005150696,0,0
6.006380522,1,0
6.006551606,1,1
6.007781168,0,1
6.007951588,0,0
6.009181952,1,0
