Time [s],Channel 0,Channel 1
0.000000000,0,0
17.162235992,1,0
17.162745224,1,1
17.163600778,0,1
17.163771998,0,0
17.165000660,1,0
17.165172106,1,1
17.166401306,0,1
17.166571672,0,0
17.167802086,1,0
17.167973148,1,1
17.169202874,0,1
17.169374162,0,0
17.170603798,1,0
17.170775272,1,1
17.172004444,0,1
17.172174686,0,0
17.173405224,1,0
17.173576394,1,1
17.174806012,0,1
17.174977160,0,0
17.176206936,1,0
17.176378468,1,1
17.177607582,0,1
17.177777968,0,0
17.179008362,1,0
17.179179592,1,1
17.180409150,0,1
17.180580608,0,0
17.181810074,1,0
17.181981634,1,1
17.183210720,0,1
17.183381082,0,0
17.184611500,1,0
17.184782690,1,1
17.186012288,0,1
17.186183538,0,0
17.187413212,1,0
17.187584598,1,1
17.188813858,0,1
17.188984012,0,0
17.190214638,1,0
17.190385638,1,1
17.191615426,0,1
17.191786704,0,0
17.193016350,1,0
17.193187878,1,1
17.194416996,0,1
17.194587178,0,0
17.195817778,1,0
17.195989052,1,1
17.197218564,0,1
17.197389734,0,0
17.198619488,1,0
17.198790844,1,1
17.200020134,0,1
17.200190458,0,0
17.201420914,1,0
17.201592084,1,1
17.202821702,0,1
17.202992900,0,0
17.204222626,1,0
17.204394058,1,1
17.205623272,0,1
17.205793490,0,0
17.207024052,1,0
17.207195048,1,1
17.208424840,0,1
17.208596030,0,0
17.209825764,1,0
17.209997206,1,1
17.211226410,0,1
17.211396704,0,0
17.212627190,1,0
17.212798414,1,1
17.214027978,0,1
17.214199312,0,0
17.215428902,1,0
17.215600420,1,1
17.216829548,0,1
17.216999736,0,0
17.218230330,1,0
17.218401494,1,1
17.219631116,0,1
17.219802426,0,0
17.221032040,1,0
17.221203452,1,1
17.222432686,0,1
17.222603150,0,0
17.223833468,1,0
17.224004576,1,1
17.225234254,0,1
17.225405508,0,0
17.226635178,1,0
17.226806466,1,1
17.228035824,0,1
17.228206064,0,0
17.229436606,1,0
17.229607824,1,1
17.230837392,0,1
17.231008522,0,0
17.232238316,1,0
17.232409898,1,1
17.233638962,0,1
17.233809278,0,0
17.235039744,1,0
17.235210822,1,1
17.236440530,0,1
17.236611752,0,0
17.237841454,1,0
17.238012978,1,1
17.239242100,0,1
17.239412310,0,0
17.240642882,1,0
17.240813986,1,1
17.242043668,0,1
17.242214918,0,0
17.243444584,1,0
17.243616026,1,1
17.244845238,0,1
17.245015442,0,0
17.246246020,1,0
17.246417068,1,1
17.247646806,0,1
17.247817998,0,0
17.249047730,1,0
17.249219158,1,1
17.250448376,0,1
17.250618672,0,0
17.251849158,1,0
17.252020232,1,1
17.253249944,0,1
17.253421364,0,0
17.254650868,1,0
17.254822272,1,1
17.256051514,0,1
17.256221638,0,0
17.257452296,1,0
17.257623512,1,1
17.258853082,0,1
17.259024294,0,0
17.260254006,1,0
17.260425554,1,1
17.261654652,0,1
17.261824918,0,0
17.263055434,1,0
17.263226678,1,1
17.264456220,0,1
17.264627410,0,0
17.265857144,1,0
17.266028518,1,1
17.267257790,0,1
17.267428082,0,0
17.268658572,1,0
17.268829642,1,1
17.270059358,0,1
17.270230574,0,0
17.271460282,1,0
17.271631800,1,1
17.272860928,0,1
17.273031164,0,0
17.274261710,1,0
17.274432974,1,1
17.275662496,0,1
17.275833854,0,0
17.277063420,1,0
17.277234964,1,1
17.278464066,0,1
17.278634412,0,0
17.279864848,1,0
17.280036088,1,1
17.281265634,0,1
17.281436986,0,0
17.282666558,1,0
17.282838046,1,1
17.284067204,0,1
17.284237544,0,0
17.285467986,1,0
17.285639102,1,1
17.286868772,0,1
17.287040018,0,0
17.288269696,1,0
17.288441010,1,1
17.289670342,0,1
17.289840492,0,0
17.291071124,1,0
17.291242184,1,1
17.292471902,0,1
17.292643114,0,0
17.293872834,1,0
17.294044340,1,1
17.295273480,0,1
17.295443856,0,0
17.296674262,1,0
17.296845414,1,1
17.298075048,0,1
17.298246396,0,0
17.299475972,1,0
17.299647372,1,1
17.300876618,0,1
17.301046936,0,0
17.302277400,1,0
17.302448512,1,1
17.303678186,0,1
17.303849478,0,0
17.305079110,1,0
17.305250536,1,1
17.306479756,0,1
17.306649952,0,0
17.307880538,1,0
17.308051660,1,1
17.309281324,0,1
17.309452592,0,0
17.310682248,1,0
17.310853750,1,1
17.312082894,0,1
17.312253066,0,0
17.313483676,1,0
17.313654942,1,1
17.314884462,0,1
17.315055524,0,0
17.316285386,1,0
17.316456832,1,1
17.317686032,0,1
17.317856280,0,0
17.319086814,1,0
17.319258106,1,1
17.320487600,0,1
17.320658838,0,0
17.321888524,1,0
17.322059996,1,1
17.323289170,0,1
17.323459428,0,0
17.324689952,1,0
17.324860988,1,1
17.326090738,0,1
17.326261968,0,0
17.327491662,1,0
17.327663228,1,1
17.328892308,0,1
17.329062526,0,0
17.330293090,1,0
17.330464202,1,1
17.331693876,0,1
17.331865000,0,0
17.333094800,1,0
17.333266242,1,1
17.334495446,0,1
17.334665558,0,0
17.335896228,1,0
17.336067434,1,1
17.337297014,0,1
17.337468214,0,0
17.338697938,1,0
17.338869274,1,1
17.340098584,0,1
17.340268972,0,0
17.341499366,1,0
17.341670448,1,1
17.342900152,0,1
17.343071246,0,0
17.344301076,1,0
17.344472638,1,1
17.345701722,0,1
17.345871920,0,0
17.347102504,1,0
17.347273678,1,1
17.348503290,0,1
17.348674526,0,0
17.349904214,1,0
17.350075570,1,1
17.351304860,0,1
17.351475084,0,0
17.352705642,1,0
17.352876844,1,1
17.354106428,0,1
17.354277692,0,0
17.355507352,1,0
17.355678850,1,1
17.356907998,0,1
17.357078248,0,0
17.358308780,1,0
17.358479924,1,1
17.359709566,0,1
17.359880856,0,0
17.361110490,1,0
17.361281966,1,1
17.362511136,0,1
17.362681380,0,0
17.363911918,1,0
17.364083006,1,1
17.365312704,0,1
17.365483938,0,0
17.366713628,1,0
17.366885096,1,1
17.368114274,0,1
17.368284494,0,0
17.369515056,1,0
17.369686220,1,1
17.370915842,0,1
17.371087152,0,0
17.372316766,1,0
17.372488260,1,1
17.373717412,0,1
17.373887658,0,0
17.375118194,1,0
17.375289334,1,1
17.376518980,0,1
17.376690266,0,0
17.377919904,1,0
17.378091292,1,1
17.379320550,0,1
17.379490856,0,0
17.380721332,1,0
17.380892466,1,1
17.382122118,0,1
17.382293198,0,0
17.383523042,1,0
17.383694506,1,1
17.384923688,0,1
17.385093954,0,0
17.386324470,1,0
17.386495630,1,1
17.387725256,0,1
17.387896362,0,0
17.389126180,1,0
17.389297588,1,1
17.390526826,0,1
17.390697236,0,0
17.391927608,1,0
17.392098912,1,1
17.393328394,0,1
17.393499710,0,0
17.394729318,1,0
17.394900752,1,1
17.396129964,0,1
17.396300268,0,0
17.397530746,1,0
17.397701826,1,1
17.398931532,0,1
17.399102758,0,0
17.400332456,1,0
17.400503900,1,1
17.401733102,0,1
17.401903348,0,0
17.403133884,1,0
17.403304990,1,1
17.404534670,0,1
17.404705838,0,0
17.405935594,1,0
17.406106998,1,1
17.407336240,0,1
17.407506512,0,0
17.408737022,1,0
17.408908072,1,1
17.410137808,0,1
17.410309120,0,0
17.411538732,1,0
17.411710146,1,1
17.412939378,0,1
17.413109794,0,0
17.414340160,1,0
17.414511436,1,1
17.415740946,0,1
17.415912202,0,0
17.417141870,1,0
17.417313244,1,1
17.418542516,0,1
17.418712808,0,0
17.419943298,1,0
17.420114518,1,1
17.421344084,0,1
17.421515250,0,0
17.422745008,1,0
17.422916392,1,1
17.424145654,0,1
17.424315922,0,0
17.425546436,1,0
17.425717598,1,1
17.426947222,0,1
17.427118530,0,0
17.428348146,1,0
17.428519640,1,1
