Time [s],Channel 0,Channel 1
0.000000000,0,0
5.838773742,1,0
5.839284988,0,0
5.839286226,0,1
5.839495384,0,0
5.839614850,1,0
5.839791904,1,1
5.839944676,0,1
5.840114296,0,0
5.840274496,1,0
5.840444292,1,1
5.840604322,0,1
5.840774252,0,0
5.840934184,1,0
5.841104272,1,1
5.841264010,0,1
5.841433498,0,0
5.841593830,1,0
5.841763668,1,1
5.841923654,0,1
5.842093712,0,0
5.842253516,1,0
5.842423498,1,1
5.842583342,0,1
5.842752826,0,0
5.842913162,1,0
5.843083062,1,1
5.843242988,0,1
5.843412838,0,0
5.843572850,1,0
5.843742910,1,1
5.843902676,0,1
5.844072170,0,0
5.844232496,1,0
5.844402324,1,1
5.844562322,0,1
5.844732182,0,0
5.844892184,1,0
5.845062220,1,1
5.845222008,0,1
5.845391462,0,0
5.845551828,1,0
5.845721650,1,1
5.845881654,0,1
5.846051476,0,0
5.846211516,1,0
5.846381548,1,1
5.846541342,0,1
5.846710724,0,0
5.846871162,1,0
5.847040994,1,1
5.847200988,0,1
5.847370870,0,0
5.847530850,1,0
5.847700808,1,1
5.847860676,0,1
5.848030118,0,0
5.848190496,1,0
5.848360220,1,1
5.848520320,0,1
5.848690280,0,0
5.848850182,1,0
5.849020068,1,1
5.849180008,0,1
5.849349444,0,0
5.849509828,1,0
5.849679632,1,1
5.849839654,0,1
5.850009592,0,0
5.850169516,1,0
5.850339446,1,1
5.850499342,0,1
5.850668704,0,0
5.850829162,1,0
5.850999008,1,1
5.851158988,0,1
5.851328968,0,0
5.851488850,1,0
5.851658788,1,1
5.851818674,0,1
5.851988082,0,0
5.852148494,1,0
5.852318270,1,1
5.852478320,0,1
5.852648228,0,0
5.852808182,1,0
5.852978166,1,1
5.853138008,0,1
5.853307426,0,0
5.853467828,1,0
5.853637730,1,1
5.853797654,0,1
5.853967690,0,0
5.854127516,1,0
5.854297544,1,1
5.854457340,0,1
5.854626802,0,0
5.854787162,1,0
5.854956990,1,1
5.855116986,0,1
5.855286866,0,0
5.855446848,1,0
5.855616886,1,1
5.855776674,0,1
5.855946114,0,0
5.856106494,1,0
5.856276368,1,1
5.856436320,0,1
