Time [s],Channel 0,Channel 1
0.000000000,0,0
7.370729774,1,0
7.371138550,1,1
7.372220504,0,1
7.372466314,0,0
7.373788140,1,0
7.373955892,1,1
7.375317146,0,1
7.375485184,0,0
7.376721828,1,0
7.376889910,1,1
7.378122256,0,1
7.378290192,0,0
7.379522614,1,0
7.379692118,1,1
7.380923510,0,1
7.381093098,0,0
7.382324116,1,0
7.382493874,1,1
7.383724604,0,1
7.383893972,0,0
7.385125436,1,0
7.385294882,1,1
7.386526098,0,1
7.386695612,0,0
7.387926580,1,0
7.388096238,1,1
7.389327416,0,1
7.389496686,0,0
7.390728074,1,0
7.390897362,1,1
7.392128560,0,1
7.392298094,0,0
7.393529392,1,0
7.393699202,1,1
7.394930056,0,1
7.395099284,0,0
7.396330538,1,0
7.396499976,1,1
7.397731374,0,1
7.397900858,0,0
7.399132032,1,0
7.399301684,1,1
7.400532518,0,1
7.400701848,0,0
7.401933350,1,0
7.402102858,1,1
7.403334012,0,1
7.403503540,0,0
7.404734494,1,0
7.404904248,1,1
7.406135332,0,1
7.406304614,0,0
7.407535988,1,0
7.407705488,1,1
7.408936476,0,1
7.409106070,0,0
7.410337308,1,0
7.410506930,1,1
7.411737970,0,1
7.411907428,0,0
7.413138452,1,0
7.413307986,1,1
7.414539290,0,1
7.414708784,0,0
7.415939946,1,0
7.416109744,1,1
7.417340434,0,1
7.417509742,0,0
7.418741266,1,0
7.418910734,1,1
7.420141928,0,1
7.420311348,0,0
7.421542410,1,0
7.421712224,1,1
7.422943246,0,1
7.423112622,0,0
7.424343904,1,0
7.424513382,1,1
7.425744390,0,1
7.425913880,0,0
7.427145222,1,0
7.427314988,1,1
7.428545884,0,1
7.428715304,0,0
7.429946366,1,0
7.430115862,1,1
7.431347204,0,1
7.431516794,0,0
7.432747862,1,0
7.432917620,1,1
7.434148348,0,1
7.434317668,0,0
7.435549180,1,0
7.435718628,1,1
7.436949842,0,1
7.437119276,0,0
7.438350324,1,0
7.438520184,1,1
7.439751162,0,1
7.439920482,0,0
7.441151818,1,0
7.441321158,1,1
7.442552306,0,1
7.442721740,0,0
7.443953138,1,0
7.444122866,1,1
7.445353800,0,1
7.445523164,0,0
7.446754282,1,0
7.446923672,1,1
7.448155120,0,1
7.448324520,0,0
7.449555776,1,0
7.449725546,1,1
7.450956264,0,1
7.451125594,0,0
7.452357146,1,0
7.452526470,1,1
7.453757758,0,1
7.453927284,0,0
7.455158240,1,0
7.455327910,1,1
7.456559076,0,1
7.456728408,0,0
7.457959734,1,0
7.458129284,1,1
7.459360220,0,1
7.459529766,0,0
7.460761052,1,0
7.460930874,1,1
7.462161714,0,1
7.462331124,0,0
7.463562196,1,0
7.463731648,1,1
7.464963084,0,1
7.465132646,0,0
7.466363690,1,0
7.466533406,1,1
7.467764178,0,1
7.467933404,0,0
7.469165010,1,0
7.469334530,1,1
7.470565672,0,1
7.470735128,0,0
7.471966154,1,0
7.472135970,1,1
7.473366992,0,1
7.473536286,0,0
7.474767648,1,0
7.474936960,1,1
7.476168136,0,1
7.476337776,0,0
7.477569018,1,0
7.477738718,1,1
7.478969630,0,1
7.479138966,0,0
7.480370112,1,0
7.480539658,1,1
7.481770948,0,1
7.481940506,0,0
7.483171606,1,0
7.483341366,1,1
7.484572092,0,1
7.484741614,0,0
7.485972924,1,0
7.486142340,1,1
7.487373588,0,1
7.487543138,0,0
7.488774068,1,0
7.488943846,1,1
7.490174906,0,1
7.490344144,0,0
7.491575564,1,0
7.491745054,1,1
7.492976050,0,1
7.493145502,0,0
7.494376882,1,0
7.494546660,1,1
7.495777544,0,1
7.495946910,0,0
7.497178026,1,0
7.497347452,1,1
7.498578864,0,1
7.498748466,0,0
7.499979520,1,0
7.500149208,1,1
7.501380008,0,1
7.501549256,0,0
7.502780840,1,0
7.502950300,1,1
7.504181502,0,1
7.504350998,0,0
7.505581984,1,0
7.505751706,1,1
7.506982822,0,1
7.507152154,0,0
7.508383478,1,0
7.508552780,1,1
7.509783966,0,1
7.509953428,0,0
7.511184798,1,0
7.511354588,1,1
7.512585460,0,1
7.512754786,0,0
7.513985942,1,0
7.514155512,1,1
7.515386778,0,1
7.515556242,0,0
7.516787436,1,0
7.516957268,1,1
7.518187922,0,1
7.518357266,0,0
7.519588754,1,0
7.519758226,1,1
7.520989416,0,1
7.521158958,0,0
7.522389898,1,0
7.522559582,1,1
7.523790786,0,1
7.523960148,0,0
7.525191392,1,0
7.525360790,1,1
7.526591880,0,1
7.526761488,0,0
7.527992712,1,0
7.528162398,1,1
7.529393374,0,1
7.529562712,0,0
7.530793856,1,0
7.530963320,1,1
7.532194694,0,1
7.532364252,0,0
7.533595350,1,0
7.533765228,1,1
7.534995838,0,1
7.535165194,0,0
7.536396720,1,0
7.536566152,1,1
7.537797332,0,1
7.537966734,0,0
7.539197814,1,0
7.539367642,1,1
7.540598650,0,1
7.540767958,0,0
7.541999308,1,0
7.542168632,1,1
7.543399794,0,1
7.543569364,0,0
7.544800626,1,0
7.544970474,1,1
7.546201288,0,1
7.546370638,0,0
7.547601772,1,0
7.547771398,1,1
7.549002608,0,1
7.549172128,0,0
7.550403266,1,0
7.550573004,1,1
7.551803752,0,1
7.551973202,0,0
7.553204584,1,0
7.553374012,1,1
7.554605246,0,1
7.554774810,0,0
7.556005728,1,0
7.556175368,1,1
7.557406566,0,1
7.557575884,0,0
7.558807222,1,0
7.558976776,1,1
7.560207710,0,1
7.560377224,0,0
7.561608542,1,0
7.561778250,1,1
7.563009204,0,1
7.563178498,0,0
7.564409686,1,0
7.564579056,1,1
7.565810524,0,1
7.565980056,0,0
7.567211180,1,0
7.567380964,1,1
7.568611668,0,1
7.568780928,0,0
7.570012500,1,0
7.570181938,1,1
7.571413162,0,1
7.571582620,0,0
7.572813644,1,0
7.572983296,1,1
7.574214480,0,1
7.574383810,0,0
7.575615138,1,0
7.575784652,1,1
7.577015624,0,1
7.577185184,0,0
7.578416456,1,0
7.578586210,1,1
7.579817118,0,1
7.579986458,0,0
7.581217600,1,0
7.581387066,1,1
7.582618438,0,1
7.582787798,0,0
7.584019094,1,0
7.584188690,1,1
7.585419582,0,1
7.585588938,0,0
7.586820414,1,0
7.586989814,1,1
7.588221076,0,1
7.588390596,0,0
7.589621558,1,0
7.589791254,1,1
7.591022396,0,1
7.591191704,0,0
7.592423052,1,0
7.592592462,1,1
7.593823540,0,1
7.593993026,0,0
7.595224372,1,0
7.595394136,1,1
7.596625034,0,1
7.596794434,0,0
7.598025516,1,0
7.598194994,1,1
7.599426352,0,1
7.599595792,0,0
7.600827010,1,0
7.600996700,1,1
7.602227496,0,1
7.602396798,0,0
7.603628328,1,0
7.603797908,1,1
7.605028992,0,1
7.605198472,0,0
7.606429472,1,0
7.606599182,1,1
7.607830310,0,1
7.607999630,0,0
7.609230968,1,0
7.609400388,1,1
7.610631454,0,1
7.610800970,0,0
7.612032286,1,0
7.612202062,1,1
7.613432948,0,1
7.613602244,0,0
7.614833430,1,0
7.615002920,1,1
7.616234268,0,1
7.616403718,0,0
7.617634924,1,0
7.617804676,1,1
7.619035412,0,1
7.619204724,0,0
7.620436244,1,0
7.620605634,1,1
7.621836906,0,1
7.622006366,0,0
7.623237388,1,0
7.623407108,1,1
7.624638224,0,1
7.624807556,0,0
7.626038882,1,0
7.626208314,1,1
7.627439370,0,1
7.627608846,0,0
7.628840202,1,0
7.629009922,1,1
7.630240864,0,1
7.630410320,0,0
7.631641346,1,0
7.631810878,1,1
7.633042182,0,1
7.633211778,0,0
7.634442840,1,0
7.634612552,1,1
7.635843326,0,1
7.636012734,0,0
7.637244158,1,0
7.637413560,1,1
7.638644820,0,1
7.638814408,0,0
7.640045302,1,0
7.640215050,1,1
7.641446140,0,1
7.641615566,0,0
7.642846796,1,0
7.643016174,1,1
7.644247284,0,1
7.644416772,0,0
7.645648116,1,0
7.645817798,1,1
7.647048778,0,1
7.647218046,0,0
7.648449260,1,0
7.648618738,1,1
7.649850098,0,1
7.650019586,0,0
7.651250754,1,0
7.651420612,1,1
7.652651242,0,1
7.652820660,0,0
7.654052074,1,0
7.654221570,1,1
7.655452736,0,1
7.655622218,0,0
7.656853218,1,0
7.657023044,1,1
7.658254054,0,1
7.658423424,0,0
7.659654712,1,0
7.659824184,1,1
