Time [s],Channel 0,Channel 1
0.000000000,0,0
34.366645700,1,0
34.367280754,1,1
34.368229498,0,1
34.368509016,0,0
34.369961794,1,0
34.370241332,1,1
34.371693512,0,1
34.371973236,0,0
34.373424924,1,0
34.373703934,1,1
34.375156908,0,1
34.375436188,0,0
34.376888622,1,0
34.377168122,1,1
34.378620206,0,1
34.378899926,0,0
34.380351734,1,0
34.380630808,1,1
34.382083610,0,1
34.382362978,0,0
34.383815140,1,0
34.384094660,1,1
34.385546574,0,1
34.385826266,0,0
34.387278486,1,0
34.387557548,1,1
34.389009996,0,1
34.389289386,0,0
34.390741726,1,0
34.391021150,1,1
34.392473626,0,1
34.392753256,0,0
34.394205390,1,0
34.394484354,1,1
34.395937158,0,1
34.396216658,0,0
34.397669086,1,0
34.397948740,1,1
34.399400796,0,1
34.399680346,0,0
34.401132316,1,0
34.401411378,1,1
34.402863760,0,1
34.403143148,0,0
34.404595688,1,0
34.404875230,1,1
34.406327306,0,1
34.406606886,0,0
34.408058978,1,0
34.408338000,1,1
34.409790720,0,1
34.410070172,0,0
34.411522292,1,0
34.411801770,1,1
34.413253950,0,1
34.413533626,0,0
34.414985830,1,0
34.415264908,1,1
34.416717548,0,1
34.416996962,0,0
34.418449210,1,0
34.418728760,1,1
34.420181536,0,1
34.420461166,0,0
34.421913298,1,0
34.422192448,1,1
34.423644708,0,1
34.423924168,0,0
34.425376688,1,0
34.425656184,1,1
34.427108406,0,1
34.427387972,0,0
34.428840034,1,0
34.429119220,1,1
34.430571520,0,1
34.430850992,0,0
34.432303390,1,0
34.432582874,1,1
34.434034924,0,1
34.434314528,0,0
34.435766404,1,0
34.436045560,1,1
34.437498272,0,1
34.437777648,0,0
34.439229792,1,0
34.439509330,1,1
34.440961526,0,1
34.441241184,0,0
34.442693464,1,0
34.442972550,1,1
34.444425182,0,1
34.444704588,0,0
34.446156944,1,0
34.446436470,1,1
34.447888862,0,1
34.448168608,0,0
34.449620616,1,0
34.449899640,1,1
34.451352092,0,1
34.451631528,0,0
34.453083530,1,0
34.453362944,1,1
34.454815464,0,1
34.455095148,0,0
34.456547128,1,0
34.456826180,1,1
34.458278754,0,1
34.458558152,0,0
34.460010492,1,0
34.460290034,1,1
34.461742068,0,1
34.462021738,0,0
34.463473772,1,0
34.463752854,1,1
34.465205640,0,1
34.465485024,0,0
34.466937352,1,0
34.467216824,1,1
34.468669020,0,1
34.468948712,0,0
34.470401366,1,0
34.470680460,1,1
34.472133084,0,1
34.472412564,0,0
34.473864480,1,0
34.474144046,1,1
34.475596464,0,1
34.475876018,0,0
34.477328226,1,0
34.477607334,1,1
34.479059810,0,1
34.479339254,0,0
34.480791290,1,0
34.481070786,1,1
34.482523166,0,1
34.482802708,0,0
34.484254746,1,0
34.484533824,1,1
34.485986180,0,1
34.486265594,0,0
34.487718042,1,0
34.487997594,1,1
34.489449568,0,1
34.489729132,0,0
34.491181348,1,0
34.491460414,1,1
34.492913248,0,1
34.493192650,0,0
34.494644962,1,0
34.494924416,1,1
34.496376870,0,1
34.496656470,0,0
34.498108924,1,0
34.498387954,1,1
34.499840642,0,1
34.500120074,0,0
34.501572146,1,0
34.501851674,1,1
34.503303874,0,1
34.503583660,0,0
34.505035852,1,0
