Time [s],Channel 0,Channel 1
0.000000000,0,0
21.910744104,1,0
21.911567598,1,1
21.912191376,0,1
21.912470686,0,0
21.913585914,1,0
21.913865160,1,1
21.915257164,0,1
21.915536298,0,0
21.916959726,1,0
21.917239330,1,1
21.918662294,0,1
21.918941366,0,0
21.920364856,1,0
21.920644182,1,1
21.922067422,0,1
21.922346636,0,0
21.923769984,1,0
21.924049534,1,1
21.925472552,0,1
21.925751638,0,0
21.927175114,1,0
21.927454270,1,1
21.928877680,0,1
21.929156924,0,0
21.930580242,1,0
21.930859672,1,1
21.932282810,0,1
21.932561976,0,0
21.933985372,1,0
21.934264524,1,1
21.935687938,0,1
21.935967196,0,0
21.937390500,1,0
21.937670028,1,1
21.939093068,0,1
21.939372148,0,0
21.940795630,1,0
21.941074946,1,1
21.942498196,0,1
21.942777334,0,0
21.944200758,1,0
21.944480366,1,1
21.945903326,0,1
21.946182336,0,0
21.947605888,1,0
21.947885018,1,1
21.949308454,0,1
21.949587738,0,0
21.951011016,1,0
21.951290654,1,1
21.952713584,0,1
21.952992742,0,0
21.954416146,1,0
21.954695306,1,1
21.956118712,0,1
21.956397960,0,0
21.957821274,1,0
21.958100642,1,1
21.959523842,0,1
21.959802896,0,0
21.961226404,1,0
21.961505644,1,1
21.962928970,0,1
21.963208298,0,0
21.964631532,1,0
21.964911130,1,1
21.966334100,0,1
21.966613150,0,0
21.968036662,1,0
21.968315916,1,1
21.969739228,0,1
21.970018436,0,0
21.971441790,1,0
21.971721268,1,1
21.973144358,0,1
21.973423440,0,0
21.974846920,1,0
21.975126054,1,1
21.976549486,0,1
21.976828658,0,0
21.978252048,1,0
21.978531606,1,1
21.979954616,0,1
21.980233710,0,0
21.981657178,1,0
21.981936342,1,1
21.983359744,0,1
21.983638914,0,0
21.985062306,1,0
21.985341828,1,1
21.986764874,0,1
21.987044000,0,0
21.988467436,1,0
21.988746680,1,1
21.990170002,0,1
21.990449218,0,0
21.991872564,1,0
21.992152050,1,1
21.993575132,0,1
21.993854220,0,0
21.995277694,1,0
21.995556952,1,1
21.996980260,0,1
21.997259556,0,0
21.998682822,1,0
21.998962322,1,1
22.000385390,0,1
22.000664476,0,0
22.002087952,1,0
22.002367158,1,1
22.003790518,0,1
22.004069694,0,0
22.005493080,1,0
22.005772526,1,1
22.007195648,0,1
22.007474698,0,0
22.008898208,1,0
22.009177378,1,1
22.010600776,0,1
22.010880116,0,0
22.012303338,1,0
22.012582864,1,1
22.014005906,0,1
22.014284918,0,0
22.015708466,1,0
22.015987800,1,1
22.017411034,0,1
22.017690304,0,0
22.019113596,1,0
22.019393002,1,1
22.020816164,0,1
22.021095174,0,0
22.022518724,1,0
22.022797988,1,1
22.024221292,0,1
22.024500642,0,0
