Time [s],Channel 0,Channel 1
0.000000000,0,0
8.849161102,1,0
8.849667900,1,1
8.850601216,0,1
8.850770508,0,0
8.852001188,1,0
8.852170702,1,1
8.853401800,0,1
8.853570466,0,0
8.854802458,1,0
8.854971626,1,1
8.856203120,0,1
8.856372390,0,0
8.857603826,1,0
8.857773066,1,1
8.859004438,0,1
8.859173148,0,0
8.860405094,1,0
8.860574140,1,1
8.861805756,0,1
8.861974872,0,0
8.863206464,1,0
8.863375664,1,1
8.864607076,0,1
8.864775778,0,0
8.866007732,1,0
8.866176872,1,1
8.867408394,0,1
8.867577752,0,0
8.868809100,1,0
8.868978428,1,1
8.870209712,0,1
8.870378544,0,0
8.871610370,1,0
8.871779420,1,1
8.873011032,0,1
8.873180268,0,0
8.874411738,1,0
8.874581110,1,1
8.875812350,0,1
8.875981024,0,0
8.877213006,1,0
8.877382066,1,1
8.878613670,0,1
8.878782866,0,0
8.880014376,1,0
8.880183674,1,1
8.881414988,0,1
8.881583706,0,0
8.882815644,1,0
8.882984664,1,1
8.884216306,0,1
8.884385480,0,0
8.885617014,1,0
8.885786356,1,1
8.887017626,0,1
8.887186320,0,0
8.888418282,1,0
8.888587362,1,1
8.889818944,0,1
8.889988244,0,0
8.891219650,1,0
8.891388920,1,1
8.892620262,0,1
8.892789002,0,0
8.894020920,1,0
8.894190044,1,1
8.895421582,0,1
8.895590876,0,0
8.896822288,1,0
8.896991518,1,1
8.898222900,0,1
8.898391716,0,0
8.899623556,1,0
8.899792592,1,1
8.901024218,0,1
8.901193490,0,0
8.902424926,1,0
8.902594200,1,1
8.903825538,0,1
8.903994398,0,0
8.905226194,1,0
8.905395240,1,1
8.906626856,0,1
8.906795972,0,0
8.908027562,1,0
8.908196848,1,1
8.909428174,0,1
8.909596796,0,0
8.910828832,1,0
8.910997922,1,1
8.912229494,0,1
8.912398802,0,0
8.913630200,1,0
8.913799446,1,1
8.915030812,0,1
8.915199610,0,0
8.916431468,1,0
8.916600520,1,1
8.917832130,0,1
8.918001334,0,0
8.919232838,1,0
8.919402126,1,1
8.920633450,0,1
8.920802242,0,0
8.922034106,1,0
8.922203084,1,1
8.923434768,0,1
8.923604098,0,0
8.924835474,1,0
8.925004692,1,1
8.926236086,0,1
8.926404856,0,0
8.927636744,1,0
8.927805848,1,1
8.929037406,0,1
8.929206614,0,0
8.930438112,1,0
8.930607456,1,1
8.931838724,0,1
8.932007538,0,0
8.933239380,1,0
8.933408380,1,1
8.934640042,0,1
8.934809294,0,0
8.936040750,1,0
8.936210020,1,1
8.937441362,0,1
8.937610168,0,0
8.938842018,1,0
8.939011144,1,1
8.940242680,0,1
8.940411892,0,0
8.941643386,1,0
8.941812668,1,1
8.943043998,0,1
8.943212734,0,0
8.944444656,1,0
8.944613826,1,1
8.945845318,0,1
8.946014708,0,0
8.947246024,1,0
8.947415232,1,1
8.948646636,0,1
8.948815230,0,0
8.950047292,1,0
8.950216506,1,1
8.951447954,0,1
8.951617222,0,0
8.952848662,1,0
8.953017948,1,1
8.954249274,0,1
8.954418028,0,0
8.955649930,1,0
8.955819072,1,1
8.957050592,0,1
8.957219752,0,0
8.958451300,1,0
8.958620546,1,1
8.959851912,0,1
8.960020710,0,0
8.961252568,1,0
8.961421620,1,1
8.962653230,0,1
8.962822384,0,0
8.964053936,1,0
8.964223310,1,1
8.965454548,0,1
8.965623192,0,0
8.966855206,1,0
8.967024234,1,1
8.968255868,0,1
8.968425066,0,0
8.969656574,1,0
8.969825874,1,1
8.971057186,0,1
8.971225956,0,0
8.972457842,1,0
8.972627066,1,1
8.973858504,0,1
8.974027630,0,0
8.975259212,1,0
8.975428356,1,1
8.976659824,0,1
8.976828638,0,0
8.978060480,1,0
8.978229480,1,1
8.979461142,0,1
8.979630362,0,0
8.980861848,1,0
8.981031154,1,1
8.982262460,0,1
8.982431118,0,0
8.983663118,1,0
8.983832312,1,1
8.985063780,0,1
8.985232876,0,0
8.986464486,1,0
8.986633718,1,1
8.987865098,0,1
8.988033884,0,0
8.989265754,1,0
8.989434792,1,1
8.990666416,0,1
8.990835558,0,0
8.992067124,1,0
8.992236400,1,1
8.993467736,0,1
8.993636564,0,0
8.994868392,1,0
8.995037356,1,1
8.996269054,0,1
8.996438122,0,0
8.997669760,1,0
8.997838964,1,1
8.999070372,0,1
8.999239080,0,0
9.000471030,1,0
9.000640154,1,1
9.001871692,0,1
9.002041002,0,0
9.003272398,1,0
9.003441696,1,1
9.004673010,0,1
9.004841760,0,0
9.006073666,1,0
9.006242802,1,1
9.007474328,0,1
9.007643534,0,0
9.008875036,1,0
9.009044260,1,1
9.010275648,0,1
9.010444524,0,0
9.011676304,1,0
9.011845484,1,1
9.013076966,0,1
9.013246166,0,0
9.014477674,1,0
9.014646892,1,1
9.015878284,0,1
9.016047006,0,0
9.017278942,1,0
9.017448048,1,1
9.018679604,0,1
9.018848730,0,0
9.020080310,1,0
9.020249622,1,1
9.021480922,0,1
9.021649804,0,0
9.022881580,1,0
9.023050730,1,1
9.024282242,0,1
9.024451494,0,0
9.025682948,1,0
9.025852338,1,1
9.027083560,0,1
9.027252418,0,0
9.028484216,1,0
9.028663970,1,1
9.029884878,0,1
9.030053876,0,0
9.031285586,1,0
9.031454936,1,1
9.032686198,0,1
9.032854934,0,0
9.034086854,1,0
9.034255976,1,1
9.035487516,0,1
9.035656708,0,0
9.036888222,1,0
9.037057550,1,1
9.038288834,0,1
9.038457614,0,0
9.039689492,1,0
9.039858506,1,1
9.041090154,0,1
9.041259272,0,0
9.042490860,1,0
9.042660114,1,1
9.043891472,0,1
9.044060178,0,0
9.045292128,1,0
9.045461188,1,1
9.046692790,0,1
9.046861954,0,0
9.048093498,1,0
9.048262796,1,1
9.049494110,0,1
9.049662910,0,0
9.050894766,1,0
9.051063870,1,1
9.052295428,0,1
9.052464584,0,0
9.053696134,1,0
9.053865476,1,1
9.055096746,0,1
9.055265392,0,0
9.056497404,1,0
9.056666584,1,1
9.057898066,0,1
9.058067316,0,0
9.059298772,1,0
9.059468042,1,1
9.060699384,0,1
9.060868222,0,0
9.062100040,1,0
9.062269116,1,1
9.063500702,0,1
9.063670080,0,0
9.064901410,1,0
9.065070590,1,1
9.066302022,0,1
9.066470704,0,0
9.067702678,1,0
9.067871746,1,1
9.069103340,0,1
9.069272562,0,0
9.070504046,1,0
9.070673204,1,1
9.071904658,0,1
9.072073386,0,0
