Time [s],Channel 0,Channel 1
0.000000000,0,0
9.565738406,1,0
9.566368064,1,1
9.567158328,0,1
9.567437306,0,0
9.568557902,1,0
9.568836832,1,1
9.569958566,0,1
9.570236866,0,0
9.571359224,1,0
9.571637842,1,1
9.572759886,0,1
9.573038590,0,0
9.574160544,1,0
9.574439400,1,1
9.575561208,0,1
9.575839634,0,0
9.576961864,1,0
9.577240594,1,1
9.578362528,0,1
9.578641410,0,0
9.579763186,1,0
9.580042086,1,1
9.581163848,0,1
9.581442118,0,0
9.582564506,1,0
9.582843212,1,1
9.583965170,0,1
9.584243978,0,0
9.585365828,1,0
9.585644820,1,1
9.586766490,0,1
9.587044802,0,0
9.588167148,1,0
9.588445846,1,1
9.589567810,0,1
9.589846696,0,0
9.590968468,1,0
9.591247338,1,1
9.592369132,0,1
9.592647504,0,0
9.593769790,1,0
9.594048414,1,1
9.595170452,0,1
9.595449180,0,0
9.596571110,1,0
9.596850074,1,1
9.597971774,0,1
9.598250188,0,0
9.599372430,1,0
9.599651182,1,1
9.600773094,0,1
9.601051914,0,0
9.602173752,1,0
9.602452642,1,1
9.603574414,0,1
9.603852756,0,0
9.604975072,1,0
9.605253716,1,1
9.606375736,0,1
9.606654550,0,0
9.607776394,1,0
9.608055126,1,1
9.609177056,0,1
9.609455442,0,0
9.610577714,1,0
9.610856352,1,1
9.611978378,0,1
9.612257168,0,0
9.613379034,1,0
9.613657960,1,1
9.614779698,0,1
9.615057992,0,0
9.616180356,1,0
9.616459036,1,1
9.617581018,0,1
9.617859852,0,0
9.618981676,1,0
9.619260446,1,1
9.620382340,0,1
9.620660760,0,0
9.621782996,1,0
9.622061720,1,1
9.623183660,0,1
9.623462486,0,0
9.624584318,1,0
9.624863264,1,1
9.625984980,0,1
9.626263330,0,0
9.627385638,1,0
9.627664290,1,1
9.628786302,0,1
9.629065104,0,0
9.630186960,1,0
9.630465832,1,1
9.631587622,0,1
9.631866098,0,0
9.632988280,1,0
9.633267108,1,1
9.634388942,0,1
9.634667740,0,0
9.635789600,1,0
9.636068516,1,1
9.637190264,0,1
9.637468582,0,0
9.638590922,1,0
9.638869626,1,1
9.639991584,0,1
9.640270424,0,0
9.641392242,1,0
9.641671084,1,1
9.642792906,0,1
9.643071266,0,0
9.644193562,1,0
9.644472226,1,1
9.645594226,0,1
9.645873042,0,0
9.646994884,1,0
9.647273836,1,1
9.648395546,0,1
9.648673768,0,0
9.649796204,1,0
9.650074878,1,1
9.651196868,0,1
9.651475676,0,0
9.652597526,1,0
9.652876404,1,1
9.653998188,0,1
9.654276570,0,0
9.655398846,1,0
9.655677680,1,1
9.656799508,0,1
9.657078378,0,0
9.658200166,1,0
9.658479088,1,1
9.659600830,0,1
9.659879288,0,0
9.661001488,1,0
9.661280164,1,1
9.662402150,0,1
9.662680930,0,0
9.663802808,1,0
9.664081706,1,1
9.665203472,0,1
9.665481888,0,0
9.666604128,1,0
9.666882782,1,1
9.668004792,0,1
9.668283498,0,0
9.669405450,1,0
9.669684340,1,1
9.670806112,0,1
9.671084506,0,0
9.672206770,1,0
9.672485350,1,1
9.673607434,0,1
9.673886232,0,0
9.675008092,1,0
9.675286958,1,1
9.676408754,0,1
9.676687074,0,0
9.677809412,1,0
9.678088184,1,1
9.679210074,0,1
9.679488750,0,0
9.680610732,1,0
9.680889676,1,1
9.682011396,0,1
9.682289710,0,0
9.683412054,1,0
9.683690670,1,1
9.684812716,0,1
9.685091518,0,0
9.686213374,1,0
9.686492278,1,1
9.687614038,0,1
9.687892394,0,0
9.689014694,1,0
9.689293488,1,1
9.690415358,0,1
9.690694202,0,0
9.691816016,1,0
9.692094930,1,1
9.693216678,0,1
9.693495012,0,0
9.694617336,1,0
9.694895922,1,1
9.696018000,0,1
9.696296970,0,0
9.697418658,1,0
9.697697614,1,1
9.698819320,0,1
9.699097580,0,0
9.700219978,1,0
9.700498690,1,1
9.701620640,0,1
9.701899506,0,0
9.703021298,1,0
9.703300148,1,1
9.704421962,0,1
9.704700264,0,0
9.705822620,1,0
9.706101458,1,1
9.707223282,0,1
9.707502056,0,0
9.708623940,1,0
9.708902868,1,1
9.710024604,0,1
9.710302950,0,0
9.711425260,1,0
9.711703992,1,1
9.712825924,0,1
9.713104758,0,0
9.714226582,1,0
9.714505552,1,1
9.715627244,0,1
9.715905718,0,0
9.717027902,1,0
9.717306628,1,1
9.718428566,0,1
9.718707444,0,0
9.719829224,1,0
9.720108170,1,1
9.721229886,0,1
9.721508352,0,0
9.722630544,1,0
9.722909396,1,1
9.724031206,0,1
9.724310128,0,0
9.725431864,1,0
9.725710722,1,1
9.726832528,0,1
9.727110920,0,0
9.728233186,1,0
9.728511814,1,1
9.729633848,0,1
9.729912696,0,0
9.731034506,1,0
9.731313372,1,1
9.732435170,0,1
9.732713522,0,0
9.733835826,1,0
9.734114498,1,1
9.735236490,0,1
9.735515264,0,0
9.736637148,1,0
9.736916108,1,1
9.738037810,0,1
9.738316090,0,0
9.739438468,1,0
9.739717132,1,1
9.740839132,0,1
9.741117948,0,0
9.742239790,1,0
9.742518676,1,1
9.743640452,0,1
9.743918774,0,0
9.745041110,1,0
9.745319900,1,1
9.746441772,0,1
9.746720584,0,0
9.747842430,1,0
9.748121226,1,1
9.749243094,0,1
9.749521542,0,0
9.750643752,1,0
9.750922436,1,1
9.752044414,0,1
9.752323202,0,0
9.753445072,1,0
9.753723994,1,1
9.754845736,0,1
9.755124160,0,0
9.756246392,1,0
9.756525120,1,1
9.757647056,0,1
9.757925886,0,0
9.759047714,1,0
9.759326612,1,1
9.760448376,0,1
9.760726844,0,0
9.761849034,1,0
9.762127688,1,1
9.763249698,0,1
9.763528520,0,0
9.764650356,1,0
9.764929364,1,1
9.766051018,0,1
9.766329280,0,0
9.767451676,1,0
9.767730406,1,1
9.768852338,0,1
9.769131088,0,0
9.770252996,1,0
9.770531816,1,1
9.771653660,0,1
9.771932048,0,0
9.773054318,1,0
9.773332940,1,1
9.774454980,0,1
9.774733824,0,0
9.775855638,1,0
9.776134500,1,1
9.777256302,0,1
9.777534732,0,0
9.778656958,1,0
9.778935626,1,1
9.780057622,0,1
9.780336392,0,0
9.781458280,1,0
9.781737118,1,1
9.782858942,0,1
9.783137300,0,0
9.784259600,1,0
9.784538344,1,1
9.785660264,0,1
9.785939026,0,0
9.787060922,1,0
9.787339952,1,1
9.788461584,0,1
9.788739768,0,0
9.789862242,1,0
9.790140944,1,1
9.791262904,0,1
9.791541760,0,0
9.792663562,1,0
9.792942488,1,1
9.794064226,0,1
9.794342552,0,0
9.795464884,1,0
9.795743446,1,1
9.796865546,0,1
9.797144196,0,0
9.798266204,1,0
9.798545206,1,1
9.799666866,0,1
9.799945238,0,0
9.801067524,1,0
9.801346132,1,1
9.802468188,0,1
9.802747014,0,0
9.803868846,1,0
9.804147740,1,1
9.805269508,0,1
9.805547806,0,0
9.806670166,1,0
9.806948966,1,1
9.808070830,0,1
9.808349582,0,0
9.809471488,1,0
9.809750424,1,1
9.810872150,0,1
9.811150490,0,0
9.812272808,1,0
9.812551534,1,1
9.813673470,0,1
9.813952216,0,0
9.815074128,1,0
9.815353060,1,1
9.816474792,0,1
9.816753058,0,0
9.817875450,1,0
9.818154068,1,1
9.819276112,0,1
9.819554984,0,0
9.820676770,1,0
9.820955678,1,1
9.822077434,0,1
9.822355744,0,0
9.823478090,1,0
9.823756704,1,1
9.824878754,0,1
9.825157518,0,0
9.826279412,1,0
9.826558312,1,1
9.827680074,0,1
9.827958428,0,0
9.829080732,1,0
9.829359472,1,1
9.830481396,0,1
9.830760204,0,0
9.831882052,1,0
9.832160880,1,1
9.833282716,0,1
9.833560996,0,0
9.834683374,1,0
9.834962040,1,1
9.836084036,0,1
9.836362772,0,0
9.837484694,1,0
9.837763648,1,1
9.838885358,0,1
9.839163730,0,0
9.840286016,1,0
9.840564774,1,1
9.841686678,0,1
9.841965540,0,0
9.843087336,1,0
9.843366182,1,1
9.844488000,0,1
9.844766366,0,0
9.845888656,1,0
9.846167458,1,1
9.847289320,0,1
9.847568090,0,0
9.848689978,1,0
9.848968900,1,1
9.850090640,0,1
9.850368934,0,0
9.851491298,1,0
9.851769976,1,1
9.852891962,0,1
9.853170776,0,0
9.854292618,1,0
9.854571586,1,1
9.855693282,0,1
9.855971618,0,0
9.857093940,1,0
9.857372662,1,1
9.858494602,0,1
9.858773426,0,0
9.859895260,1,0
9.860174070,1,1
9.861295924,0,1
9.861574186,0,0
9.862696582,1,0
9.862975230,1,1
9.864097244,0,1
9.864376112,0,0
9.865497902,1,0
9.865776754,1,1
9.866898566,0,1
9.867176920,0,0
9.868299222,1,0
9.868587956,1,1
9.869699886,0,1
9.869978530,0,0
9.871100544,1,0
9.871379374,1,1
9.872501206,0,1
9.872779638,0,0
9.873901864,1,0
9.874180598,1,1
9.875302528,0,1
9.875581282,0,0
9.876703184,1,0
9.876982008,1,1
9.878103848,0,1
9.878382240,0,0
9.879504506,1,0
9.879783216,1,1
9.880905168,0,1
9.881184050,0,0
9.882305826,1,0
9.882584776,1,1
9.883706490,0,1
9.883984942,0,0
9.885107148,1,0
9.885385852,1,1
9.886507810,0,1
9.886786618,0,0
9.887908468,1,0
9.888187460,1,1
9.889309130,0,1
9.889587492,0,0
9.890709788,1,0
9.890988586,1,1
9.892110452,0,1
9.892389302,0,0
9.893511110,1,0
9.893790078,1,1
9.894911772,0,1
9.895190144,0,0
9.896312430,1,0
9.896591020,1,1
9.897713094,0,1
9.897991920,0,0
9.899113750,1,0
9.899392762,1,1
9.900514414,0,1
9.900792678,0,0
9.901915072,1,0
9.902193838,1,1
9.903315734,0,1
9.903594472,0,0
9.904716392,1,0
9.904995282,1,1
9.906117056,0,1
9.906395364,0,0
9.907517714,1,0
9.907796356,1,1
9.908918376,0,1
9.909197322,0,0
9.910319034,1,0
9.910598016,1,1
9.911719696,0,1
9.911997998,0,0
9.913120354,1,0
9.913398974,1,1
9.914521018,0,1
9.914799808,0,0
9.915921676,1,0
9.916200650,1,1
9.917322338,0,1
9.917600682,0,0
9.918722996,1,0
9.919001726,1,1
9.920123660,0,1
9.920402426,0,0
9.921524316,1,0
9.921803268,1,1
9.922924980,0,1
9.923203334,0,0
9.924325638,1,0
9.924604410,1,1
9.925726300,0,1
9.926005260,0,0
9.927126958,1,0
9.927405904,1,1
9.928527622,0,1
9.928806018,0,0
9.929928280,1,0
9.930206978,1,1
9.931328942,0,1
9.931607794,0,0
9.932729600,1,0
9.933008470,1,1
9.934130262,0,1
9.934408436,0,0
9.935530920,1,0
9.935809596,1,1
9.936931584,0,1
9.937210430,0,0
9.938332242,1,0
9.938611156,1,1
9.939732904,0,1
9.940011188,0,0
9.941133562,1,0
9.941412282,1,1
9.942534226,0,1
9.942812998,0,0
9.943934882,1,0
9.944213774,1,1
9.945335546,0,1
9.945613956,0,0
9.946736204,1,0
9.947015000,1,1
9.948136866,0,1
9.948415732,0,0
9.949537524,1,0
9.949816324,1,1
9.950938188,0,1
9.951216490,0,0
9.952338846,1,0
9.952617534,1,1
9.953739508,0,1
9.954018300,0,0
9.955140166,1,0
9.955419144,1,1
9.956540828,0,1
9.956819208,0,0
9.957941486,1,0
9.958220302,1,1
9.959342150,0,1
9.959620934,0,0
9.960742808,1,0
9.961021578,1,1
9.962143470,0,1
9.962421776,0,0
9.963544128,1,0
9.963822936,1,1
9.964944790,0,1
9.965223502,0,0
9.966345448,1,0
9.966624262,1,1
9.967746112,0,1
9.968024578,0,0
9.969146770,1,0
9.969425422,1,1
9.970547432,0,1
9.970826238,0,0
9.971948090,1,0
9.972226914,1,1
9.973348754,0,1
9.973627196,0,0
9.974749410,1,0
9.975028040,1,1
9.976150074,0,1
9.976428872,0,0
9.977550732,1,0
9.977829598,1,1
9.978951394,0,1
9.979229764,0,0
9.980352052,1,0
9.980630724,1,1
9.981752716,0,1
9.982031490,0,0
9.983153374,1,0
9.983432284,1,1
9.984554036,0,1
9.984832316,0,0
9.985954694,1,0
9.986233442,1,1
9.987355356,0,1
9.987634058,0,0
9.988756014,1,0
9.989034852,1,1
9.990156678,0,1
9.990434968,0,0
9.991557336,1,0
9.991836126,1,1
9.992957998,0,1
9.993236892,0,0
9.994358656,1,0
9.994637536,1,1
9.995759320,0,1
9.996037652,0,0
9.997159976,1,0
9.997438662,1,1
9.998560640,0,1
9.998839378,0,0
9.999961298,1,0
10.000240304,1,1
10.001361960,0,1
10.001640336,0,0
10.002762618,1,0
10.003041230,1,1
10.004163282,0,1
10.004442112,0,0
10.005563940,1,0
10.005842788,1,1
10.006964602,0,1
10.007243022,0,0
10.008365260,1,0
10.008643798,1,1
10.009765924,0,1
10.010044830,0,0
10.011166580,1,0
10.011445606,1,1
10.012567244,0,1
10.012845506,0,0
10.013967902,1,0
10.014246550,1,1
10.015368564,0,1
10.015647398,0,0
10.016769222,1,0
10.017048092,1,1
10.018169886,0,1
10.018448274,0,0
10.019570542,1,0
10.019849168,1,1
10.020971206,0,1
10.021250000,0,0
10.022371864,1,0
10.022650776,1,1
10.023772526,0,1
10.024050842,0,0
10.025173184,1,0
10.025451886,1,1
10.026573848,0,1
10.026852684,0,0
10.027974506,1,0
10.028253344,1,1
10.029375168,0,1
10.029653576,0,0
10.030775826,1,0
10.031054486,1,1
10.032176488,0,1
10.032455336,0,0
10.033577146,1,0
10.033855978,1,1
10.034977810,0,1
10.035256094,0,0
10.036378468,1,0
10.036657188,1,1
10.037779130,0,1
10.038057936,0,0
10.039179788,1,0
10.039458664,1,1
10.040580452,0,1
10.040858712,0,0
10.041981108,1,0
10.042259872,1,1
10.043381772,0,1
10.043660588,0,0
10.044782430,1,0
10.045061282,1,1
10.046183092,0,1
10.046461548,0,0
10.047583750,1,0
10.047862590,1,1
10.048984414,0,1
10.049263322,0,0
10.050385070,1,0
10.050663916,1,1
10.051785734,0,1
10.052064032,0,0
10.053186392,1,0
10.053465076,1,1
10.054587054,0,1
10.054865808,0,0
10.055987712,1,0
10.056266684,1,1
10.057388376,0,1
10.057666600,0,0
10.058789034,1,0
10.059067676,1,1
10.060189696,0,1
10.060468442,0,0
10.061590354,1,0
10.061869252,1,1
10.062991016,0,1
10.063269334,0,0
10.064391674,1,0
10.064670444,1,1
10.065792338,0,1
10.066071126,0,0
10.067192996,1,0
10.067471854,1,1
10.068593658,0,1
10.068872020,0,0
10.069994316,1,0
10.070273130,1,1
10.071394980,0,1
10.071673694,0,0
10.072795636,1,0
10.073074472,1,1
10.074196300,0,1
10.074474654,0,0
10.075596958,1,0
10.075875698,1,1
10.076997620,0,1
10.077276462,0,0
10.078398278,1,0
10.078677040,1,1
10.079798942,0,1
10.080077222,0,0
10.081199598,1,0
10.081478316,1,1
10.082600262,0,1
10.082879148,0,0
10.084000920,1,0
10.084279674,1,1
10.085401582,0,1
10.085679990,0,0
10.086802240,1,0
10.087080950,1,1
10.088202904,0,1
10.088481716,0,0
10.089603562,1,0
10.089882408,1,1
10.091004224,0,1
10.091282524,0,0
10.092404882,1,0
10.092683568,1,1
10.093805546,0,1
10.094084450,0,0
10.095206202,1,0
10.095485244,1,1
10.096606866,0,1
10.096885210,0,0
10.098007524,1,0
10.098286202,1,1
10.099408186,0,1
10.099687018,0,0
10.100808844,1,0
10.101087862,1,1
10.102209508,0,1
10.102487728,0,0
10.103610164,1,0
10.103888938,1,1
10.105010828,0,1
10.105289652,0,0
10.106411486,1,0
10.106690380,1,1
10.107812148,0,1
10.108090462,0,0
10.109212806,1,0
10.109491456,1,1
10.110613470,0,1
10.110892338,0,0
10.112014128,1,0
10.112292980,1,1
10.113414790,0,1
10.113693030,0,0
10.114815448,1,0
10.115094224,1,1
10.116216110,0,1
10.116494906,0,0
10.117616768,1,0
10.117895798,1,1
10.119017432,0,1
10.119295714,0,0
10.120418090,1,0
10.120696758,1,1
10.121818752,0,1
10.122097474,0,0
10.123219410,1,0
10.123498316,1,1
10.124620074,0,1
10.124898282,0,0
10.126020730,1,0
10.126299392,1,1
10.127421394,0,1
10.127700274,0,0
10.128822052,1,0
10.129101052,1,1
10.130222714,0,1
10.130501034,0,0
10.131623372,1,0
10.131902128,1,1
10.133024036,0,1
10.133302844,0,0
10.134424694,1,0
10.134703686,1,1
10.135825356,0,1
10.136103602,0,0
10.137226014,1,0
10.137504846,1,1
10.138626676,0,1
10.138905460,0,0
10.140027334,1,0
10.140306188,1,1
10.141427998,0,1
10.141706220,0,0
10.142828656,1,0
10.143107264,1,1
10.144229318,0,1
10.144508096,0,0
10.145629976,1,0
10.145908872,1,1
10.147030640,0,1
10.147308938,0,0
10.148431296,1,0
10.148709832,1,1
10.149831960,0,1
10.150110864,0,0
10.151232618,1,0
10.151511506,1,1
10.152633280,0,1
10.152911622,0,0
10.154033938,1,0
10.154312582,1,1
10.155434602,0,1
10.155713398,0,0
10.156835260,1,0
10.157114242,1,1
10.158235922,0,1
10.158514224,0,0
10.159636580,1,0
10.159915350,1,1
10.161037242,0,1
10.161316116,0,0
10.162437900,1,0
10.162716760,1,1
10.163838564,0,1
10.164116792,0,0
10.165239222,1,0
10.165517836,1,1
10.166639884,0,1
10.166918600,0,0
10.168040542,1,0
10.168319444,1,1
10.169441206,0,1
10.169719560,0,0
10.170841862,1,0
10.171120604,1,1
10.172242526,0,1
10.172521286,0,0
10.173643184,1,0
10.173922062,1,1
10.175043846,0,1
10.175322178,0,0
10.176444504,1,0
10.176723288,1,1
10.177845168,0,1
10.178123820,0,0
10.179245824,1,0
10.179524696,1,1
10.180646488,0,1
10.180924730,0,0
10.182047146,1,0
10.182325822,1,1
10.183447808,0,1
10.183726654,0,0
10.184848466,1,0
10.185127314,1,1
10.186249130,0,1
10.186527498,0,0
10.187649788,1,0
10.187928590,1,1
10.189050450,0,1
10.189329224,0,0
10.190451108,1,0
10.190730000,1,1
10.191851770,0,1
10.192130266,0,0
10.193252428,1,0
10.193531026,1,1
10.194653092,0,1
10.194931908,0,0
10.196053750,1,0
10.196332634,1,1
10.197454412,0,1
10.197732666,0,0
10.198855070,1,0
10.199133794,1,1
10.200255734,0,1
10.200534476,0,0
10.201656390,1,0
10.201935318,1,1
10.203057054,0,1
10.203335484,0,0
10.204457712,1,0
10.204736394,1,1
10.205858374,0,1
10.206137094,0,0
10.207259032,1,0
10.207537886,1,1
10.208659696,0,1
10.208938052,0,0
10.210060354,1,0
10.210338962,1,1
10.211461016,0,1
10.211739778,0,0
10.212861674,1,0
10.213140654,1,1
10.214262336,0,1
10.214540620,0,0
10.215662994,1,0
10.215941730,1,1
10.217063658,0,1
10.217342462,0,0
10.218464316,1,0
10.218743140,1,1
10.219864978,0,1
10.220143306,0,0
10.221265636,1,0
10.221544348,1,1
10.222666298,0,1
10.222944980,0,0
10.224066956,1,0
10.224345908,1,1
10.225467620,0,1
10.225746056,0,0
10.226868278,1,0
10.227146900,1,1
10.228268940,0,1
10.228547716,0,0
10.229669598,1,0
10.229948508,1,1
10.231070262,0,1
10.231348558,0,0
10.232470918,1,0
10.232749518,1,1
10.233871582,0,1
10.234150434,0,0
10.235272240,1,0
10.235551210,1,1
10.236672902,0,1
10.236951310,0,0
10.238073560,1,0
10.238352236,1,1
10.239474224,0,1
10.239753118,0,0
10.240874882,1,0
10.241153762,1,1
10.242275544,0,1
10.242553878,0,0
10.243676202,1,0
10.243954920,1,1
10.245076864,0,1
10.245355736,0,0
10.246477522,1,0
10.246756446,1,1
