Time [s],Channel 0,Channel 1
0.000000000,0,0
28.004466384,1,0
28.004974392,1,1
28.005954756,0,1
28.006200570,0,0
28.007518040,1,0
28.007685956,1,1
28.008909160,0,1
28.009151954,0,0
28.010283324,1,0
28.010452294,1,1
28.011683986,0,1
28.011853184,0,0
28.013084644,1,0
28.013253560,1,1
28.014485304,0,1
28.014655842,0,0
28.015886504,1,0
28.016056684,1,1
28.017286724,0,1
28.017456832,0,0
28.018687054,1,0
28.018857358,1,1
28.020087392,0,1
28.020257922,0,0
28.021487790,1,0
28.021658080,1,1
28.022888194,0,1
28.023058446,0,0
28.024288466,1,0
28.024458838,1,1
28.025688920,0,1
28.025859486,0,0
28.027089802,1,0
28.027259912,1,1
28.028490464,0,1
28.028660726,0,0
28.029891120,1,0
28.030061452,1,1
28.031291782,0,1
28.031462366,0,0
28.032692438,1,0
28.032862592,1,1
28.034093100,0,1
28.034263440,0,0
28.035493756,1,0
28.035664082,1,1
28.036894418,0,1
28.037064914,0,0
28.038295074,1,0
28.038465240,1,1
28.039695736,0,1
28.039865920,0,0
28.041096392,1,0
28.041266762,1,1
28.042497054,0,1
28.042667678,0,0
28.043897710,1,0
28.044067920,1,1
28.045298372,0,1
28.045468734,0,0
28.046699030,1,0
28.046869444,1,1
28.048099690,0,1
28.048270292,0,0
28.049500348,1,0
28.049670600,1,1
28.050901010,0,1
28.051071282,0,0
28.052301666,1,0
28.052471940,1,1
28.053702328,0,1
28.053872838,0,0
28.055102984,1,0
28.055273080,1,1
28.056503646,0,1
28.056673928,0,0
28.057904302,1,0
28.058074688,1,1
28.059304964,0,1
28.059475402,0,0
28.060705620,1,0
28.060875894,1,1
28.062106282,0,1
28.062276526,0,0
28.063506938,1,0
28.063677252,1,1
28.064907600,0,1
28.065077924,0,0
28.066308258,1,0
28.066478376,1,1
28.067708918,0,1
28.067879206,0,0
28.069109576,1,0
28.069279866,1,1
28.070510238,0,1
28.070680696,0,0
28.071910894,1,0
28.072081140,1,1
28.073311556,0,1
28.073481770,0,0
28.074712212,1,0
28.074882412,1,1
28.076112874,0,1
28.076283460,0,0
28.077513530,1,0
28.077683686,1,1
28.078914192,0,1
28.079084502,0,0
28.080314848,1,0
28.080485094,1,1
28.081715510,0,1
28.081886142,0,0
28.083116166,1,0
28.083286384,1,1
28.084516828,0,1
28.084687214,0,0
28.085917486,1,0
28.086087858,1,1
28.087318148,0,1
28.087488772,0,0
28.088718804,1,0
28.088888930,1,1
28.090119466,0,1
28.090289612,0,0
28.091520122,1,0
28.091690472,1,1
28.092920784,0,1
28.093091302,0,0
28.094321440,1,0
28.094491612,1,1
28.095722102,0,1
28.095892426,0,0
28.097122758,1,0
28.097293152,1,1
28.098523420,0,1
28.098694134,0,0
28.099924076,1,0
28.100094176,1,1
28.101324738,0,1
28.101494940,0,0
28.102725394,1,0
28.102895832,1,1
28.104126056,0,1
28.104296614,0,0
28.105526714,1,0
28.105696856,1,1
28.106927374,0,1
28.107097670,0,0
28.108328032,1,0
28.108498396,1,1
28.109728694,0,1
28.109899378,0,0
28.111129350,1,0
28.111299536,1,1
28.112530012,0,1
28.112700300,0,0
28.113930668,1,0
28.114101026,1,1
28.115331330,0,1
28.115501858,0,0
28.116731986,1,0
28.116902100,1,1
28.118132648,0,1
28.118302864,0,0
28.119533304,1,0
28.119703558,1,1
28.120933966,0,1
28.121104472,0,0
28.122334622,1,0
28.122504664,1,1
28.123735284,0,1
28.123905428,0,0
28.125135942,1,0
28.125306322,1,1
28.126536602,0,1
28.126707152,0,0
28.127937260,1,0
28.128107544,1,1
28.129337922,0,1
28.129508226,0,0
28.130738578,1,0
28.130908952,1,1
28.132139240,0,1
28.132309916,0,0
28.133539896,1,0
