Time [s],Channel 0,Channel 1
0.000000000,0,0
26.993032744,1,0
26.993849236,1,1
26.994436364,0,1
26.994827692,0,0
26.996027174,1,0
26.996502858,1,1
26.998161118,0,1
26.998439468,0,0
26.999518508,1,0
26.999798818,1,1
27.001211700,0,1
27.001491438,0,0
27.002905012,1,0
27.003185120,1,1
27.004598514,0,1
27.004877808,0,0
27.006291910,1,0
27.006572290,1,1
27.007985210,0,1
27.008265062,0,0
27.009678698,1,0
27.009958744,1,1
27.011372266,0,1
27.011651466,0,0
27.012729672,1,0
27.013009174,1,1
27.014422816,0,1
27.014702828,0,0
27.016115936,1,0
27.016395828,1,1
27.017809346,0,1
27.018089566,0,0
27.019502766,1,0
27.019782198,1,1
27.021196134,0,1
27.021476018,0,0
27.022889498,1,0
27.023169500,1,1
27.024583124,0,1
27.024863088,0,0
27.025940554,1,0
27.026220814,1,1
27.027633772,0,1
27.027912868,0,0
27.029326952,1,0
27.029606918,1,1
27.031020044,0,1
27.031299972,0,0
27.032713416,1,0
27.032993754,1,1
27.034406800,0,1
27.034685858,0,0
27.036099880,1,0
27.036379892,1,1
27.037793148,0,1
27.038073262,0,0
27.039150536,1,0
27.039430830,1,1
27.040843688,0,1
27.041123626,0,0
27.042536950,1,0
27.042816024,1,1
27.044230094,0,1
27.044510212,0,0
27.045923414,1,0
27.046203712,1,1
27.047616782,0,1
27.047896682,0,0
27.049310154,1,0
27.049589364,1,1
27.051003538,0,1
27.051283552,0,0
27.052697126,1,0
27.052977334,1,1
27.054054686,0,1
27.054334632,0,0
27.055747774,1,0
27.056027782,1,1
27.057441026,0,1
27.057720252,0,0
27.059134054,1,0
27.059414434,1,1
27.060827464,0,1
27.061107372,0,0
27.062520786,1,0
27.062800688,1,1
27.064213894,0,1
27.064493060,0,0
27.065907140,1,0
27.066187492,1,1
27.067264452,0,1
27.067544390,0,0
27.068957598,1,0
27.069237554,1,1
27.070650808,0,1
27.070930960,0,0
27.072343986,1,0
27.072623442,1,1
27.074037314,0,1
27.074317212,0,0
27.075730676,1,0
27.076010644,1,1
27.077424002,0,1
27.077704150,0,0
27.079117432,1,0
27.079396932,1,1
27.080811016,0,1
27.081090952,0,0
27.082168564,1,0
27.082448578,1,1
27.083861714,0,1
27.084141716,0,0
27.085554894,1,0
27.085835198,1,1
27.087248028,0,1
27.087527202,0,0
27.088941366,1,0
27.089221334,1,1
27.090634692,0,1
27.090914740,0,0
27.092327756,1,0
27.092608022,1,1
27.094021056,0,1
27.094300142,0,0
27.095378438,1,0
27.095657552,1,1
27.097071588,0,1
27.097351756,0,0
27.098764752,1,0
27.099044988,1,1
27.100457928,0,1
27.100737876,0,0
27.102151298,1,0
27.102430358,1,1
27.103844666,0,1
27.104124696,0,0
27.105537988,1,0
27.105818328,1,1
27.107231338,0,1
27.107511300,0,0
27.108924950,1,0
27.109204066,1,1
27.110282512,0,1
27.110561712,0,0
27.111975558,1,0
27.112255796,1,1
27.113668742,0,1
27.113948634,0,0
27.115361822,1,0
27.115641848,1,1
27.117055216,0,1
27.117334536,0,0
27.118748536,1,0
27.119028968,1,1
27.120441562,0,1
27.120721390,0,0
27.122134808,1,0
27.122414822,1,1
27.123492144,0,1
27.123772154,0,0
27.125185340,1,0
27.125464836,1,1
27.126878584,0,1
27.127158324,0,0
27.128571738,1,0
27.128851688,1,1
27.130265064,0,1
27.130545144,0,0
27.131958468,1,0
27.132237926,1,1
27.133651794,0,1
27.133931696,0,0
27.135345174,1,0
27.135625096,1,1
27.137038750,0,1
27.137318834,0,0
27.138396306,1,0
27.138676592,1,1
27.140089458,0,1
27.140368514,0,0
27.141782636,1,0
27.142062712,1,1
27.143475738,0,1
27.143755850,0,0
27.145169076,1,0
27.145449482,1,1
27.146862452,0,1
27.147141586,0,0
27.148555548,1,0
27.148835536,1,1
27.150248798,0,1
27.150528840,0,0
27.151606180,1,0
27.151886498,1,1
27.153299364,0,1
27.153579270,0,0
27.154992594,1,0
27.155271802,1,1
27.156685836,0,1
27.156965856,0,0
27.158379158,1,0
27.158659490,1,1
27.160072600,0,1
27.160352544,0,0
27.161765972,1,0
27.162045092,1,1
27.163459348,0,1
27.163739364,0,0
27.165152844,1,0
27.165433112,1,1
27.166510404,0,1
27.166790226,0,0
27.168203484,1,0
27.168483392,1,1
27.169896726,0,1
27.170176098,0,0
27.171589806,1,0
27.171870130,1,1
27.173283150,0,1
27.173563100,0,0
27.174976470,1,0
27.175256450,1,1
27.176669588,0,1
27.176948870,0,0
27.178362834,1,0
27.178643020,1,1
27.179720254,0,1
27.180000068,0,0
27.181413450,1,0
27.181693400,1,1
27.183106676,0,1
27.183386804,0,0
27.184799914,1,0
27.185079436,1,1
27.186493240,0,1
27.186773090,0,0
27.188186744,1,0
27.188466772,1,1
27.189880062,0,1
27.190160228,0,0
27.191573440,1,0
27.191852976,1,1
27.193267034,0,1
27.193546948,0,0
27.194624590,1,0
27.194904506,1,1
27.196317832,0,1
27.196597844,0,0
27.198011012,1,0
27.198291476,1,1
27.199704146,0,1
27.199983248,0,0
27.201397484,1,0
27.201677530,1,1
27.203090894,0,1
27.203370984,0,0
27.204783940,1,0
27.205064216,1,1
27.206477208,0,1
27.206756272,0,0
27.207834588,1,0
27.208113862,1,1
27.209527874,0,1
27.209808000,0,0
27.211221094,1,0
27.211501432,1,1
27.212914286,0,1
27.213194288,0,0
27.214607674,1,0
27.214886886,1,1
27.216301134,0,1
27.216581224,0,0
27.217994546,1,0
27.218274706,1,1
27.219687740,0,1
27.219967744,0,0
27.221381228,1,0
27.221660310,1,1
27.222738656,0,1
27.223017840,0,0
27.224431860,1,0
27.224712072,1,1
27.226125094,0,1
27.226404960,0,0
27.227818174,1,0
27.228098176,1,1
27.229511542,0,1
27.229790698,0,0
27.231204912,1,0
27.231485214,1,1
27.232897972,0,1
27.233177834,0,0
27.234591342,1,0
27.234871350,1,1
27.235948688,0,1
27.236228848,0,0
27.237642100,1,0
27.237921630,1,1
27.239335152,0,1
27.239615052,0,0
27.241028330,1,0
27.241308200,1,1
27.242721564,0,1
27.243001622,0,0
27.244415094,1,0
27.244694378,1,1
27.246108512,0,1
27.246388542,0,0
27.247801700,1,0
27.248081624,1,1
27.249495160,0,1
27.249775278,0,0
27.250852590,1,0
27.251132920,1,1
27.252545874,0,1
27.252825042,0,0
27.254239012,1,0
27.254518974,1,1
27.255932098,0,1
27.256212178,0,0
27.257625418,1,0
27.257905726,1,1
27.259318844,0,1
27.259597898,0,0
27.261011840,1,0
27.261291914,1,1
27.262705216,0,1
27.262985318,0,0
27.264062530,1,0
27.264342744,1,1
27.265755898,0,1
27.266035798,0,0
27.267449020,1,0
27.267728080,1,1
27.269142204,0,1
27.269422252,0,0
27.270835442,1,0
27.271115766,1,1
27.272528902,0,1
27.272808788,0,0
27.274222380,1,0
27.274501470,1,1
27.275915574,0,1
27.276195524,0,0
27.277609020,1,0
27.277889308,1,1
27.278966514,0,1
27.279246404,0,0
27.280659694,1,0
27.280939770,1,1
27.282352862,0,1
27.282632092,0,0
27.284045940,1,0
27.284326206,1,1
27.285739266,0,1
27.286019178,0,0
27.287432638,1,0
27.287712710,1,1
27.289125706,0,1
27.289404832,0,0
27.290819076,1,0
27.291099464,1,1
27.292176380,0,1
27.292456194,0,0
27.293869742,1,0
27.294149594,1,1
27.295562818,0,1
27.295843048,0,0
27.297256048,1,0
27.297535564,1,1
27.298949290,0,1
27.299229184,0,0
27.300642744,1,0
27.300922668,1,1
27.302336180,0,1
27.302616322,0,0
27.304029434,1,0
27.304308954,1,1
27.305722868,0,1
27.306002758,0,0
27.307080358,1,0
27.307360434,1,1
27.308773542,0,1
27.309053488,0,0
27.310466654,1,0
27.310747004,1,1
27.312159790,0,1
27.312438974,0,0
27.313853110,1,0
27.314133258,1,1
27.315546486,0,1
27.315826562,0,0
27.317239490,1,0
27.317519794,1,1
27.318932916,0,1
27.319212116,0,0
27.320290222,1,0
27.320569390,1,1
27.321983590,0,1
27.322263646,0,0
27.323676662,1,0
27.323957010,1,1
27.325369846,0,1
27.325649782,0,0
27.327063150,1,0
27.327342330,1,1
27.328756602,0,1
27.329036718,0,0
27.330450030,1,0
27.330730234,1,1
27.332143232,0,1
27.332423122,0,0
27.333836728,1,0
27.334115888,1,1
27.335194214,0,1
27.335473536,0,0
27.336887386,1,0
27.337167768,1,1
27.338580504,0,1
27.338860372,0,0
27.340273582,1,0
27.340553654,1,1
27.341966976,0,1
27.342246158,0,0
27.343660346,1,0
27.343940540,1,1
27.345353356,0,1
27.345633312,0,0
27.347046726,1,0
27.347326710,1,1
27.348404072,0,1
27.348684126,0,0
27.350097484,1,0
27.350377008,1,1
27.351790536,0,1
27.352070378,0,0
27.353483714,1,0
27.353763610,1,1
27.355176950,0,1
27.355457066,0,0
27.356870478,1,0
27.357150014,1,1
27.358563896,0,1
27.358843786,0,0
27.360257084,1,0
27.360537202,1,1
27.361950544,0,1
27.362230656,0,0
27.363307974,1,0
27.363588314,1,1
27.365001260,0,1
27.365280486,0,0
27.366694396,1,0
27.366974368,1,1
27.368387482,0,1
27.368667506,0,0
27.370080802,1,0
27.370361138,1,1
27.371774228,0,1
27.372053308,0,0
27.373467224,1,0
27.373747242,1,1
27.375160600,0,1
27.375440562,0,0
27.376517916,1,0
27.376798122,1,1
27.378211284,0,1
27.378491126,0,0
27.379904404,1,0
27.380183658,1,1
27.381597588,0,1
27.381877578,0,0
27.383290826,1,0
27.383571094,1,1
27.384984286,0,1
27.385264116,0,0
27.386677764,1,0
27.386956864,1,1
27.388370958,0,1
27.388651002,0,0
27.390064404,1,0
27.390344568,1,1
27.391421898,0,1
27.391701682,0,0
27.393115078,1,0
27.393395164,1,1
27.394808246,0,1
27.395087618,0,0
27.396501324,1,0
27.396781702,1,1
27.398194650,0,1
27.398474622,0,0
27.399888022,1,0
27.400168038,1,1
27.401581090,0,1
27.401860360,0,0
27.403274452,1,0
27.403554792,1,1
27.404631764,0,1
27.404911690,0,0
27.406325126,1,0
27.406604972,1,1
27.408018202,0,1
27.408298260,0,0
27.409711432,1,0
27.409990892,1,1
27.411404674,0,1
27.411684662,0,0
27.413098128,1,0
27.413378194,1,1
27.414791556,0,1
27.415071600,0,0
27.416484800,1,0
27.416764282,1,1
27.418178252,0,1
27.418458120,0,0
27.419535742,1,0
27.419815562,1,1
27.421228926,0,1
27.421508932,0,0
27.422922038,1,0
27.423202448,1,1
27.424615174,0,1
27.424894220,0,0
27.426308494,1,0
27.426588552,1,1
27.428001870,0,1
27.428281840,0,0
27.429694884,1,0
27.429975238,1,1
27.431388310,0,1
27.431667360,0,0
27.432745608,1,0
27.433024768,1,1
27.434438976,0,1
27.434718906,0,0
27.436132046,1,0
27.436412338,1,1
27.437825230,0,1
27.438105176,0,0
27.439518526,1,0
27.439797742,1,1
27.441211986,0,1
27.441492046,0,0
27.442905416,1,0
27.443185744,1,1
27.444598616,0,1
27.444878650,0,0
27.446292112,1,0
27.446571282,1,1
27.447649598,0,1
27.447928862,0,0
27.449342770,1,0
27.449623044,1,1
27.451035888,0,1
27.451315816,0,0
27.452728958,1,0
27.453009014,1,1
27.454422368,0,1
27.454701636,0,0
27.456115738,1,0
27.456396034,1,1
27.457808740,0,1
27.458088490,0,0
27.459502112,1,0
27.459782238,1,1
27.460859456,0,1
27.461139570,0,0
27.462552868,1,0
27.462832484,1,1
27.464245912,0,1
27.464525822,0,0
27.465939098,1,0
27.466219054,1,1
27.467632334,0,1
27.467912442,0,0
27.469325862,1,0
27.469605342,1,1
27.471019280,0,1
27.471299112,0,0
27.472712468,1,0
27.472992478,1,1
27.474405928,0,1
27.474685934,0,0
27.475763358,1,0
27.476043558,1,1
27.477456644,0,1
27.477735730,0,0
27.479149782,1,0
27.479429812,1,1
27.480842866,0,1
27.481122866,0,0
27.482536186,1,0
27.482816490,1,1
27.484229612,0,1
27.484508804,0,0
27.485922608,1,0
27.486202636,1,1
27.487615984,0,1
27.487895940,0,0
27.488973300,1,0
27.489253648,1,1
27.490666658,0,1
27.490946502,0,0
27.492359780,1,0
27.492638934,1,1
27.494052972,0,1
27.494332956,0,0
27.495746210,1,0
27.496026472,1,1
27.497439670,0,1
27.497719510,0,0
27.499133148,1,0
27.499412326,1,1
27.500826342,0,1
27.501106446,0,0
27.502519788,1,0
27.502800012,1,1
27.503877282,0,1
27.504157126,0,0
27.505570462,1,0
27.505850542,1,1
27.507263630,0,1
27.507542946,0,0
27.508956708,1,0
27.509237028,1,1
27.510650036,0,1
27.510929866,0,0
27.512343406,1,0
27.512623482,1,1
27.514036490,0,1
27.514315570,0,0
27.515729862,1,0
27.516010202,1,1
27.517087148,0,1
27.517366966,0,0
27.518780510,1,0
27.519060448,1,1
27.520473586,0,1
27.520753704,0,0
27.522166816,1,0
27.522446336,1,1
27.523860058,0,1
27.524139974,0,0
27.525553504,1,0
27.525833472,1,1
27.527246940,0,1
27.527526926,0,0
27.528940186,1,0
27.529219558,1,1
27.530633636,0,1
27.530913580,0,0
27.531991126,1,0
27.532271088,1,1
27.533684310,0,1
27.533964344,0,0
27.535377422,1,0
27.535657776,1,1
27.537070550,0,1
27.537349664,0,0
27.538763870,1,0
27.539043828,1,1
27.540457246,0,1
27.540737284,0,0
27.542150284,1,0
27.542430716,1,1
27.543843710,0,1
27.544122770,0,0
27.545200992,1,0
27.545480046,1,1
27.546894360,0,1
27.547174300,0,0
27.548587430,1,0
27.548867648,1,1
27.550280614,0,1
27.550560754,0,0
27.551973918,1,0
27.552253118,1,1
27.553667370,0,1
27.553947490,0,0
27.555360800,1,0
27.555641072,1,1
27.557054000,0,1
27.557333926,0,0
27.558747496,1,0
27.559026660,1,1
27.560104982,0,1
27.560384190,0,0
27.561798154,1,0
27.562078422,1,1
27.563491272,0,1
27.563771144,0,0
27.565184350,1,0
27.565464426,1,1
27.566877744,0,1
27.567156996,0,0
27.568571114,1,0
27.568851512,1,1
27.570264124,0,1
27.570544084,0,0
27.571957496,1,0
27.572237566,1,1
27.573314840,0,1
27.573594946,0,0
27.575008252,1,0
27.575287646,1,1
27.576701304,0,1
27.576981218,0,0
27.578394482,1,0
27.578674432,1,1
27.580087718,0,1
27.580367770,0,0
27.581781246,1,0
27.582060752,1,1
27.583474664,0,1
27.583754440,0,0
27.585167852,1,0
27.585447856,1,1
27.586861312,0,1
27.587141510,0,0
27.588218742,1,0
27.588499086,1,1
27.589912028,0,1
27.590191190,0,0
27.591605166,1,0
27.591885072,1,1
27.593298250,0,1
27.593578194,0,0
27.594991570,1,0
27.595272026,1,1
27.596684996,0,1
27.596963998,0,0
27.598377992,1,0
27.598657880,1,1
27.600071368,0,1
27.600351334,0,0
27.601428700,1,0
27.601708976,1,1
27.603122068,0,1
27.603401948,0,0
27.604815206,1,0
27.605094296,1,1
27.606508398,0,1
27.606788434,0,0
27.608201636,1,0
27.608481982,1,1
27.609895120,0,1
27.610175038,0,0
27.611588566,1,0
27.611867652,1,1
27.613281760,0,1
27.613561824,0,0
27.614975164,1,0
27.615255490,1,1
