Time [s],Channel 0,Channel 1
0.000000000,0,0
8.830762464,1,0
8.831941536,1,1
8.832187260,0,1
8.832465884,0,0
8.834114822,1,0
8.834393340,1,1
8.836016820,0,1
8.836294752,0,0
8.837918696,1,0
8.838197524,1,1
8.839820636,0,1
8.840099568,0,0
8.841722572,1,0
8.842001140,1,1
8.843624570,0,1
8.843902434,0,0
8.845526446,1,0
8.845805338,1,1
8.847428386,0,1
8.847707384,0,0
8.849330322,1,0
8.849608822,1,1
8.851232320,0,1
8.851510166,0,0
8.853134198,1,0
8.853412972,1,1
8.855036138,0,1
8.855315132,0,0
8.856938072,1,0
8.857216704,1,1
8.858840072,0,1
8.859117848,0,0
8.860741948,1,0
8.861020704,1,1
8.862643888,0,1
8.862922864,0,0
8.864545824,1,0
8.864824436,1,1
8.866447822,0,1
8.866725648,0,0
8.868349698,1,0
8.868628454,1,1
8.870251638,0,1
8.870530614,0,0
8.872153574,1,0
8.872432070,1,1
8.874055572,0,1
8.874333414,0,0
8.875957448,1,0
8.876236252,1,1
8.877859388,0,1
8.878138230,0,0
8.879761324,1,0
8.880039868,1,1
8.881663322,0,1
8.881941162,0,0
8.883565200,1,0
8.883843934,1,1
8.885467140,0,1
8.885746112,0,0
8.887369074,1,0
8.887647750,1,1
8.889271072,0,1
8.889548846,0,0
8.891172950,1,0
8.891451750,1,1
8.893074890,0,1
8.893353944,0,0
8.894976824,1,0
8.895255350,1,1
8.896878824,0,1
8.897156644,0,0
8.898780666,1,0
8.899059582,1,1
8.900682640,0,1
8.900961460,0,0
8.902584576,1,0
8.902863032,1,1
8.904486574,0,1
8.904764326,0,0
8.906388450,1,0
8.906667182,1,1
8.908290390,0,1
8.908569276,0,0
8.910192326,1,0
8.910470714,1,1
8.912094324,0,1
8.912372292,0,0
8.913996202,1,0
8.914275064,1,1
8.915898142,0,1
8.916177158,0,0
8.917800076,1,0
8.918078530,1,1
8.919702074,0,1
8.919979824,0,0
8.921603952,1,0
8.921882796,1,1
8.923505892,0,1
8.923784992,0,0
8.925407826,1,0
8.925686362,1,1
8.927309826,0,1
8.927587624,0,0
8.929211702,1,0
8.929490430,1,1
8.931113642,0,1
8.931392590,0,0
8.933015578,1,0
8.933294162,1,1
8.934917560,0,1
8.935195372,0,0
8.936819452,1,0
8.937098312,1,1
8.938721392,0,1
8.939000256,0,0
8.940623328,1,0
8.940901844,1,1
8.942525326,0,1
8.942803338,0,0
8.944427204,1,0
8.944705960,1,1
8.946329110,0,1
8.946608156,0,0
8.948231078,1,0
8.948509644,1,1
8.950133076,0,1
8.950410938,0,0
8.952034954,1,0
8.952313876,1,1
8.953936894,0,1
8.954215888,0,0
8.955838828,1,0
8.956117460,1,1
8.957740818,0,1
8.958018704,0,0
8.959642704,1,0
8.959921476,1,1
8.961544644,0,1
8.961823570,0,0
8.963446580,1,0
8.963725142,1,1
8.965348578,0,1
8.965626436,0,0
8.967250454,1,0
8.967529274,1,1
8.969152394,0,1
8.969431402,0,0
8.971054296,1,0
8.971332774,1,1
8.972956328,0,1
8.973234236,0,0
8.974858204,1,0
8.975137040,1,1
8.976760146,0,1
8.977039202,0,0
8.978662080,1,0
8.978940574,1,1
8.980564078,0,1
8.980841984,0,0
8.982465956,1,0
8.982744772,1,1
8.984367896,0,1
8.984646968,0,0
8.986269830,1,0
8.986548306,1,1
8.988171830,0,1
8.988449666,0,0
8.990073706,1,0
