Time [s],Channel 0,Channel 1
0.000000000,0,0
25.650011762,1,0
25.651508612,1,1
25.651544498,0,1
25.651905788,0,0
25.653593406,1,0
25.653954858,1,1
25.655596678,0,1
25.655957816,0,0
25.657598508,1,0
25.657959784,1,1
25.659600462,0,1
25.659962092,0,0
25.661602394,1,0
25.661963794,1,1
25.663604416,0,1
25.663965402,0,0
25.665606264,1,0
25.665967704,1,1
25.667608200,0,1
25.667969878,0,0
25.669610132,1,0
25.669971580,1,1
25.671612154,0,1
25.671973120,0,0
25.673614002,1,0
25.673975372,1,1
25.675615938,0,1
25.675977548,0,0
25.677617870,1,0
25.677979366,1,1
25.679619890,0,1
25.679980990,0,0
25.681621722,1,0
25.681982908,1,1
25.683623676,0,1
25.683985416,0,0
25.685625608,1,0
25.685987084,1,1
25.687627630,0,1
25.687988726,0,0
25.689629478,1,0
25.689990744,1,1
25.691631414,0,1
25.691993118,0,0
25.693633346,1,0
25.693994838,1,1
25.695635366,0,1
25.695996394,0,0
25.697637216,1,0
25.697998480,1,1
25.699639152,0,1
25.700000788,0,0
25.701641084,1,0
25.702002606,1,1
25.703643104,0,1
25.704004180,0,0
25.705644954,1,0
25.706006150,1,1
25.707646890,0,1
25.708008574,0,0
25.709648822,1,0
25.710010276,1,1
25.711650842,0,1
25.712011766,0,0
25.713652692,1,0
25.714013868,1,1
25.715654628,0,1
25.716016244,0,0
25.717656560,1,0
25.718017994,1,1
25.719658556,0,1
25.720019486,0,0
25.721660430,1,0
25.722021722,1,1
25.723662366,0,1
25.724024078,0,0
25.725664298,1,0
25.726025848,1,1
25.727666318,0,1
25.728027272,0,0
25.729668168,1,0
25.730029508,1,1
25.731670088,0,1
25.732031748,0,0
25.733672036,1,0
25.734033516,1,1
25.735674056,0,1
25.736035008,0,0
25.737675904,1,0
25.738037110,1,1
25.739677842,0,1
25.740039534,0,0
25.741679774,1,0
25.742041186,1,1
25.743681794,0,1
25.744042728,0,0
25.745683642,1,0
25.746044846,1,1
25.747685580,0,1
25.748047404,0,0
25.749687512,1,0
25.750048888,1,1
25.751689532,0,1
25.752050464,0,0
25.753691380,1,0
25.754052632,1,1
25.755693318,0,1
25.756054940,0,0
25.757695234,1,0
25.758056758,1,1
25.759697270,0,1
25.760058250,0,0
25.761699118,1,0
25.762060350,1,1
25.763701056,0,1
25.764062776,0,0
25.765702988,1,0
25.766064478,1,1
25.767705008,0,1
25.768066034,0,0
25.769706816,1,0
