Time [s],Channel 0,Channel 1
0.000000000,0,0
184.831352648,1,0
184.832511888,1,1
184.833362236,0,1
184.833724466,0,0
184.835163990,1,0
184.835526032,1,1
184.836966050,0,1
184.837327560,0,0
184.838767886,1,0
184.839128952,1,1
184.840569838,0,1
184.840931724,0,0
184.842371784,1,0
184.842733664,1,1
184.844173842,0,1
184.844535194,0,0
184.845975680,1,0
184.846336768,1,1
184.847777630,0,1
184.848139872,0,0
184.849579576,1,0
184.849941438,1,1
184.851381636,0,1
184.851742968,0,0
184.853183472,1,0
184.853544892,1,1
184.854985424,0,1
184.855347514,0,0
184.856787368,1,0
184.857149204,1,1
184.858589428,0,1
184.858950610,0,0
184.860391266,1,0
184.860752616,1,1
184.862193216,0,1
184.862555314,0,0
184.863995162,1,0
184.864357470,1,1
184.865797220,0,1
184.866158484,0,0
184.867599058,1,0
184.867960324,1,1
184.869401010,0,1
184.869763054,0,0
184.871202954,1,0
184.871564770,1,1
184.873005014,0,1
184.873366158,0,0
184.874806850,1,0
184.875168174,1,1
184.876608802,0,1
184.876970878,0,0
184.878410748,1,0
184.878773054,1,1
184.880212806,0,1
184.880573958,0,0
184.882014644,1,0
184.882383406,1,1
184.883816594,0,1
184.884178436,0,0
184.885618540,1,0
184.885980568,1,1
184.887420600,0,1
184.887782098,0,0
184.889222436,1,0
184.889583632,1,1
184.891024388,0,1
184.891386278,0,0
184.892826332,1,0
184.893188276,1,1
184.894628392,0,1
184.894989724,0,0
184.896430230,1,0
184.896791756,1,1
184.898232180,0,1
184.898594478,0,0
184.900034126,1,0
184.900396076,1,1
184.901836186,0,1
184.902197606,0,0
184.903638022,1,0
184.903999114,1,1
184.905439974,0,1
184.905802202,0,0
184.907241918,1,0
184.907603760,1,1
184.909043978,0,1
184.909405288,0,0
184.910845816,1,0
184.911207322,1,1
184.912647766,0,1
184.913010026,0,0
184.914449712,1,0
184.914811650,1,1
184.916251770,0,1
184.916613072,0,0
184.918053608,1,0
184.918415120,1,1
184.919855558,0,1
184.920217808,0,0
184.921657504,1,0
184.922019442,1,1
184.923459564,0,1
184.923820862,0,0
184.925261400,1,0
184.925622878,1,1
184.927063352,0,1
184.927425592,0,0
184.928865298,1,0
184.929227216,1,1
184.930667356,0,1
184.931028662,0,0
184.932469194,1,0
184.932830670,1,1
184.934271144,0,1
184.934633332,0,0
184.936073090,1,0
184.936435474,1,1
184.937875150,0,1
184.938236386,0,0
184.939676986,1,0
184.940038402,1,1
184.941478938,0,1
184.941841024,0,0
184.943280882,1,0
184.943642748,1,1
184.945082942,0,1
184.945444112,0,0
184.946884780,1,0
184.947246144,1,1
184.948686730,0,1
184.949048848,0,0
184.950488676,1,0
184.950850490,1,1
184.952290736,0,1
184.952651910,0,0
184.954092572,1,0
184.954453934,1,1
184.955894524,0,1
184.956256656,0,0
184.957696468,1,0
184.958058380,1,1
184.959498528,0,1
184.959859702,0,0
184.961300366,1,0
184.961661718,1,1
184.963102316,0,1
184.963464422,0,0
184.964904262,1,0
184.965266006,1,1
184.966706320,0,1
184.967067526,0,0
184.968508158,1,0
184.968869508,1,1
184.970310108,0,1
184.970672214,0,0
184.972112054,1,0
184.972473946,1,1
184.973914114,0,1
184.974275318,0,0
184.975715950,1,0
184.976077300,1,1
184.977517902,0,1
184.977879996,0,0
184.979319848,1,0
184.979681688,1,1
184.981121906,0,1
184.981483142,0,0
184.982923744,1,0
184.983285050,1,1
184.984725694,0,1
184.985087754,0,0
184.986527640,1,0
184.986889478,1,1
184.988329700,0,1
184.988690934,0,0
184.990131536,1,0
184.990492774,1,1
184.991933488,0,1
184.992295478,0,0
184.993735432,1,0
184.994097170,1,1
184.995537492,0,1
184.995899082,0,0
184.997339330,1,0
184.997700506,1,1
184.999141280,0,1
184.999503212,0,0
185.000943226,1,0
185.001305368,1,1
185.002745286,0,1
185.003106882,0,0
185.004547122,1,0
185.004908340,1,1
185.006349074,0,1
185.006710986,0,0
