Time [s],Channel 0,Channel 1
0.000000000,0,0
174.001164040,1,0
174.002413958,1,1
174.003265278,0,1
174.003619526,0,0
174.005266992,1,0
174.005620986,1,1
174.007268978,0,1
174.007622410,0,0
174.009270858,1,0
174.009624314,1,1
174.011272794,0,1
174.011626996,0,0
174.013274726,1,0
174.013628690,1,1
174.015276712,0,1
174.015630198,0,0
174.017278592,1,0
174.017632016,1,1
174.019280530,0,1
174.019634700,0,0
174.021282460,1,0
174.021636560,1,1
174.023284446,0,1
174.023637786,0,0
174.025286328,1,0
174.025639688,1,1
174.027288264,0,1
174.027642370,0,0
174.029290194,1,0
174.029644264,1,1
174.031292180,0,1
174.031645572,0,0
174.033294062,1,0
174.033647474,1,1
174.035295998,0,1
174.035650074,0,0
174.037297928,1,0
174.037651934,1,1
174.039299916,0,1
174.039653442,0,0
174.041301796,1,0
174.041655262,1,1
174.043303732,0,1
174.043657860,0,0
174.045305664,1,0
174.045659772,1,1
174.047307650,0,1
174.047661080,0,0
174.049309530,1,0
174.049662898,1,1
174.051311466,0,1
174.051665582,0,0
174.053313398,1,0
174.053667558,1,1
174.055315384,0,1
174.055668866,0,0
174.057317264,1,0
174.057670768,1,1
174.059319200,0,1
174.059673318,0,0
174.061321132,1,0
174.061675228,1,1
174.063323118,0,1
174.063676454,0,0
174.065324998,1,0
174.065678506,1,1
174.067326934,0,1
174.067681038,0,0
174.069328858,1,0
174.069682966,1,1
174.071330852,0,1
174.071684190,0,0
174.073332732,1,0
174.073686208,1,1
174.075334670,0,1
174.075688826,0,0
174.077336600,1,0
174.077690752,1,1
174.079338586,0,1
174.079691978,0,0
174.081340458,1,0
174.081693930,1,1
174.083342404,0,1
174.083696562,0,0
174.085344334,1,0
174.085698390,1,1
174.087346320,0,1
174.087699898,0,0
174.089348202,1,0
174.089701666,1,1
174.091350138,0,1
174.091704350,0,0
174.093352068,1,0
174.093706176,1,1
174.095354054,0,1
174.095707484,0,0
174.097355936,1,0
174.097709454,1,1
174.099357872,0,1
174.099711936,0,0
174.101359802,1,0
174.101713796,1,1
174.103368298,0,1
174.103934592,0,0
174.105563666,1,0
174.105917160,1,1
174.107565610,0,1
174.107919778,0,0
174.109567540,1,0
174.109921620,1,1
174.111569526,0,1
174.111922812,0,0
174.113571408,1,0
174.113924832,1,1
174.115573344,0,1
174.115927514,0,0
174.117575274,1,0
174.117929424,1,1
174.119577252,0,1
174.119930716,0,0
174.121579142,1,0
174.121932668,1,1
174.123581078,0,1
174.123935100,0,0
174.125583008,1,0
174.125937012,1,1
174.127584996,0,1
174.127938386,0,0
174.129586876,1,0
174.129940256,1,1
174.131588812,0,1
174.131942804,0,0
174.133590744,1,0
174.133944798,1,1
174.135592730,0,1
174.135946090,0,0
174.137594610,1,0
174.137948042,1,1
174.139596546,0,1
174.139950724,0,0
174.141598478,1,0
174.141953078,1,1
174.143600464,0,1
174.143953876,0,0
174.145602344,1,0
174.145955862,1,1
174.147604282,0,1
174.147958462,0,0
174.149606212,1,0
174.149960240,1,1
174.151608198,0,1
174.151961596,0,0
174.153610080,1,0
174.153963500,1,1
174.155612016,0,1
174.155966248,0,0
174.157613946,1,0
174.157967960,1,1
174.159615932,0,1
174.159969418,0,0
174.161617814,1,0
174.161971286,1,1
174.163619750,0,1
174.163973920,0,0
174.165621680,1,0
174.165975696,1,1
174.167623666,0,1
174.167977120,0,0
174.169625548,1,0
174.169979074,1,1
174.171627484,0,1
174.171981622,0,0
174.173629414,1,0
174.173983484,1,1
174.175631402,0,1
174.175984842,0,0
174.177633282,1,0
174.177986810,1,1
174.179635218,0,1
174.179989344,0,0
174.181637148,1,0
174.181991270,1,1
174.183639136,0,1
174.183992578,0,0
174.185641016,1,0
174.185994480,1,1
174.187642952,0,1
174.187996996,0,0
174.189644884,1,0
174.189998858,1,1
