Time [s],Channel 0,Channel 1
0.000000000,0,0
10.968912630,1,0
10.969461488,1,1
10.970914076,0,1
10.971573206,0,0
10.972916006,1,0
10.973575148,1,1
10.974917942,0,1
10.975577222,0,0
10.976919914,1,0
10.977579366,1,1
10.978921808,0,1
10.979581072,0,0
10.980923740,1,0
10.981582848,1,1
10.982925676,0,1
10.983585006,0,0
10.984927648,1,0
10.985587032,1,1
10.986929542,0,1
10.987588772,0,0
10.988931472,1,0
10.989590716,1,1
10.990933408,0,1
10.991592640,0,0
10.992935372,1,0
10.993594732,1,1
10.994937276,0,1
10.995596490,0,0
10.996939206,1,0
10.997598416,1,1
10.998941142,0,1
10.999600422,0,0
11.000943114,1,0
11.001602600,1,1
11.002945008,0,1
11.003604306,0,0
11.004946940,1,0
11.005606082,1,1
11.006948876,0,1
11.007608040,0,0
11.008950848,1,0
11.009610184,1,1
11.010952742,0,1
11.011611890,0,0
11.012954672,1,0
11.013613866,1,1
11.014956608,0,1
11.015615874,0,0
11.016958582,1,0
11.017617884,1,1
11.018960476,0,1
11.019619590,0,0
11.020962406,1,0
11.021621566,1,1
11.022964342,0,1
11.023623724,0,0
11.024966314,1,0
11.025625668,1,1
11.026968208,0,1
11.027627424,0,0
11.028970140,1,0
11.029629284,1,1
11.030972076,0,1
11.031631358,0,0
11.032974048,1,0
11.033633334,1,1
11.034975942,0,1
11.035635092,0,0
11.036977872,1,0
11.037637018,1,1
11.038979810,0,1
11.039639142,0,0
11.040981772,1,0
11.041641168,1,1
11.042983676,0,1
11.043642824,0,0
11.044985606,1,0
11.045644718,1,1
11.046987542,0,1
11.047646808,0,0
11.048989514,1,0
11.049648944,1,1
11.050991410,0,1
11.051650608,0,0
11.052993314,1,0
11.053652586,1,1
11.054995276,0,1
11.055654542,0,0
11.056997248,1,0
11.057656686,1,1
11.058999142,0,1
11.059658392,0,0
11.061001072,1,0
11.061660168,1,1
11.063003010,0,1
11.063662376,0,0
11.065004982,1,0
11.065664268,1,1
11.067006876,0,1
11.067666026,0,0
11.069008806,1,0
11.069668002,1,1
11.071010742,0,1
11.071669910,0,0
11.073012714,1,0
11.073672102,1,1
11.075014610,0,1
11.075673810,0,0
11.077016540,1,0
11.077675620,1,1
11.079018476,0,1
11.079677744,0,0
11.081020448,1,0
11.081679686,1,1
11.083022342,0,1
11.083681544,0,0
11.085024272,1,0
11.085683404,1,1
11.087026210,0,1
11.087685394,0,0
11.089028182,1,0
11.089687554,1,1
11.091030076,0,1
11.091689378,0,0
11.093032006,1,0
11.093691186,1,1
11.095033942,0,1
11.095693178,0,0
11.097035914,1,0
11.097695254,1,1
11.099037810,0,1
11.099697028,0,0
11.101039740,1,0
11.101698820,1,1
11.103041676,0,1
11.103700894,0,0
11.105043648,1,0
11.105702978,1,1
11.107045542,0,1
11.107704694,0,0
11.109047472,1,0
11.109706672,1,1
11.111049410,0,1
11.111708544,0,0
11.113051382,1,0
11.113710704,1,1
11.115053276,0,1
11.115712478,0,0
11.117055206,1,0
11.117714254,1,1
11.119057142,0,1
11.119716412,0,0
11.121059114,1,0
11.121718488,1,1
11.123060992,0,1
11.123720262,0,0
11.125062940,1,0
11.125721972,1,1
11.127064876,0,1
11.127724196,0,0
11.129066848,1,0
11.129726138,1,1
11.131068742,0,1
11.131728046,0,0
11.133070674,1,0
11.133729822,1,1
11.135072592,0,1
11.135731828,0,0
11.137074582,1,0
11.137733922,1,1
11.139076476,0,1
11.139735762,0,0
11.141078406,1,0
11.141737538,1,1
11.143080342,0,1
11.143739562,0,0
11.145082314,1,0
11.145741790,1,1
11.147084192,0,1
11.147743346,0,0
11.149086140,1,0
11.149745272,1,1
11.151088076,0,1
11.151747346,0,0
11.153090048,1,0
11.153749372,1,1
11.155091942,0,1
11.155751196,0,0
11.157093874,1,0
11.157753056,1,1
11.159095792,0,1
11.159755180,0,0
11.161097782,1,0
11.161757074,1,1
11.163099676,0,1
11.163758914,0,0
11.165101606,1,0
11.165760756,1,1
11.167103542,0,1
11.167762764,0,0
11.169105514,1,0
11.169764790,1,1
11.171107410,0,1
11.171766614,0,0
11.173109340,1,0
11.173768474,1,1
11.175111276,0,1
11.175770498,0,0
11.177113248,1,0
11.177772640,1,1
11.179115142,0,1
11.179774398,0,0
11.181117074,1,0
11.181776208,1,1
11.183119010,0,1
11.183778280,0,0
11.185120982,1,0
11.185780300,1,1
11.187122876,0,1
11.187782132,0,0
11.189124806,1,0
11.189783990,1,1
11.191126742,0,1
11.191785998,0,0
11.193128716,1,0
11.193788008,1,1
11.195130610,0,1
11.195789848,0,0
11.197132540,1,0
11.197791692,1,1
11.199134476,0,1
11.199793648,0,0
11.201136448,1,0
11.201795874,1,1
11.203138342,0,1
11.203797498,0,0
11.205140274,1,0
11.205799358,1,1
11.207142210,0,1
11.207801516,0,0
11.209144182,1,0
11.209803458,1,1
11.211146076,0,1
11.211805282,0,0
11.213148006,1,0
11.213807192,1,1
11.215149942,0,1
11.215809300,0,0
11.217151916,1,0
11.217811326,1,1
11.219153810,0,1
11.219813150,0,0
11.221155740,1,0
11.221814858,1,1
11.223157660,0,1
11.223816932,0,0
11.225159648,1,0
11.225819026,1,1
11.227161542,0,1
11.227820782,0,0
11.229163474,1,0
11.229822642,1,1
11.231165410,0,1
11.231824584,0,0
11.233167382,1,0
11.233826742,1,1
11.235169276,0,1
11.235828516,0,0
11.237171206,1,0
11.237830344,1,1
11.239173142,0,1
11.239832450,0,0
11.241175116,1,0
11.241834394,1,1
11.243177010,0,1
11.243836300,0,0
11.245178940,1,0
11.245838076,1,1
11.247180876,0,1
11.247847310,0,0
11.249182848,1,0
11.249842176,1,1
11.251184742,0,1
11.251844000,0,0
11.253186674,1,0
