Time [s],Channel 0,Channel 1
0.000000000,0,0
6.883342898,1,0
6.883851120,1,1
6.884732590,0,1
6.884977854,0,0
6.886132102,1,0
6.886376694,1,1
6.887532720,0,1
6.887777122,0,0
6.888937490,1,0
6.889182538,1,1
6.890334034,0,1
6.890579274,0,0
6.891734728,1,0
6.891979282,1,1
6.893135346,0,1
6.893379744,0,0
6.894536000,1,0
6.894781058,1,1
6.895936660,0,1
6.896181862,0,0
6.897337354,1,0
6.897581970,1,1
6.898737972,0,1
6.898982416,0,0
6.900138626,1,0
6.900383764,1,1
6.901539284,0,1
6.901784534,0,0
6.902939980,1,0
6.903184508,1,1
6.904340598,0,1
6.904585004,0,0
6.905741252,1,0
6.905986434,1,1
6.907141910,0,1
6.907387172,0,0
6.908542606,1,0
6.908787180,1,1
6.909943224,0,1
6.910187692,0,0
6.911343878,1,0
6.911588956,1,1
6.912744536,0,1
6.912989844,0,0
6.914145232,1,0
6.914389734,1,1
6.915545850,0,1
6.915790230,0,0
6.916946502,1,0
6.917191494,1,1
6.918347162,0,1
6.918592432,0,0
6.919747858,1,0
6.919992488,1,1
6.921148474,0,1
6.921392834,0,0
6.922549128,1,0
6.922794132,1,1
6.923949780,0,1
6.924195104,0,0
6.925350484,1,0
6.925594876,1,1
6.926751100,0,1
6.926995506,0,0
6.928151754,1,0
6.928396770,1,1
6.929552414,0,1
6.929797708,0,0
6.930953108,1,0
6.931197632,1,1
6.932353726,0,1
6.932598178,0,0
6.933754380,1,0
6.933999476,1,1
6.935155040,0,1
6.935400380,0,0
6.936555734,1,0
6.936800220,1,1
6.937956352,0,1
6.938200790,0,0
6.939357006,1,0
6.939601998,1,1
6.940757666,0,1
6.941002884,0,0
6.942158360,1,0
6.942402892,1,1
6.943558978,0,1
6.943803270,0,0
6.944959632,1,0
6.945204618,1,1
6.946360290,0,1
6.946605472,0,0
6.947760986,1,0
6.948005530,1,1
6.949161596,0,1
6.949405942,0,0
6.950562258,1,0
6.950807340,1,1
6.951962916,0,1
6.952208144,0,0
6.953363612,1,0
6.953608168,1,1
6.954764230,0,1
6.955008614,0,0
6.956164884,1,0
6.956409844,1,1
6.957565542,0,1
6.957810816,0,0
6.958966238,1,0
6.959210672,1,1
6.960366856,0,1
6.960611418,0,0
6.961767508,1,0
6.962012566,1,1
6.963168168,0,1
6.963413304,0,0
6.964568864,1,0
6.964813460,1,1
6.965969480,0,1
6.966213890,0,0
6.967370134,1,0
6.967615238,1,1
6.968770794,0,1
6.969016126,0,0
6.970171490,1,0
6.970416016,1,1
6.971572106,0,1
6.971816644,0,0
6.972972760,1,0
6.973217776,1,1
6.974373420,0,1
6.974618596,0,0
6.975774114,1,0
6.976018770,1,1
6.977174732,0,1
