Time [s],Channel 0,Channel 1
0.000000000,0,0
9.894660116,1,0
9.895124346,1,1
9.896022368,0,1
9.896243196,0,0
9.897421932,1,0
9.897642046,1,1
9.898822552,0,1
9.899042594,0,0
9.900223208,1,0
9.900443618,1,1
9.901623870,0,1
9.901844690,0,0
9.903024568,1,0
9.903244706,1,1
9.904425188,0,1
9.904645204,0,0
9.905825844,1,0
9.906046328,1,1
9.907226506,0,1
9.907447168,0,0
9.908627204,1,0
9.908847268,1,1
9.910027824,0,1
9.910247880,0,0
9.911428480,1,0
9.911648972,1,1
9.912829142,0,1
9.913049862,0,0
9.914229840,1,0
9.914449860,1,1
9.915630460,0,1
9.915850374,0,0
9.917031116,1,0
9.917251500,1,1
9.918431778,0,1
9.918652454,0,0
9.919832476,1,0
9.920052588,1,1
9.921233096,0,1
9.921453168,0,0
9.922633752,1,0
9.922854144,1,1
9.924034414,0,1
9.924255098,0,0
9.925435110,1,0
9.925655148,1,1
9.926835730,0,1
9.927055812,0,0
9.928236388,1,0
9.928456836,1,1
9.929637048,0,1
9.929857658,0,0
9.931037746,1,0
9.931257876,1,1
9.932438366,0,1
9.932658306,0,0
9.933839022,1,0
9.934059430,1,1
9.935239684,0,1
9.935460302,0,0
9.936640382,1,0
9.936860436,1,1
9.938041002,0,1
9.938260900,0,0
9.939441658,1,0
9.939662074,1,1
9.940842320,0,1
9.941062962,0,0
9.942243018,1,0
9.942463212,1,1
9.943643638,0,1
9.943863544,0,0
9.945044294,1,0
9.945264718,1,1
9.946444956,0,1
9.946665524,0,0
9.947845654,1,0
9.948065740,1,1
9.949246274,0,1
9.949466186,0,0
9.950646930,1,0
9.950867362,1,1
9.952047592,0,1
9.952268200,0,0
9.953448290,1,0
9.953668334,1,1
9.954848910,0,1
9.955068880,0,0
9.956249566,1,0
9.956469888,1,1
9.957650228,0,1
9.957870844,0,0
9.959050926,1,0
9.959271028,1,1
9.960451546,0,1
9.960671474,0,0
9.961852194,1,0
9.962072582,1,1
9.963252864,0,1
9.963473604,0,0
9.964653562,1,0
9.964873620,1,1
9.966054182,0,1
9.966274118,0,0
9.967454838,1,0
9.967675226,1,1
9.968855500,0,1
9.969076248,0,0
9.970256196,1,0
9.970476314,1,1
9.971656816,0,1
9.971876762,0,0
9.973057464,1,0
9.973277936,1,1
9.974458134,0,1
9.974678826,0,0
9.975858832,1,0
9.976078958,1,1
9.977259452,0,1
9.977479338,0,0
9.978660108,1,0
9.978880580,1,1
9.980060770,0,1
9.980281468,0,0
9.981461468,1,0
9.981681552,1,1
