Time [s],Channel 0,Channel 1
0.000000000,0,1
17.070097858,1,1
17.070755072,1,0
17.071580944,0,0
17.172150776,1,0
17.172504620,1,1
17.173584636,0,1
17.173938934,0,0
17.175481998,1,0
17.175836244,1,1
17.176887482,0,1
17.177241090,0,0
17.178784936,1,0
17.179139074,1,1
17.180190356,0,1
17.180543862,0,0
17.182087810,1,0
17.182441522,1,1
17.183493294,0,1
17.183847434,0,0
17.185390790,1,0
17.185744252,1,1
17.186796166,0,1
17.187150474,0,0
17.188693620,1,0
17.189047866,1,1
17.190099106,0,1
17.190452762,0,0
17.191996560,1,0
17.192350730,1,1
17.193401978,0,1
17.193755602,0,0
17.195299414,1,0
17.195653194,1,1
17.196704916,0,1
17.197059156,0,0
17.198602412,1,0
17.198955940,1,1
17.200007788,0,1
17.200362012,0,0
17.201905242,1,0
17.202259472,1,1
17.203310728,0,1
17.203664368,0,0
17.205208182,1,0
17.205562468,1,1
17.206613600,0,1
17.206967224,0,0
17.208511054,1,0
17.208864850,1,1
17.209916538,0,1
17.210270630,0,0
17.211814034,1,0
17.212167680,1,1
17.213219410,0,1
17.213573752,0,0
17.215116864,1,0
17.215470926,1,1
17.216522350,0,1
17.216876106,0,0
17.218419778,1,0
17.218773924,1,1
17.219825222,0,1
17.220178812,0,0
17.221722676,1,0
17.222076338,1,1
17.223128160,0,1
17.223482234,0,0
17.225025656,1,0
17.225379136,1,1
17.226431032,0,1
17.226785340,0,0
17.228328486,1,0
17.228682666,1,1
17.229733972,0,1
17.230087646,0,0
17.231631426,1,0
17.231985596,1,1
17.233036844,0,1
17.233390302,0,0
17.234934298,1,0
17.235288126,1,1
17.236339782,0,1
17.236693906,0,0
17.238237278,1,0
17.238590750,1,1
17.239642654,0,1
17.239996946,0,0
17.241540110,1,0
17.241894288,1,1
17.242945594,0,1
17.243299318,0,0
17.244843048,1,0
17.245197136,1,1
17.246248466,0,1
17.246602006,0,0
17.248145920,1,0
17.248499666,1,1
17.249551404,0,1
17.249905446,0,0
17.251448900,1,0
17.251802462,1,1
17.252854278,0,1
17.253208568,0,0
17.254751732,1,0
17.255105994,1,1
17.256157216,0,1
17.256510974,0,0
17.258054670,1,0
17.258409024,1,1
17.259460088,0,1
17.259813746,0,0
17.261357542,1,0
17.261711354,1,1
17.262763028,0,1
17.263117052,0,0
17.264660524,1,0
17.265013952,1,1
17.266065900,0,1
17.266420156,0,0
17.267963354,1,0
17.268317616,1,1
17.269368838,0,1
17.269722512,0,0
17.271266292,1,0
17.271620480,1,1
17.272671710,0,1
17.273025234,0,0
17.274569164,1,0
17.274922894,1,1
17.275974650,0,1
17.276328840,0,0
17.277872120,1,0
17.278225690,1,1
17.279277522,0,1
17.279632438,0,0
17.281174976,1,0
17.281529072,1,1
17.282580460,0,1
17.282934202,0,0
17.284477914,1,0
17.284832102,1,1
17.285883332,0,1
17.286236890,0,0
17.287780786,1,0
17.288134598,1,1
17.289186272,0,1
17.289540380,0,0
17.291083768,1,0
17.291437280,1,1
17.292489144,0,1
17.292843384,0,0
17.294386598,1,0
17.294740876,1,1
17.295792082,0,1
17.296145790,0,0
17.297689536,1,0
17.298043640,1,1
17.299094956,0,1
17.299448512,0,0
17.300992410,1,0
17.301346138,1,1
17.302397894,0,1
17.302751984,0,0
17.304295390,1,0
17.304648968,1,1
17.305700766,0,1
17.306055090,0,0
17.307598220,1,0
17.307952500,1,1
17.309003704,0,1
17.309357280,0,0
17.310901158,1,0
17.311255296,1,1
17.312306576,0,1
17.312660218,0,0
17.314204024,1,0
17.314557744,1,1
17.315609516,0,1
17.315963656,0,0
17.317507012,1,0
17.317860424,1,1
17.318912388,0,1
17.319266580,0,0
17.320809842,1,0
17.321164038,1,1
17.322215328,0,1
17.322568934,0,0
17.324112782,1,0
17.324467036,1,1
17.325518200,0,1
17.325871756,0,0
17.327415654,1,0
17.327769482,1,1
17.328821138,0,1
17.329175262,0,0
17.330718634,1,0
17.331072046,1,1
17.332124010,0,1
17.332478234,0,0
17.334021464,1,0
17.334375626,1,1
17.335426950,0,1
17.335780590,0,0
17.337324386,1,0
17.337678490,1,1
17.338729822,0,1
17.339083530,0,0
17.340627276,1,0
17.340981104,1,1
17.342032760,0,1
17.342386884,0,0
17.343930256,1,0
17.344283752,1,1
17.345335632,0,1
17.345689856,0,0
17.347233086,1,0
17.347587232,1,1
17.348638572,0,1
17.348992212,0,0
17.350536026,1,0
17.350890280,1,1
17.351941444,0,1
17.352295102,0,0
17.353838898,1,0
17.354192644,1,1
17.355244382,0,1
17.355598590,0,0
17.357141878,1,0
17.357495240,1,1
17.358547256,0,1
17.358901562,0,0
17.360444710,1,0
17.360798888,1,1
17.361850194,0,1
17.362203952,0,0
17.363747648,1,0
17.364101768,1,1
17.365153066,0,1
17.365506574,0,0
17.367050520,1,0
17.367404382,1,1
17.368456006,0,1
17.368810080,0,0
17.370353500,1,0
17.370707030,1,1
17.371758878,0,1
17.372113134,0,0
17.373656332,1,0
17.374010560,1,1
17.375061816,0,1
17.375415540,0,0
17.376959270,1,0
17.377313424,1,1
17.378364688,0,1
17.378718312,0,0
17.380262142,1,0
17.380615972,1,1
17.381667628,0,1
17.382021734,0,0
17.383565122,1,0
17.383918568,1,1
17.384970500,0,1
17.385324708,0,0
17.386867954,1,0
17.387222250,1,1
17.388273438,0,1
17.388627030,0,0
17.390170892,1,0
17.390525046,1,1
17.391576310,0,1
17.391929968,0,0
17.393473764,1,0
17.393827494,1,1
17.394879250,0,1
17.395233358,0,0
17.396776746,1,0
17.397130224,1,1
17.398182122,0,1
17.398536330,0,0
17.400079576,1,0
17.400433788,1,1
17.401485060,0,1
17.401838684,0,0
17.403382514,1,0
17.403736786,1,1
17.404787932,0,1
17.405141590,0,0
17.406685386,1,0
17.407039032,1,1
17.408090872,0,1
17.408445096,0,0
17.409988358,1,0
17.410341912,1,1
17.411393744,0,1
17.411748068,0,0
17.413291198,1,0
17.413645328,1,1
17.414696682,0,1
17.415050424,0,0
17.416594136,1,0
17.416948240,1,1
17.417999554,0,1
17.418353046,0,0
17.419897010,1,0
17.420251480,1,1
17.421302494,0,1
17.421656684,0,0
17.423199990,1,0
