Time [s],Channel 0,Channel 1
0.000000000,0,0
0.762505394,1,0
0.763140612,1,1
1.262506160,0,1
1.262789276,0,0
1.762520152,1,0
1.762803474,1,1
2.262534146,0,1
2.262816342,0,0
2.762548134,1,0
2.762831332,1,1
3.262562124,0,1
3.262844272,0,0
3.762576104,1,0
3.762859286,1,1
4.262590084,0,1
4.262872334,0,0
4.762604056,1,0
4.762886880,1,1
5.262618026,0,1
5.262900310,0,0
5.762631986,1,0
5.762914916,1,1
6.262645946,0,1
6.262928240,0,0
6.762659900,1,0
6.762942702,1,1
7.262673854,0,1
7.262956016,0,0
7.762687802,1,0
7.762970556,1,1
8.262701754,0,1
8.262984298,0,0
8.762715696,1,0
8.762998528,1,1
9.262729642,0,1
9.263011792,0,0
9.762743582,1,0
9.763026822,1,1
10.262757526,0,1
10.263039638,0,0
10.762771462,1,0
10.763054802,1,1
11.262785400,0,1
11.263067676,0,0
11.762799348,1,0
11.763082662,1,1
12.262813298,0,1
12.263095664,0,0
12.762827242,1,0
12.763110658,1,1
13.262841190,0,1
13.263123556,0,0
13.762855132,1,0
13.763138548,1,1
14.262869080,0,1
14.263151440,0,0
14.762883022,1,0
14.763166018,1,1
15.262896996,0,1
15.263180196,0,0
15.762910938,1,0
15.763193816,1,1
16.262924886,0,1
16.263208054,0,0
16.762938828,1,0
16.763221748,1,1
17.262952774,0,1
17.263235914,0,0
17.762966716,1,0
17.763249722,1,1
18.262980666,0,1
18.263263882,0,0
18.762994608,1,0
18.763277650,1,1
19.263007756,0,1
19.263299714,0,0
19.763021682,1,0
19.763304584,1,1
20.263035608,0,1
20.263318040,0,0
20.763049526,1,0
20.763332468,1,1
21.263063448,0,1
21.263345868,0,0
21.763077362,1,0
21.763360164,1,1
22.263091282,0,1
22.263373482,0,0
22.763105194,1,0
22.763387980,1,1
23.263119110,0,1
23.263401300,0,0
23.763133018,1,0
23.763415864,1,1
24.263146928,0,1
24.263429454,0,0
24.763160828,1,0
24.763443818,1,1
25.263174734,0,1
25.263457254,0,0
25.763188638,1,0
25.763471646,1,1
26.263202546,0,1
26.263485158,0,0
26.763216474,1,0
26.763499520,1,1
27.263230378,0,1
27.263512528,0,0
27.763244296,1,0
27.763527704,1,1
28.263258192,0,1
28.263540308,0,0
28.763272108,1,0
28.763554966,1,1
29.263286002,0,1
29.263568618,0,0
29.763299914,1,0
29.763582974,1,1
30.263313804,0,1
30.263595952,0,0
30.763327686,1,0
30.763610792,1,1
31.263341568,0,1
31.263623672,0,0
31.763355460,1,0
31.763638586,1,1
32.263369356,0,1
32.263651532,0,0
32.763383246,1,0
32.763666352,1,1
33.263397138,0,1
33.263679262,0,0
33.763411026,1,0
33.763694066,1,1
34.263424916,0,1
34.263707160,0,0
34.763438802,1,0
34.763722092,1,1
35.263452716,0,1
35.263735130,0,0
35.763466602,1,0
35.763749924,1,1
36.263480494,0,1
36.263762756,0,0
36.763494380,1,0
36.763777732,1,1
37.263508274,0,1
37.263791348,0,0
37.763522160,1,0
37.763805026,1,1
38.263536050,0,1
38.263819210,0,0
38.763549930,1,0
38.763832888,1,1
39.263565948,0,1
39.263848530,0,0
39.763577680,1,0
39.763860482,1,1
40.263591542,0,1
40.263873788,0,0
40.763605398,1,0
40.763888254,1,1
41.263619256,0,1
41.263901410,0,0
41.763633108,1,0
41.763915908,1,1
42.263646964,0,1
42.263930060,0,0
42.763660816,1,0
42.763943706,1,1
43.263674672,0,1
43.263957668,0,0
43.763688522,1,0
43.763971698,1,1
44.263702376,0,1
44.263985330,0,0
44.763716224,1,0
44.763999564,1,1
45.263730076,0,1
45.264012938,0,0
45.763743922,1,0
45.764027288,1,1
46.263757772,0,1
46.264040608,0,0
46.763771620,1,0
46.764055086,1,1
47.263785480,0,1
47.264068484,0,0
47.763799338,1,0
47.764082640,1,1
48.263813200,0,1
48.264096088,0,0
48.763827058,1,0
48.764110362,1,1
49.263840918,0,1
49.264123850,0,0
49.763854768,1,0
49.764137650,1,1
50.263868618,0,1
50.264151542,0,0
50.763882460,1,0
50.764165428,1,1
51.263896310,0,1
51.264179252,0,0
51.763910176,1,0
51.764193168,1,1
52.263924048,0,1
52.264206988,0,0
52.763937910,1,0
52.764220962,1,1
53.263951778,0,1
53.264234902,0,0
53.763965638,1,0
53.764248738,1,1
54.263979506,0,1
54.264262954,0,0
54.763993370,1,0
54.764276494,1,1
55.264007264,0,1
55.264290674,0,0
55.764021128,1,0
55.764304262,1,1
56.264034994,0,1
