Time [s],Channel 0,Channel 1
0.000000000,0,1
0.508364000,0,0
0.891839000,1,0
1.510674300,1,1
1.891857900,0,1
2.513653100,0,0
2.891876900,1,0
3.516394800,1,1
3.891895800,0,1
4.518539000,0,0
4.891914700,1,0
5.520673400,1,1
5.891933600,0,1
6.522903900,0,0
6.891952600,1,0
7.525149600,1,1
7.891971400,0,1
8.527386400,0,0
8.891990300,1,0
9.529622900,1,1
9.892009200,0,1
10.531851100,0,0
10.892028100,1,0
11.534724700,1,1
11.892047000,0,1
12.537398000,0,0
12.892065900,1,0
13.539609800,1,1
13.892084700,0,1
14.541805900,0,0
14.892103600,1,0
15.544031300,1,1
15.892122400,0,1
16.546271900,0,0
16.892141200,1,0
17.548444400,1,1
17.892160100,0,1
18.550646300,0,0
18.892178800,1,0
19.552874900,1,1
19.892197600,0,1
20.555837600,0,0
20.892216400,1,0
21.558512000,1,1
21.892235200,0,1
22.560718500,0,0
22.892253900,1,0
23.562864400,1,1
23.892272700,0,1
24.565060300,0,0
24.892291500,1,0
25.567304300,1,1
25.892310300,0,1
26.569538800,0,0
26.892329000,1,0
27.571778000,1,1
27.892347800,0,1
28.574004000,0,0
28.892366500,1,0
29.576980400,1,1
29.892385200,0,1
30.579557400,0,0
30.670848000,0,0
