Time [s],Channel 0,Channel 1
0.000000000,0,0
12.426864762,1,0
12.428998916,1,1
12.527666882,0,1
12.529802866,0,0
12.628469664,1,0
12.630598242,1,1
12.729272442,0,1
12.731684820,0,0
12.830075264,1,0
12.832180866,1,1
12.930877976,0,1
12.933006434,0,0
13.031680796,1,0
13.033798676,1,1
13.132483574,0,1
13.134592976,0,0
13.233286386,1,0
13.235632574,1,1
13.334087172,0,1
13.336195728,0,0
13.434884634,1,0
13.437006196,1,1
13.535694426,0,1
13.537820840,0,0
13.636497322,1,0
13.638615800,1,1
13.737300130,0,1
13.739413084,0,0
13.838102792,1,0
13.840057592,1,1
13.938903774,0,1
13.940821394,0,0
14.039708410,1,0
14.041652072,1,1
14.140511126,0,1
14.143451400,0,0
14.241313928,1,0
14.243432364,1,1
14.342114702,0,1
14.344723266,0,0
14.442915662,1,0
14.444886342,1,1
14.543722010,0,1
14.545837072,0,0
14.644524810,1,0
14.646712438,1,1
14.745327616,0,1
14.747431930,0,0
14.846130392,1,0
14.848296094,1,1
14.946933106,0,1
14.949066772,0,0
15.047735888,1,0
15.049881202,1,1
15.148538660,0,1
15.150681174,0,0
15.249341484,1,0
15.251477578,1,1
15.350142264,0,1
15.352280382,0,0
15.450943172,1,0
15.452892478,1,1
15.551749534,0,1
15.553877276,0,0
15.652552390,1,0
15.654489906,1,1
15.753355086,0,1
15.755527406,0,0
15.854157834,1,0
15.856072458,1,1
15.954960688,0,1
15.957134168,0,0
16.055758870,1,0
16.057890174,1,1
16.156566172,0,1
16.159646356,0,0
16.257368954,1,0
16.260041732,1,1
16.358169756,0,1
16.360284502,0,0
16.458970712,1,0
16.461081486,1,1
16.559774182,0,1
16.561899968,0,0
16.660579836,1,0
16.663162644,1,1
16.761382606,0,1
16.763585228,0,0
16.862185412,1,0
16.864321960,1,1
16.962988156,0,1
16.965133244,0,0
17.063789844,1,0
17.065743934,1,1
17.164593688,0,1
17.166723294,0,0
17.265396528,1,0
17.267549838,1,1
17.366197304,0,1
17.368343022,0,0
17.466998268,1,0
17.469138024,1,1
17.567804628,0,1
17.569742188,0,0
17.668607466,1,0
17.670776536,1,1
17.769410176,0,1
17.771374958,0,0
17.870212920,1,0
17.872144928,1,1
17.971015722,0,1
17.973161450,0,0
18.071818540,1,0
18.073779758,1,1
18.172621242,0,1
18.175224170,0,0
18.273424044,1,0
18.275586600,1,1
18.374224828,0,1
18.376432260,0,0
18.475025796,1,0
18.477200588,1,1
18.575832104,0,1
18.577968214,0,0
18.676634898,1,0
18.678837228,1,1
18.777437682,0,1
18.779618556,0,0
18.878240450,1,0
18.880356000,1,1
18.979043192,0,1
18.981147712,0,0
19.079845836,1,0
19.081979802,1,1
19.180644736,0,1
19.182759914,0,0
19.281451556,1,0
19.283367316,1,1
19.382254138,0,1
19.384382756,0,0
19.483058640,1,0
19.485009734,1,1
19.583864906,0,1
19.585984466,0,0
19.684665148,1,0
19.686781274,1,1
19.785470448,0,1
19.787590878,0,0
19.886273190,1,0
19.888400020,1,1
19.987076006,0,1
19.988884594,0,0
20.087878740,1,0
20.089987114,1,1
20.188680106,0,1
20.191899838,0,0
20.289484272,1,0
20.291656452,1,1
20.390285088,0,1
20.392463350,0,0
20.491086104,1,0
20.493260174,1,1
20.591892378,0,1
20.594080106,0,0
20.692695044,1,0
20.694873506,1,1
20.793497900,0,1
20.795426100,0,0
20.894300682,1,0
20.897025632,1,1
20.995103456,0,1
20.997037108,0,0
21.095906146,1,0
21.098014422,1,1
21.196708960,0,1
21.198839454,0,0
21.297511776,1,0
21.299618964,1,1
21.398312530,0,1
21.400456814,0,0
21.499113506,1,0
21.501231650,1,1
21.599919834,0,1
21.601868714,0,0
21.700722618,1,0
21.702675582,1,1
21.801525338,0,1
21.803643278,0,0
21.902328096,1,0
21.904474824,1,1
22.003130892,0,1
22.005257500,0,0
22.103933640,1,0
22.106071504,1,1
22.204736396,0,1
22.206864514,0,0
22.305539186,1,0
22.307688102,1,1
22.406340014,0,1
22.408568554,0,0
22.507141012,1,0
22.509303284,1,1
22.607947250,0,1
22.610085836,0,0
22.708750024,1,0
22.710924374,1,1
22.809552786,0,1
22.811667152,0,0
22.910355552,1,0
22.912485000,1,1
23.011158322,0,1
23.013105108,0,0
23.111961028,1,0
23.114090058,1,1
23.212763772,0,1
23.214660676,0,0
23.313562852,1,0
23.315472682,1,1
23.414367406,0,1
23.416491840,0,0
23.515168428,1,0
23.517303114,1,1
23.615974688,0,1
23.618075886,0,0
23.716777470,1,0
23.718905268,1,1
23.817577646,0,1
23.819708124,0,0
23.918382928,1,0
23.920502814,1,1
24.019185722,0,1
24.021135550,0,0
24.119988484,1,0
24.122137680,1,1
24.220791220,0,1
24.222762166,0,0
24.321592618,1,0
24.323708052,1,1
24.422396696,0,1
24.424574268,0,0
24.523195870,1,0
24.525396068,1,1
24.624002072,0,1
24.626169300,0,0
24.724804862,1,0
24.726986742,1,1
24.825607500,0,1
24.827806410,0,0
24.926410372,1,0
24.928361814,1,1
25.027213174,0,1
25.029435252,0,0
25.128015896,1,0
25.130159152,1,1
25.228818674,0,1
25.230736948,0,0
25.329617754,1,0
25.331735362,1,1
25.430416848,0,1
25.432377684,0,0
25.531226762,1,0
25.533355514,1,1
25.632029572,0,1
25.634157448,0,0
25.732832336,1,0
25.734739662,1,1
25.833635054,0,1
25.835803676,0,0
25.934437810,1,0
25.936560412,1,1
26.035240588,0,1
26.037362888,0,0
26.136043418,1,0
26.138210266,1,1
26.236846136,0,1
26.238973158,0,0
26.337646908,1,0
26.339771652,1,1
26.438447776,0,1
26.440623004,0,0
26.539254198,1,0
26.541395516,1,1
26.640056966,0,1
26.642234050,0,0
26.740859738,1,0
26.743036912,1,1
26.841662464,0,1
26.843853314,0,0
26.942465244,1,0
26.945079726,1,1
27.043267996,0,1
27.045455670,0,0
27.144070782,1,0
27.146200008,1,1
27.244873542,0,1
27.246885542,0,0
27.345674372,1,0
27.347818374,1,1
27.446471624,0,1
27.448592418,0,0
27.547281578,1,0
27.549227962,1,1
27.648084372,0,1
27.650204018,0,0
27.748887168,1,0
27.751005816,1,1
27.849689904,0,1
27.851817060,0,0
27.950490150,1,0
27.952604450,1,1
28.051295400,0,1
28.053423762,0,0
28.152098180,1,0
28.154034624,1,1
28.252900932,0,1
28.255045332,0,0
28.353701736,1,0
28.355812704,1,1
28.454501588,0,1
28.456652884,0,0
28.555309060,1,0
28.557422934,1,1
28.656111778,0,1
28.658271856,0,0
28.756914532,1,0
28.758877576,1,1
