Time [s],Channel 0,Channel 1
0.000000000,0,0
8.250755930,1,0
8.252165300,1,1
8.351258768,0,1
8.352652920,0,0
8.451761578,1,0
8.453073580,1,1
8.552264390,0,1
8.553638384,0,0
8.652767240,1,0
8.654081580,1,1
8.753270012,0,1
8.754582764,0,0
8.853772820,1,0
8.855110178,1,1
8.954275632,0,1
8.955606430,0,0
9.054778482,1,0
9.055911020,1,1
9.155281252,0,1
9.156577892,0,0
9.255784060,1,0
9.257199422,1,1
9.356286872,0,1
9.357854276,0,0
9.456789718,1,0
9.458363888,1,1
9.557292488,0,1
9.558653968,0,0
9.657795294,1,0
9.659332748,1,1
9.758298106,0,1
9.759590610,0,0
9.858800952,1,0
9.860101004,1,1
9.959303722,0,1
9.960599488,0,0
10.059806526,1,0
10.061175350,1,1
10.160309336,0,1
10.161804734,0,0
10.260812182,1,0
10.262317878,1,1
10.361314952,0,1
10.362821210,0,0
10.461817756,1,0
10.463104148,1,1
10.562320564,0,1
10.563642796,0,0
10.662823410,1,0
10.664351726,1,1
10.763326178,0,1
10.764630304,0,0
10.863828982,1,0
10.865351942,1,1
10.964331790,0,1
10.965848990,0,0
11.064834636,1,0
11.066201470,1,1
11.165337404,0,1
11.166698902,0,0
11.265840206,1,0
11.266936262,1,1
11.366343014,0,1
11.367662614,0,0
11.466845858,1,0
11.468159498,1,1
11.567348624,0,1
11.568735046,0,0
11.667851426,1,0
11.669171844,1,1
11.768354232,0,1
11.769670924,0,0
11.868857074,1,0
11.870147406,1,1
11.969359838,0,1
11.970680754,0,0
12.069862640,1,0
12.071172836,1,1
12.170365446,0,1
12.171664632,0,0
12.270868288,1,0
12.272186332,1,1
12.371371052,0,1
12.372508674,0,0
12.471873852,1,0
12.473405764,1,1
12.572376658,0,1
12.573913160,0,0
12.672879498,1,0
12.674640196,1,1
12.773382270,0,1
12.774755786,0,0
12.873885062,1,0
12.875177498,1,1
12.974387866,0,1
12.975523542,0,0
13.074890708,1,0
13.076023824,1,1
13.175393470,0,1
13.176698972,0,0
13.275896270,1,0
13.277005134,1,1
13.376399074,0,1
13.377383392,0,0
13.476901916,1,0
13.478229564,1,1
13.577404678,0,1
13.578734308,0,0
13.677907478,1,0
13.679395842,1,1
13.778410282,0,1
13.779755316,0,0
13.878913122,1,0
13.880237946,1,1
13.979415884,0,1
13.980549004,0,0
14.079918682,1,0
14.081272688,1,1
14.180421486,0,1
14.181407760,0,0
14.280924326,1,0
14.282267646,1,1
14.381427088,0,1
14.382737306,0,0
14.481929886,1,0
14.483067200,1,1
14.582432690,0,1
14.583420458,0,0
14.682935530,1,0
14.684080392,1,1
14.783438292,0,1
14.784804408,0,0
14.883941090,1,0
14.885262970,1,1
14.984443892,0,1
14.985775682,0,0
15.084946732,1,0
15.086458616,1,1
15.185449494,0,1
15.186586102,0,0
15.285952292,1,0
15.287244628,1,1
15.386455094,0,1
15.387778180,0,0
15.486957932,1,0
15.488308936,1,1
15.587460694,0,1
15.588757012,0,0
15.687963490,1,0
15.689113798,1,1
15.788466292,0,1
15.789985498,0,0
15.888969130,1,0
15.890341726,1,1
15.989471892,0,1
15.990846636,0,0
16.089974688,1,0
16.091269646,1,1
16.190477492,0,1
16.191799790,0,0
16.290980330,1,0
16.292316186,1,1
16.391483090,0,1
16.392805612,0,0
16.491985886,1,0
16.493120736,1,1
16.592488688,0,1
16.593986236,0,0
16.692991528,1,0
16.694301826,1,1
16.793494288,0,1
16.794628748,0,0
16.893997086,1,0
16.895512584,1,1
16.994499888,0,1
16.995985974,0,0
17.095002728,1,0
17.096298482,1,1
17.195505490,0,1
17.197014112,0,0
17.296008286,1,0
17.297506188,1,1
17.396511088,0,1
17.398042664,0,0
17.497013928,1,0
17.498517826,1,1
17.597516688,0,1
17.599049484,0,0
17.698019484,1,0
17.699349208,1,1
17.798522294,0,1
17.799816498,0,0
17.899025124,1,0
17.900347260,1,1
17.999527886,0,1
18.001049572,0,0
18.100030682,1,0
18.101549166,1,1
18.200533484,0,1
18.201867870,0,0
18.301036322,1,0
18.302355464,1,1
18.401539082,0,1
18.402846788,0,0
18.502041878,1,0
18.503139660,1,1
18.602544678,0,1
18.603859204,0,0
18.703047516,1,0
18.704353762,1,1
18.803550276,0,1
18.804863618,0,0
18.904053072,1,0
18.905366860,1,1
19.004555872,0,1
19.005922202,0,0
19.105058710,1,0
19.106425844,1,1
19.205561468,0,1
19.206939584,0,0
19.306064264,1,0
19.307359192,1,1
19.406567064,0,1
19.408097804,0,0
19.507069900,1,0
19.508558412,1,1
19.607572660,0,1
19.608893800,0,0
19.708075454,1,0
19.709390276,1,1
19.808578256,0,1
19.809944016,0,0
19.909081092,1,0
19.910438892,1,1
20.009583850,0,1
20.010947882,0,0
20.110086644,1,0
20.111238022,1,1
20.210589444,0,1
20.212093618,0,0
20.311092278,1,0
20.312581844,1,1
20.411595036,0,1
20.412919030,0,0
20.512097830,1,0
20.513385238,1,1
20.612600628,0,1
20.614088532,0,0
20.713103464,1,0
20.714390802,1,1
20.813606222,0,1
20.815110330,0,0
