Time [s],Channel 0,Channel 1
0.000000000,0,0
10.564860136,1,0
10.659901470,0,0
10.702575096,0,1
10.703617530,0,0
10.704022984,1,0
10.747100328,1,1
10.753144954,0,1
10.795768412,0,0
10.802266984,1,0
10.839850446,1,1
10.846387428,0,1
10.883970598,0,0
10.895493108,1,0
10.928109234,1,1
10.939591076,0,1
10.972218750,0,0
10.988704672,1,0
11.016342570,1,1
11.037826716,0,1
11.060465444,0,0
11.086948554,1,0
11.104638632,1,1
11.136071524,0,1
11.143737714,0,0
11.185193562,1,0
11.187858300,1,1
11.229313496,0,1
11.231977866,0,0
11.273434660,1,0
11.276099184,1,1
11.322556828,0,1
11.325220744,0,0
11.366676924,1,0
11.369341806,1,1
11.415800334,0,1
11.418465090,0,0
11.464922796,1,0
11.467587544,1,1
11.509043114,0,1
11.511707170,0,0
11.558166736,1,0
11.560831880,1,1
11.602287104,0,1
11.604951914,0,0
11.651409732,1,0
11.654074684,1,1
11.695530818,0,1
11.713197280,0,0
11.739651714,1,0
11.762300358,1,1
11.788774848,0,1
11.806443642,0,0
11.832897018,1,0
11.845576224,1,1
11.881994944,0,1
11.884691630,0,0
11.931090856,1,0
11.933768966,1,1
11.975191572,0,1
11.977869548,0,0
12.024309660,1,0
12.027003128,1,1
12.068430952,0,1
12.071123834,0,0
12.117555172,1,0
12.120249412,1,1
12.166678356,0,1
12.169371980,0,0
12.215801636,1,0
12.218495668,1,1
12.259923120,0,1
12.262610700,0,0
12.304044314,1,0
12.306733060,1,1
12.353167732,0,1
12.355856144,0,0
12.397289428,1,0
12.399977962,1,1
12.446412886,0,1
12.449100838,0,0
12.490534240,1,0
12.493221072,1,1
12.539658166,0,1
12.542346824,0,0
12.583779678,1,0
12.601461996,1,1
12.632903394,0,1
12.640584152,0,0
12.682027738,1,0
12.684704962,1,1
12.726149740,0,1
12.728827386,0,0
12.775273942,1,0
12.777951754,1,1
12.824398468,0,1
12.827075788,0,0
12.868520570,1,0
12.886200252,1,1
12.917626612,0,1
12.925281298,0,0
12.961727430,1,0
12.964378298,1,1
13.010846346,0,1
13.013512140,0,0
13.054968592,1,0
13.057635250,1,1
13.104093016,0,1
13.106759658,0,0
13.153217202,1,0
13.155884162,1,1
13.202341392,0,1
13.205009370,0,0
13.246470528,1,0
13.249131814,1,1
13.295594836,0,1
13.298256306,0,0
13.339717056,1,0
13.342385998,1,1
13.383840188,0,1
13.386501322,0,0
13.432964640,1,0
13.435626132,1,1
13.477087016,0,1
13.479748772,0,0
13.526212592,1,0
13.528874576,1,1
13.570335102,0,1
13.572996340,0,0
13.619459770,1,0
13.622128718,1,1
13.668585436,0,1
13.671247360,0,0
13.712708372,1,0
13.725379072,1,1
13.761833562,0,1
13.769487202,0,0
13.810959298,1,0
13.813610636,1,1
13.855082422,0,1
13.857733844,0,0
13.904191424,1,0
13.906813104,1,1
13.953295316,0,1
13.955916352,0,0
13.997411176,1,0
14.000048186,1,1
14.046536550,0,1
14.049174078,0,0
14.095662152,1,0
14.098299714,1,1
14.139785192,0,1
14.142422094,0,0
14.188910428,1,0
14.191548206,1,1
14.238036184,0,1
14.240719256,0,0
14.282159446,1,0
14.284842690,1,1
14.331284878,0,1
14.333967688,0,0
14.380410904,1,0
14.383093932,1,1
14.424534270,0,1
14.437178508,0,0
14.473659946,1,0
14.476333232,1,1
14.522786686,0,1
14.525459214,0,0
14.566910262,1,0
14.569583224,1,1
14.616042936,0,1
14.618716332,0,0
14.665168812,1,0
14.667842166,1,1
14.714295010,0,1
14.716967998,0,0
14.758419578,1,0
14.761093374,1,1
14.807545836,0,1
14.810219264,0,0
14.851670036,1,0
14.854338274,1,1
14.900780502,0,1
14.903432214,0,0
14.944882736,1,0
14.947534888,1,1
14.988997942,0,1
14.991662228,0,0
15.038124784,1,0
15.040793054,1,1
15.087250890,0,1
15.089918686,0,0
15.131374908,1,0
15.134040728,1,1
15.180501690,0,1
15.188166454,0,0
15.229628058,1,0
15.232286678,1,1
15.273752264,0,1
15.276410410,0,0
15.317877014,1,0
15.320535834,1,1
15.367003504,0,1
15.369662442,0,0
15.416130088,1,0
15.418789076,1,1
15.460255078,0,1
15.477920586,0,0
15.509381760,1,0
15.517031926,1,1
15.553506300,0,1
15.556154138,0,0
15.597631442,1,0
15.600279956,1,1
15.646758282,0,1
15.649405938,0,0
15.690883214,1,0
15.693531512,1,1
15.740010962,0,1
15.742659870,0,0
15.789138304,1,0
15.791787072,1,1
15.833263502,0,1
15.835911486,0,0
15.882366242,1,0
15.885018678,1,1
15.926464448,0,1
15.929097042,0,0
15.970569238,1,0
15.973202140,1,1
16.019692186,0,1
16.022340248,0,0
16.063817920,1,0
16.066466138,1,1
16.112945466,0,1
16.115593878,0,0
16.157071500,1,0
16.159720444,1,1
16.206199212,0,1
16.208847310,0,0
16.250324746,1,0
16.262972646,1,1
16.299453052,0,1
16.302091690,0,0
16.348580976,1,0
16.351219808,1,1
16.397708814,0,1
16.400347124,0,0
16.441835648,1,0
16.444474414,1,1
16.490966144,0,1
16.493605104,0,0
16.535092086,1,0
16.537731104,1,1
16.579219082,0,1
16.581857834,0,0
16.628347148,1,0
16.630986192,1,1
