Time [s],Channel 0,Channel 1
7.965596338,1,0
7.965878372,1,1
8.465608562,0,1
8.465896148,0,0
8.965624162,1,0
8.965907224,1,1
9.465637122,0,1
9.465920294,0,0
9.965650070,1,0
9.965933222,1,1
10.465664160,0,1
10.465947212,0,0
10.965677098,1,0
10.965960526,1,1
11.465690036,0,1
11.465973528,0,0
11.965704108,1,0
11.965987256,1,1
12.465717038,0,1
12.466000238,0,0
12.965729962,1,0
12.966013162,1,1
13.465744032,0,1
13.466026504,0,0
13.965756954,1,0
13.966039388,1,1
14.465769880,0,1
14.466052240,0,0
14.965783942,1,0
14.966067284,1,1
15.465796864,0,1
15.466080318,0,0
15.965809778,1,0
15.966092792,1,1
16.465823836,0,1
16.466106930,0,0
16.965836746,1,0
16.966119954,1,1
17.465849658,0,1
17.466132750,0,0
17.965863708,1,0
17.966146932,1,1
18.465876960,0,1
18.466160024,0,0
18.965889860,1,0
18.966173028,1,1
19.465903902,0,1
19.466186548,0,0
19.965917136,1,0
19.966199634,1,1
20.465930030,0,1
20.466212526,0,0
20.965942252,1,0
20.966224108,1,1
21.465957350,0,1
21.466240506,0,0
21.965970236,1,0
21.966253282,1,1
22.465982456,0,1
22.466265528,0,0
22.965997544,1,0
22.966280754,1,1
23.466010420,0,1
23.466293518,0,0
23.966023292,1,0
23.966306408,1,1
24.466037306,0,1
24.466320638,0,0
24.966050176,1,0
24.966333778,1,1
25.466063052,0,1
25.466346538,0,0
25.966077068,1,0
25.966359334,1,1
26.466089944,0,1
26.466372284,0,0
26.966102968,1,0
26.966385262,1,1
27.466116880,0,1
27.466399936,0,0
27.966129752,1,0
27.966412846,1,1
28.466142632,0,1
28.466425748,0,0
28.966156650,1,0
28.966439918,1,1
29.466169528,0,1
29.466452832,0,0
29.966182402,1,0
29.966465684,1,1
30.466196424,0,1
30.466479394,0,0
30.966209300,1,0
30.966492354,1,1
31.466222180,0,1
31.466505440,0,0
31.966236196,1,0
31.966518584,1,1
32.466249076,0,1
32.466531512,0,0
32.966261948,1,0
32.966544416,1,1
33.466275966,0,1
33.466559346,0,0
33.966289178,1,0
33.966572540,1,1
34.466302050,0,1
34.466585538,0,0
34.966313934,1,0
34.966787852,1,1
35.466328956,0,1
35.466611832,0,0
35.966341824,1,0
35.966624908,1,1
36.466354034,0,1
36.466637066,0,0
36.966369112,1,0
36.966652528,1,1
37.466381990,0,1
37.466664942,0,0
37.966394196,1,0
37.966677158,1,1
38.466409308,0,1
38.466691780,0,0
38.966422184,1,0
38.966704696,1,1
39.466435064,0,1
39.466717324,0,0
39.966449082,1,0
39.966732194,1,1
40.466461966,0,1
40.466745140,0,0
40.966474844,1,0
40.966758244,1,1
41.466488868,0,1
41.466771854,0,0
41.966501746,1,0
41.966784756,1,1
42.466514626,0,1
42.466797380,0,0
42.966528644,1,0
42.966811734,1,1
43.466541528,0,1
43.466824642,0,0
43.966554406,1,0
43.966837508,1,1
44.466568430,0,1
44.466850746,0,0
44.966581306,1,0
44.966863644,1,1
45.466594186,0,1
45.466876462,0,0
45.966608204,1,0
45.966891214,1,1
46.466621086,0,1
46.466904138,0,0
46.966633966,1,0
46.966917018,1,1
47.466647992,0,1
47.466931312,0,0
47.966661212,1,0
47.966944604,1,1
48.466674096,0,1
48.466957584,0,0
48.966688116,1,0
48.966971134,1,1
49.466701342,0,1
49.466984298,0,0
49.966714220,1,0
49.966997174,1,1
50.466726438,0,1
50.467019220,0,0
50.966741526,1,0
50.967023866,1,1
51.466754414,0,1
51.467036750,0,0
51.966766662,1,0
51.967049012,1,1
52.466781722,0,1
52.467065148,0,0
52.966794602,1,0
52.967077910,1,1
53.466806812,0,1
53.467090200,0,0
53.966821894,1,0
53.967104818,1,1
54.466834798,0,1
54.467117826,0,0
54.966847670,1,0
54.967130558,1,1
55.466861684,0,1
55.467143974,0,0
55.966874550,1,0
55.967156836,1,1
56.466887420,0,1
56.467169818,0,0
56.966901428,1,0
56.967184586,1,1
57.466914298,0,1
57.467197668,0,0
57.966927164,1,0
57.967210506,1,1
58.466941178,0,1
58.467224090,0,0
58.966954046,1,0
58.967236912,1,1
59.466966918,0,1
59.467249972,0,0
59.966980928,1,0
59.967263916,1,1
60.466993802,0,1
60.467276808,0,0
60.967006670,1,0
60.967289870,1,1
61.467020684,0,1
61.467303238,0,0
61.967033554,1,0
61.967316200,1,1
62.467046428,0,1
62.467329036,0,0
62.967060438,1,0
62.967343482,1,1
63.467073654,0,1
63.467356514,0,0
63.967086520,1,0
63.967369426,1,1
64.467100530,0,1
64.467383574,0,0
64.967113732,1,0
64.967396832,1,1
65.467126598,0,1
65.467409624,0,0
65.967138792,1,0
65.967421440,1,1
66.467153868,0,1
66.467437334,0,0
66.967166730,1,0
66.967450078,1,1
67.467178930,0,1
67.467462314,0,0
67.967193996,1,0
67.967476186,1,1
68.467206860,0,1
68.467488980,0,0
68.967219720,1,0
68.967502000,1,1
69.467233726,0,1
69.467516658,0,0
69.967246588,1,0
69.967529604,1,1
70.467259456,0,1
70.467542572,0,0
70.967273464,1,0
70.967556760,1,1
71.467286336,0,1
71.467569656,0,0
71.967299204,1,0
71.967582430,1,1
72.467313218,0,1
72.467596012,0,0
72.967326084,1,0
72.967609070,1,1
73.467338958,0,1
73.467621852,0,0
73.967352966,1,0
73.967635240,1,1
74.467365840,0,1
74.467648030,0,0
74.967378708,1,0
74.967660964,1,1
75.467392722,0,1
75.467675854,0,0
75.967405592,1,0
75.967688958,1,1
76.467418466,0,1
76.467701742,0,0
76.967432476,1,0
76.967715376,1,1
77.467445350,0,1
77.467728338,0,0
77.967458214,1,0
77.967741042,1,1
78.467472222,0,1
78.467755320,0,0
78.967485424,1,0
78.967768568,1,1
79.467498290,0,1
79.467781356,0,0
79.967512290,1,0
79.967795130,1,1
80.467525494,0,1
80.467807816,0,0
80.967538354,1,0
80.967821090,1,1
81.467550550,0,1
81.467833036,0,0
81.967565616,1,0
81.967848476,1,1
82.467578480,0,1
82.467861542,0,0
82.967590672,1,0
82.967873550,1,1
83.467605746,0,1
83.467888848,0,0
83.967618604,1,0
83.967901822,1,1
84.467631466,0,1
84.467914418,0,0
84.967645464,1,0
84.967928740,1,1
85.467658316,0,1
85.467941466,0,0
85.967671162,1,0
85.967954642,1,1
86.467685152,0,1
86.467967366,0,0
86.967697996,1,0
86.967980178,1,1
87.467710844,0,1
87.467992996,0,0
87.967724826,1,0
87.968007820,1,1
88.467737668,0,1
88.468020688,0,0
88.967750494,1,0
88.968033428,1,1
89.467764462,0,1
89.468047448,0,0
89.967777286,1,0
89.968060436,1,1
90.467790120,0,1
90.468073364,0,0
90.967804092,1,0
90.968087018,1,1
91.467816928,0,1
91.468099870,0,0
91.967829760,1,0
91.968112734,1,1
92.467843740,0,1
92.468126004,0,0
92.967856914,1,0
92.968139116,1,1
93.467869754,0,1
93.468151952,0,0
93.967883730,1,0
93.968166930,1,1
94.467896912,0,1
94.468180048,0,0
94.967909746,1,0
94.968192790,1,1
95.467925834,0,1
95.468209372,0,0
95.967937710,1,0
95.968220622,1,1
96.467950548,0,1
96.468233444,0,0
96.967962750,1,0
96.968245594,1,1
97.467977764,0,1
97.468260776,0,0
97.967990598,1,0
97.968273712,1,1
98.468002772,0,1
98.468285720,0,0
98.968017816,1,0
98.968300048,1,1
99.468030656,0,1
99.468312988,0,0
99.968043492,1,0
99.968325838,1,1
100.468057476,0,1
100.468340798,0,0
100.968070462,1,0
100.968353426,1,1
101.468083194,0,1
101.468366168,0,0
101.968097174,1,0
101.968380218,1,1
102.468110016,0,1
102.468393072,0,0
102.968122852,1,0
102.968405856,1,1
103.468136834,0,1
103.468419192,0,0
103.968149672,1,0
103.968431970,1,1
104.468162514,0,1
104.468444886,0,0
104.968176492,1,0
104.968459944,1,1
105.468189328,0,1
105.468472736,0,0
105.968202158,1,0
105.968485254,1,1
106.468216134,0,1
106.468499458,0,0
106.968228954,1,0
106.968512366,1,1
107.468241780,0,1
107.468525362,0,0
107.968255738,1,0
107.968538838,1,1
108.468268902,0,1
108.468551796,0,0
108.968281720,1,0
108.968564766,1,1
109.468295686,0,1
109.468577964,0,0
109.968308846,1,0
109.968591064,1,1
110.468321672,0,1
110.468603902,0,0
110.968333828,1,0
110.968615710,1,1
111.468348864,0,1
111.468632140,0,0
111.968361688,1,0
111.968644980,1,1
112.468373848,0,1
112.468657172,0,0
112.968388880,1,0
112.968671908,1,1
113.468401712,0,1
113.468684764,0,0
113.968414536,1,0
113.968697382,1,1
114.468428508,0,1
114.468711724,0,0
114.968441332,1,0
114.968724326,1,1
115.468454162,0,1
115.468737234,0,0
115.968468130,1,0
115.968750634,1,1
116.468480960,0,1
116.468763462,0,0
116.968493932,1,0
116.968776598,1,1
117.468507794,0,1
117.468790746,0,0
117.968520618,1,0
117.968803564,1,1
118.468533448,0,1
118.468816320,0,0
118.968547414,1,0
118.968830462,1,1
119.468560242,0,1
119.468843364,0,0
119.968573064,1,0
119.968856310,1,1
120.468587034,0,1
120.468870220,0,0
120.968599856,1,0
120.968883240,1,1
121.468612686,0,1
121.468896032,0,0
121.968626652,1,0
121.968908864,1,1
122.468639480,0,1
122.468921588,0,0
122.968652302,1,0
122.968934388,1,1
123.468666272,0,1
123.468949358,0,0
123.968679436,1,0
123.968962470,1,1
124.468692266,0,1
124.468975234,0,0
124.968706230,1,0
124.968989374,1,1
125.468719400,0,1
125.469002538,0,0
125.968732220,1,0
125.969015404,1,1
126.468744382,0,1
126.469027766,0,0
126.968759412,1,0
126.969042314,1,1
127.468772238,0,1
127.469055164,0,0
127.968784388,1,0
127.969067360,1,1
128.468799420,0,1
128.469081720,0,0
128.968812240,1,0
128.969094416,1,1
129.468825066,0,1
129.469107314,0,0
129.968839026,1,0
129.969122090,1,1
130.468851852,0,1
130.469135012,0,0
130.968864668,1,0
130.969147994,1,1
131.468878634,0,1
131.469161486,0,0
131.968891448,1,0
131.969174488,1,1
132.468904270,0,1
132.469187144,0,0
132.968918226,1,0
132.969201280,1,1
133.468931044,0,1
133.469214140,0,0
133.968943858,1,0
133.969226848,1,1
134.468957818,0,1
134.469240144,0,0
134.968970630,1,0
134.969252968,1,1
135.468983444,0,1
135.469265766,0,0
135.968997392,1,0
135.969280374,1,1
136.469010202,0,1
136.469293132,0,0
136.969023008,1,0
136.969305868,1,1
137.469036962,0,1
137.469320032,0,0
137.969050112,1,0
137.969333216,1,1
138.469062918,0,1
138.469346040,0,0
138.969076860,1,0
138.969360032,1,1
139.469090006,0,1
139.469373270,0,0
139.969102808,1,0
139.969385872,1,1
140.469117048,0,1
140.469404328,0,0
140.969130708,1,0
140.969412796,1,1
141.469143516,0,1
141.469425730,0,0
141.969155684,1,0
141.969437960,1,1
142.469170666,0,1
142.469453714,0,0
142.969183468,1,0
142.969466478,1,1
143.469195608,0,1
143.469478698,0,0
143.969210616,1,0
143.969493580,1,1
144.469223420,0,1
144.469506450,0,0
144.969236220,1,0
144.969519248,1,1
145.469250164,0,1
145.469533682,0,0
145.969262960,1,0
145.969545898,1,1
146.469275758,0,1
146.469558690,0,0
146.969289690,1,0
146.969571800,1,1
147.469302486,0,1
147.469584640,0,0
147.969315276,1,0
147.969597624,1,1
148.469329230,0,1
148.469612344,0,0
148.969342010,1,0
148.969625018,1,1
149.469354792,0,1
149.469637814,0,0
149.969368704,1,0
149.969652180,1,1
150.469381476,0,1
150.469664774,0,0
150.969394240,1,0
150.969677296,1,1
151.469408146,0,1
151.469690450,0,0
151.969420900,1,0
151.969703126,1,1
152.469433656,0,1
152.469715912,0,0
152.969447544,1,0
152.969730660,1,1
153.469460634,0,1
153.469743816,0,0
153.969473376,1,0
153.969756498,1,1
154.469487262,0,1
154.469770636,0,0
154.969500344,1,0
154.969783716,1,1
155.469513094,0,1
155.469796452,0,0
155.969525174,1,0
155.969807658,1,1
156.469540134,0,1
156.469823144,0,0
156.969552882,1,0
156.969835900,1,1
157.469564968,0,1
157.469848256,0,0
157.969579926,1,0
157.969862490,1,1
158.469592680,0,1
158.469874796,0,0
158.969605432,1,0
158.969887538,1,1
159.469619332,0,1
159.469902484,0,0
159.969632084,1,0
159.969915104,1,1
160.469644842,0,1
160.469928186,0,0
160.969658734,1,0
160.969941820,1,1
161.469671516,0,1
161.469954634,0,0
161.969684418,1,0
161.969967510,1,1
162.469698208,0,1
162.469981726,0,0
162.969710958,1,0
162.969994352,1,1
163.469723716,0,1
163.470007196,0,0
163.969737612,1,0
163.970019684,1,1
164.469750372,0,1
164.470032560,0,0
164.969763126,1,0
164.970045348,1,1
165.469777030,0,1
165.470060124,0,0
165.969789788,1,0
165.970073054,1,1
166.469802550,0,1
166.470085954,0,0
166.969816448,1,0
166.970099404,1,1
167.469829206,0,1
167.470112132,0,0
167.969841960,1,0
167.970124936,1,1
168.469855860,0,1
168.470139036,0,0
168.969868956,1,0
168.970152022,1,1
169.469881716,0,1
169.470164810,0,0
169.969895610,1,0
169.970177902,1,1
170.469908702,0,1
170.470191058,0,0
170.969921448,1,0
170.970203956,1,1
171.469933532,0,1
171.470216132,0,0
171.969948488,1,0
171.970231400,1,1
172.469961238,0,1
172.470244138,0,0
172.969973316,1,0
172.970256188,1,1
173.469988274,0,1
173.470271208,0,0
173.970001018,1,0
173.970283906,1,1
174.470013768,0,1
174.470296810,0,0
174.970027656,1,0
174.970310778,1,1
175.470040406,0,1
175.470323644,0,0
175.970053148,1,0
175.970336590,1,1
176.470067036,0,1
176.470349076,0,0
176.970079774,1,0
176.970362000,1,1
177.470092512,0,1
177.470374598,0,0
177.970106388,1,0
177.970389432,1,1
178.470119128,0,1
178.470402082,0,0
178.970131862,1,0
178.970414908,1,1
179.470145742,0,1
179.470428766,0,0
179.970158476,1,0
179.970441462,1,1
180.470171214,0,1
180.470454230,0,0
180.970185086,1,0
180.970467968,1,1
181.470197822,0,1
181.470480776,0,0
181.970210552,1,0
181.970493628,1,1
182.470224430,0,1
182.470506754,0,0
182.970237504,1,0
182.970519724,1,1
183.470250242,0,1
183.470532502,0,0
183.970264116,1,0
183.970547208,1,1
184.470277196,0,1
184.470560304,0,0
184.970289928,1,0
184.970573074,1,1
185.470302782,0,1
185.470585912,0,0
185.970316538,1,0
185.970599376,1,1
186.470329274,0,1
186.470612238,0,0
186.970341374,1,0
186.970624376,1,1
187.470356288,0,1
187.470639260,0,0
187.970369024,1,0
187.970652160,1,1
188.470381096,0,1
188.470664318,0,0
188.970396038,1,0
188.970678280,1,1
189.470408780,0,1
189.470691024,0,0
189.970421516,1,0
189.970703798,1,1
190.470435398,0,1
190.470718820,0,0
190.970448134,1,0
190.970731040,1,1
191.470460870,0,1
191.470743930,0,0
191.970474740,1,0
191.970757682,1,1
192.470487470,0,1
192.470770486,0,0
192.970500194,1,0
192.970783236,1,1
193.470514066,0,1
193.470797192,0,0
193.970526788,1,0
193.970810040,1,1
194.470539516,0,1
194.470822710,0,0
194.970553380,1,0
194.970835974,1,1
195.470566132,0,1
195.470849528,0,0
195.970578856,1,0
195.970861884,1,1
196.470592726,0,1
196.470875788,0,0
196.970605448,1,0
196.970888446,1,1
197.470618174,0,1
197.470901224,0,0
197.970632030,1,0
197.970915090,1,1
198.470645086,0,1
198.470928234,0,0
198.970657794,1,0
198.970940856,1,1
199.470671652,0,1
199.470954258,0,0
199.970684702,1,0
199.970967244,1,1
200.470697418,0,1
200.470979888,0,0
200.970709464,1,0
200.970991228,1,1
201.470724396,0,1
201.471007280,0,0
201.970737118,1,0
201.971020110,1,1
202.470749178,0,1
202.471032312,0,0
202.970764108,1,0
202.971047206,1,1
203.470776838,0,1
203.471059952,0,0
203.970789562,1,0
203.971072712,1,1
204.470803434,0,1
204.471086942,0,0
204.970816162,1,0
204.971099666,1,1
205.470828894,0,1
205.471112246,0,0
205.970842760,1,0
205.971124898,1,1
206.470855484,0,1
206.471137554,0,0
206.970868350,1,0
206.971150686,1,1
207.470882106,0,1
207.471165098,0,0
207.970894824,1,0
207.971177944,1,1
208.470907548,0,1
208.471190596,0,0
208.970921412,1,0
208.971204630,1,1
209.470934140,0,1
209.471217444,0,0
209.970946864,1,0
209.971230086,1,1
210.470960736,0,1
210.471243738,0,0
210.970973462,1,0
210.971256528,1,1
211.470986194,0,1
211.471269282,0,0
211.971000062,1,0
211.971282332,1,1
212.471012794,0,1
212.471295052,0,0
212.971025520,1,0
212.971307782,1,1
213.471039392,0,1
213.471322834,0,0
213.971052460,1,0
213.971335846,1,1
214.471065192,0,1
214.471348514,0,0
214.971079062,1,0
214.971362156,1,1
215.471092134,0,1
215.471374938,0,0
215.971104862,1,0
215.971387868,1,1
216.471116926,0,1
216.471399926,0,0
216.971131858,1,0
216.971415104,1,1
217.471144586,0,1
217.471427714,0,0
217.971156640,1,0
217.971439884,1,1
218.471171578,0,1
218.471454022,0,0
218.971184300,1,0
218.971466862,1,1
219.471197028,0,1
219.471479540,0,0
219.971210892,1,0
219.971493816,1,1
220.471223618,0,1
220.471506590,0,0
220.971236340,1,0
220.971519382,1,1
221.471250204,0,1
221.471533282,0,0
221.971262920,1,0
221.971545844,1,1
222.471275646,0,1
222.471558678,0,0
222.971289508,1,0
222.971572886,1,1
223.471302234,0,1
223.471585600,0,0
223.971314950,1,0
223.971598242,1,1
224.471328816,0,1
224.471611088,0,0
224.971341534,1,0
224.971623658,1,1
225.471354258,0,1
225.471636484,0,0
225.971368118,1,0
225.971651448,1,1
226.471380840,0,1
226.471664198,0,0
226.971393556,1,0
226.971676946,1,1
227.471407420,0,1
227.471690474,0,0
227.971420134,1,0
227.971703136,1,1
228.471432856,0,1
228.471715688,0,0
228.971446714,1,0
228.971729792,1,1
229.471459778,0,1
229.471742846,0,0
229.971472496,1,0
229.971755544,1,1
230.471485336,0,1
230.472147314,0,0
230.971499082,1,0
230.971781572,1,1
231.471511806,0,1
231.471794386,0,0
231.971523890,1,0
231.971806528,1,1
232.471538786,0,1
232.471821626,0,0
232.971551502,1,0
232.971834386,1,1
233.471563558,0,1
233.471846496,0,0
233.971578482,1,0
233.971861550,1,1
234.471591206,0,1
234.471874240,0,0
234.971603926,1,0
234.971886906,1,1
235.471617794,0,1
235.471900980,0,0
235.971630516,1,0
235.971914032,1,1
236.471643246,0,1
236.471926530,0,0
236.971657112,1,0
236.971939316,1,1
237.471669840,0,1
237.471952068,0,0
237.971682554,1,0
237.971964614,1,1
238.471696408,0,1
238.471979588,0,0
238.971709114,1,0
238.971992126,1,1
239.471721824,0,1
239.472004838,0,0
239.971735670,1,0
239.972018902,1,1
240.471748382,0,1
240.472031410,0,0
240.971761084,1,0
240.972044418,1,1
241.471774932,0,1
241.472057882,0,0
241.971787632,1,0
241.972070502,1,1
242.471800338,0,1
242.472082466,0,0
242.971814178,1,0
242.972097156,1,1
243.471827224,0,1
243.472110288,0,0
243.971839922,1,0
243.972122912,1,1
244.471853768,0,1
244.472136858,0,0
244.971866806,1,0
244.972149970,1,1
245.471879510,0,1
245.472162568,0,0
245.971891542,1,0
245.972174426,1,1
246.471906456,0,1
246.472189392,0,0
246.971919160,1,0
246.972202192,1,1
247.471931202,0,1
247.472214234,0,0
247.971946114,1,0
247.972228278,1,1
248.471958824,0,1
248.472241048,0,0
248.971970860,1,0
248.972253096,1,1
249.471985780,0,1
249.472268956,0,0
249.971998484,1,0
249.972281602,1,1
250.472011196,0,1
250.472294352,0,0
250.972025044,1,0
250.972308004,1,1
251.472037756,0,1
251.472320796,0,0
251.972050612,1,0
251.972333500,1,1
252.472064360,0,1
252.472347444,0,0
252.972077068,1,0
252.972360182,1,1
253.472089782,0,1
253.472373022,0,0
253.972103630,1,0
253.972385906,1,1
254.472116346,0,1
254.472398628,0,0
254.972129054,1,0
254.972411444,1,1
255.472142908,0,1
255.472426332,0,0
255.972155618,1,0
255.972438582,1,1
256.472168334,0,1
256.472451290,0,0
258.211840000,0,0
