Time [s],Channel 0,Channel 1
5.777744532,0,0
5.877382610,1,0
5.877810786,1,1
5.977448584,0,1
5.977877762,0,0
6.077514720,1,0
6.077944056,1,1
6.177581060,0,1
6.178010590,0,0
6.277646870,1,0
6.278075216,1,1
6.377713126,0,1
6.378142224,0,0
6.477779028,1,0
6.478208444,1,1
6.577845150,0,1
6.578274626,0,0
6.677911166,1,0
6.678339504,1,1
6.777977580,0,1
6.778406752,0,0
6.878043404,1,0
6.878472472,1,1
6.978109526,0,1
6.978539278,0,0
7.078175750,1,0
7.078604056,1,1
7.178241714,0,1
7.178670788,0,0
7.278307854,1,0
7.278737198,1,1
7.378374240,0,1
7.378803638,0,0
7.478439998,1,0
7.478868356,1,1
7.578506336,0,1
7.578935470,0,0
7.678572026,1,0
7.679001230,1,1
7.778638336,0,1
7.779067976,0,0
7.878704494,1,0
7.879132576,1,1
7.978770822,0,1
7.979200032,0,0
8.078836528,1,0
8.079265856,1,1
8.178902714,0,1
8.179332254,0,0
8.278968918,1,0
8.279397328,1,1
8.379034822,0,1
8.379463734,0,0
8.479100960,1,0
8.479530382,1,1
8.579167294,0,1
8.579596796,0,0
8.679233066,1,0
8.679661320,1,1
8.779299200,0,1
8.779728566,0,0
8.879365480,1,0
8.879794564,1,1
8.979431364,0,1
8.979860934,0,0
9.079497584,1,0
9.079925822,1,1
9.179563544,0,1
9.179992784,0,0
9.279629682,1,0
9.280059072,1,1
9.379696016,0,1
9.380125308,0,0
9.479762002,1,0
9.480190422,1,1
9.579827904,0,1
9.580257084,0,0
9.679893972,1,0
9.680323288,1,1
9.779960156,0,1
9.780389914,0,0
9.880026368,1,0
9.880454594,1,1
9.980092268,0,1
9.980521562,0,0
10.080158404,1,0
10.080587634,1,1
10.180224738,0,1
10.180654376,0,0
10.280290724,1,0
10.280719046,1,1
10.380356882,0,1
10.380785838,0,0
10.480422692,1,0
10.480852358,1,1
10.580488808,0,1
10.580917966,0,0
10.680555218,1,0
10.680983618,1,1
10.780620992,0,1
10.781050244,0,0
10.880687128,1,0
10.881116404,1,1
10.980753460,0,1
10.981182772,0,0
11.080819262,1,0
11.081247624,1,1
11.180885594,0,1
11.181314782,0,0
11.280951402,1,0
11.281380968,1,1
11.381017518,0,1
11.381446486,0,0
11.481083952,1,0
11.481512496,1,1
11.581149710,0,1
11.581578920,0,0
11.681215760,1,0
11.681645306,1,1
11.781281982,0,1
11.781711248,0,0
11.881348308,1,0
11.881776524,1,1
11.981414048,0,1
11.981843306,0,0
12.081480348,1,0
12.081909858,1,1
12.181546220,0,1
12.181975314,0,0
12.281612354,1,0
12.282040848,1,1
12.381678686,0,1
12.382107896,0,0
12.481744452,1,0
12.482174054,1,1
12.581810724,0,1
12.582239942,0,0
12.681876666,1,0
12.682305024,1,1
12.781942996,0,1
12.782372330,0,0
12.882008804,1,0
12.882438204,1,1
12.982075210,0,1
12.982504400,0,0
13.082141010,1,0
13.082569532,1,1
13.182207340,0,1
13.182636470,0,0
13.282273148,1,0
13.282702834,1,1
13.382339552,0,1
13.382768512,0,0
13.482405352,1,0
13.482833952,1,1
13.582471682,0,1
13.582900888,0,0
13.682537498,1,0
13.682966970,1,1
13.782603678,0,1
13.783032956,0,0
13.882670044,1,0
13.883098312,1,1
13.982735806,0,1
13.983165108,0,0
14.082802064,1,0
14.083231638,1,1
14.182868026,0,1
14.183297042,0,0
14.282934010,1,0
14.283362572,1,1
14.383000138,0,1
14.383429268,0,0
14.483066412,1,0
14.483495972,1,1
14.583132634,0,1
14.583561910,0,0
14.683198574,1,0
14.683627022,1,1
14.783264470,0,1
14.783693726,0,0
14.883330602,1,0
14.883759866,1,1
14.983396640,0,1
14.983825992,0,0
15.083462856,1,0
15.083891240,1,1
15.183528810,0,1
15.183958042,0,0
15.283594942,1,0
15.284024490,1,1
15.383660986,0,1
15.384090042,0,0
15.483727118,1,0
15.484155756,1,1
15.583793404,0,1
15.584222926,0,0
15.683859518,1,0
15.684288522,1,1
15.783925330,0,1
15.784354708,0,0
15.883991420,1,0
15.884419778,1,1
15.984057748,0,1
15.984487404,0,0
16.084123554,1,0
16.084552732,1,1
16.184189732,0,1
16.184618982,0,0
16.284255722,1,0
16.284684394,1,1
16.384321850,0,1
16.384751154,0,0
16.484388124,1,0
16.484817340,1,1
16.584454126,0,1
16.584883440,0,0
16.684520100,1,0
16.684948468,1,1
16.784586428,0,1
16.785016086,0,0
16.884652234,1,0
16.885081238,1,1
16.984718678,0,1
16.985148046,0,0
17.084784434,1,0
17.085212808,1,1
17.184850804,0,1
17.185280190,0,0
17.284916568,1,0
17.285345784,1,1
17.384982746,0,1
17.385411808,0,0
17.485048734,1,0
17.485477228,1,1
17.585114862,0,1
17.585543844,0,0
17.685181200,1,0
17.685610304,1,1
17.785247020,0,1
17.785676370,0,0
17.885313234,1,0
17.885741788,1,1
17.985379186,0,1
17.985808312,0,0
18.085445316,1,0
18.085874554,1,1
18.185511352,0,1
18.185940686,0,0
18.285577482,1,0
18.286006362,1,1
18.385643768,0,1
18.386072720,0,0
18.485709574,1,0
18.486138870,1,1
18.585775842,0,1
18.586205168,0,0
18.685841782,1,0
18.686270626,1,1
18.785908108,0,1
18.786337142,0,0
18.885973914,1,0
18.886402958,1,1
18.986040098,0,1
18.986469446,0,0
19.086106078,1,0
19.086534836,1,1
19.186172356,0,1
19.186601432,0,0
19.286238244,1,0
19.286667488,1,1
19.386304512,0,1
19.386733660,0,0
19.486370408,1,0
19.486799192,1,1
19.586436534,0,1
19.586865570,0,0
19.686502872,1,0
19.686932160,1,1
19.786568848,0,1
19.786998306,0,0
19.886635120,1,0
19.887063672,1,1
19.986700878,0,1
19.987130076,0,0
20.086767140,1,0
20.087196198,1,1
20.186833016,0,1
20.187262278,0,0
20.286899146,1,0
20.287327934,1,1
20.386965214,0,1
20.387394212,0,0
20.487031476,1,0
20.487460784,1,1
20.587097510,0,1
20.587527062,0,0
20.687163448,1,0
20.687591652,1,1
20.787229772,0,1
20.787659112,0,0
20.887295576,1,0
20.887724694,1,1
20.987361684,0,1
20.987791328,0,0
21.087427896,1,0
21.087856332,1,1
21.187493846,0,1
21.187922960,0,0
21.287559976,1,0
21.287989230,1,1
21.387626008,0,1
21.388055482,0,0
21.487692136,1,0
21.488120426,1,1
21.587758420,0,1
21.588187554,0,0
21.687824306,1,0
21.688253590,1,1
21.787890340,0,1
21.788319916,0,0
21.887956550,1,0
21.888384678,1,1
21.988022500,0,1
21.988451662,0,0
22.088088626,1,0
22.088517950,1,1
22.188154658,0,1
22.188584260,0,0
22.288220786,1,0
22.288649146,1,1
22.388287068,0,1
22.388716148,0,0
22.488352868,1,0
22.488782144,1,1
22.588419268,0,1
22.588848820,0,0
22.688485286,1,0
22.688913690,1,1
22.788551142,0,1
22.788980466,0,0
22.888617268,1,0
22.889046326,1,1
22.988683298,0,1
22.989112910,0,0
23.088749382,1,0
23.089177630,1,1
23.188815706,0,1
23.189244754,0,0
23.288881506,1,0
23.289310892,1,1
23.388947678,0,1
23.389376992,0,0
23.489013662,1,0
23.489442052,1,1
23.589079784,0,1
23.589508828,0,0
23.689146058,1,0
23.689575298,1,1
23.789212056,0,1
23.789641706,0,0
23.889277980,1,0
23.889706000,1,1
23.989344102,0,1
23.989773368,0,0
24.089410368,1,0
24.089839638,1,1
24.189476364,0,1
24.189905980,0,0
24.289542664,1,0
24.289970966,1,1
24.389608420,0,1
24.390037466,0,0
24.489674678,1,0
24.490103976,1,1
24.589740548,0,1
24.590170134,0,0
24.689806848,1,0
24.690235318,1,1
24.789872710,0,1
24.790301976,0,0
24.889938834,1,0
24.890367928,1,1
24.990004862,0,1
24.990434200,0,0
25.090071070,1,0
25.090499484,1,1
25.190137014,0,1
25.190566492,0,0
25.290203138,1,0
25.290632358,1,1
25.390269334,0,1
25.390698482,0,0
25.490335600,1,0
25.490764416,1,1
25.590401354,0,1
25.590830422,0,0
25.690467652,1,0
25.690896890,1,1
25.790533488,0,1
25.790962830,0,0
25.890599754,1,0
25.891028322,1,1
25.990665932,0,1
25.991095036,0,0
26.090731756,1,0
26.091160952,1,1
26.190798084,0,1
26.191227392,0,0
26.290863874,1,0
26.291292708,1,1
26.390930194,0,1
26.391359072,0,0
26.490996118,1,0
26.491425364,1,1
26.591062388,0,1
26.591491736,0,0
26.691128528,1,0
26.691557318,1,1
26.791194316,0,1
26.791623338,0,0
26.891260540,1,0
26.891689546,1,1
26.991326410,0,1
26.991755826,0,0
27.091392616,1,0
27.091821290,1,1
27.191458578,0,1
27.191887696,0,0
27.291524842,1,0
27.291954062,1,1
27.391590712,0,1
27.392019808,0,0
27.491656918,1,0
27.492085582,1,1
27.591722880,0,1
27.592151954,0,0
27.691788918,1,0
27.692218170,1,1
27.791855088,0,1
27.792291074,0,0
