Time [s],Channel 0,Channel 1
0.000000000,0,0
6.063101484,1,0
6.064242418,1,1
6.166362370,0,1
6.167476034,0,0
6.269529626,1,0
6.270648340,1,1
6.372740804,0,1
6.373852296,0,0
6.475939150,1,0
6.477059596,1,1
6.579159404,0,1
6.580261826,0,0
6.682374126,1,0
6.683488518,1,1
6.785577186,0,1
6.786690632,0,0
6.888745006,1,0
6.889858830,1,1
6.991956192,0,1
6.993064226,0,0
7.095167528,1,0
7.096271408,1,1
7.198378638,0,1
7.199496822,0,0
7.301589908,1,0
7.302703530,1,1
7.404792424,0,1
7.405902726,0,0
7.507948368,1,0
7.509069014,1,1
7.611168334,0,1
7.612273326,0,0
7.714383062,1,0
7.715501650,1,1
7.817594328,0,1
7.818713312,0,0
7.920804604,1,0
7.921916834,1,1
8.024007028,0,1
8.025109570,0,0
8.127176328,1,0
8.128283492,1,1
8.230387828,0,1
8.231506562,0,0
8.333599028,1,0
8.334716984,1,1
8.436797384,0,1
8.437916878,0,0
8.540015528,1,0
8.541129292,1,1
8.643221866,0,1
8.644325788,0,0
8.746391908,1,0
8.747510926,1,1
8.849603146,0,1
8.850701794,0,0
8.952814304,1,0
8.953933292,1,1
9.056025586,0,1
9.057133810,0,0
9.159234394,1,0
9.160340208,1,1
9.262437048,0,1
9.263549752,0,0
9.365607796,1,0
9.366708622,1,1
9.468806176,0,1
9.469926716,0,0
9.572026292,1,0
9.573145422,1,1
9.675241082,0,1
9.676352308,0,0
9.778449182,1,0
9.779562954,1,1
9.881611894,0,1
9.882714764,0,0
9.984823118,1,0
9.985921184,1,1
10.088034358,0,1
10.089151878,0,0
10.191245516,1,0
10.192359526,1,1
10.294457030,0,1
10.295575660,0,0
10.397664390,1,0
10.398763898,1,1
10.500815170,0,1
10.501934732,0,0
10.604035196,1,0
10.605153836,1,1
10.707249910,0,1
10.708365572,0,0
10.810461142,1,0
10.811580326,1,1
10.913672316,0,1
10.914776676,0,0
11.016878898,1,0
11.017982004,1,1
11.120043138,0,1
11.121161796,0,0
11.223254638,1,0
11.224372234,1,1
11.326466844,0,1
11.327584784,0,0
11.429664418,1,0
11.430773686,1,1
