Time [s],Channel 0,Channel 1
0.000000000,0,0
176.498878358,1,0
176.499674736,1,1
176.600296390,0,1
176.600929948,0,0
176.701698864,1,0
176.702341114,1,1
176.803096302,0,1
176.803740544,0,0
176.904499826,1,0
176.905142160,1,1
177.005905774,0,1
177.006548240,0,0
177.107308356,1,0
177.107950940,1,1
177.208710692,0,1
177.209341612,0,0
177.310113066,1,0
177.310755196,1,1
177.411515544,0,1
177.412153350,0,0
177.512918010,1,0
177.513560582,1,1
177.614320414,0,1
177.614952830,0,0
177.715714886,1,0
177.716361988,1,1
177.817121630,0,1
177.817765734,0,0
177.918524044,1,0
177.919166626,1,1
178.019929914,0,1
178.020571238,0,0
178.121326936,1,0
178.121963922,1,1
178.222734780,0,1
178.223377176,0,0
178.324137310,1,0
178.324775292,1,1
178.425539646,0,1
178.426181224,0,0
178.526939218,1,0
178.527584480,1,1
178.628344444,0,1
178.628978236,0,0
178.729747090,1,0
178.730389678,1,1
178.831145774,0,1
178.831789082,0,0
178.932547878,1,0
178.933190524,1,1
179.033954004,0,1
179.034586222,0,0
179.135356550,1,0
179.135999228,1,1
179.236758818,0,1
179.237395792,0,0
179.338161238,1,0
179.338803534,1,1
179.439553996,0,1
179.440201438,0,0
179.540966274,1,0
179.541608988,1,1
179.642368592,0,1
179.643001358,0,0
179.743763778,1,0
179.744409542,1,1
179.845158986,0,1
179.845806262,0,0
179.946575730,1,0
179.947206502,1,1
180.047978064,0,1
180.048619558,0,0
180.149380482,1,0
180.150018656,1,1
180.250778490,0,1
180.251425662,0,0
180.352185434,1,0
180.352827710,1,1
180.453587752,0,1
180.454229348,0,0
180.554990238,1,0
180.555620072,1,1
180.656390812,0,1
180.657035060,0,0
180.757791540,1,0
180.758435550,1,1
180.859193574,0,1
180.859825246,0,0
180.960599660,1,0
180.961241970,1,1
181.062002134,0,1
181.062640482,0,0
181.163404662,1,0
181.164047006,1,1
181.264806946,0,1
181.265448462,0,0
181.366209348,1,0
181.366851802,1,1
181.467611806,0,1
181.468254606,0,0
181.569005766,1,0
181.569643980,1,1
181.670416698,0,1
181.671057926,0,0
181.771815550,1,0
181.772449766,1,1
181.873217808,0,1
181.873860428,0,0
181.974618860,1,0
181.975261810,1,1
182.076026284,0,1
182.076667840,0,0
182.177428718,1,0
182.178071096,1,1
182.278831108,0,1
182.279473816,0,0
182.380230260,1,0
182.380876056,1,1
182.481635966,0,1
182.482277702,0,0
182.583038432,1,0
182.583671924,1,1
182.684440888,0,1
182.685073496,0,0
182.785838814,1,0
182.786483544,1,1
182.887241878,0,1
182.887879296,0,0
182.988647896,1,0
182.989290144,1,1
183.090050334,0,1
183.090692908,0,0
183.191452860,1,0
183.192095096,1,1
183.292855174,0,1
183.293496558,0,0
183.394257606,1,0
183.394900082,1,1
183.495660012,0,1
183.496302676,0,0
183.597062570,1,0
183.597686232,1,1
183.698457250,0,1
183.699103554,0,0
183.799867082,1,0
183.800505484,1,1
183.901272886,0,1
183.901913696,0,0
184.002678960,1,0
184.003319528,1,1
184.104075906,0,1
184.104720688,0,0
184.205483672,1,0
184.206124302,1,1
184.306886092,0,1
184.307526864,0,0
184.408288650,1,0
184.408929312,1,1
184.509688094,0,1
184.510321348,0,0
184.611093376,1,0
184.611725170,1,1
184.712495846,0,1
