Time [s],Channel 0,Channel 1
18.252294974,1,0
18.252451468,1,1
18.352697378,0,1
18.352852692,0,0
18.453099818,1,0
18.453256018,1,1
18.553502262,0,1
18.553658424,0,0
18.653904742,1,0
18.654061242,1,1
18.754307146,0,1
18.754462372,0,0
18.854709584,1,0
18.854865714,1,1
18.955112028,0,1
18.955268188,0,0
19.055514506,1,0
19.055670988,1,1
19.155916908,0,1
19.156072152,0,0
19.256319346,1,0
19.256475520,1,1
19.356721788,0,1
19.356877992,0,0
19.457124266,1,0
19.457280818,1,1
19.557526668,0,1
19.557682032,0,0
19.657929104,1,0
19.658085150,1,1
19.758331548,0,1
19.758487956,0,0
19.858734026,1,0
19.858890564,1,1
19.959136426,0,1
19.959291810,0,0
20.059538862,1,0
20.059694894,1,1
20.159941304,0,1
20.160097566,0,0
20.260343784,1,0
20.260500474,1,1
20.360746184,0,1
20.360901498,0,0
20.461148620,1,0
20.461304830,1,1
20.561551062,0,1
20.561707312,0,0
20.661953540,1,0
20.662110136,1,1
20.762355940,0,1
20.762511110,0,0
20.862758376,1,0
20.862914692,1,1
20.963160818,0,1
20.963317224,0,0
21.063563294,1,0
21.063719656,1,1
21.163965694,0,1
21.164121044,0,0
21.264368130,1,0
21.264524318,1,1
21.364770570,0,1
21.364926966,0,0
21.465173048,1,0
21.465329532,1,1
21.565575446,0,1
21.565730670,0,0
21.665977882,1,0
21.666134112,1,1
21.766380324,0,1
21.766536450,0,0
21.866782800,1,0
21.866939300,1,1
21.967185200,0,1
21.967340612,0,0
22.067587636,1,0
22.067743936,1,1
22.167990076,0,1
22.168146392,0,0
22.268392552,1,0
22.268549124,1,1
22.368794950,0,1
22.368950270,0,0
22.469197386,1,0
22.469353520,1,1
22.569599826,0,1
22.569756108,0,0
22.670002302,1,0
22.670157806,1,1
22.770404702,0,1
22.770560086,0,0
22.870807136,1,0
22.870963418,1,1
22.971209576,0,1
22.971366074,0,0
23.071612054,1,0
23.071768114,1,1
23.172014452,0,1
23.172169910,0,0
23.272416886,1,0
23.272573208,1,1
23.372819326,0,1
23.372975896,0,0
23.473221802,1,0
23.473377970,1,1
23.573624202,0,1
23.573779540,0,0
23.674027710,1,0
23.674184004,1,1
23.774429084,0,1
23.774585684,0,0
23.874831560,1,0
23.874987706,1,1
23.975233958,0,1
23.975389194,0,0
24.075636394,1,0
24.075792592,1,1
24.176038834,0,1
24.176195372,0,0
24.276441310,1,0
24.276597254,1,1
24.376843710,0,1
24.376999090,0,0
24.477246144,1,0
24.477402396,1,1
24.577648584,0,1
24.577805108,0,0
24.678051062,1,0
24.678207122,1,1
24.778453460,0,1
24.778608826,0,0
24.878855896,1,0
24.879012266,1,1
24.979258336,0,1
24.979414736,0,0
25.079660814,1,0
25.079816834,1,1
25.180063212,0,1
25.180218712,0,0
25.280465648,1,0
25.280621868,1,1
25.380868088,0,1
25.381024588,0,0
25.481270566,1,0
25.481426652,1,1
25.581672964,0,1
25.581828496,0,0
25.682075400,1,0
25.682231544,1,1
25.782477840,0,1
25.782634346,0,0
25.882880318,1,0
25.883036352,1,1
25.983282718,0,1
25.983438030,0,0
26.083685152,1,0
26.083841428,1,1
26.184087594,0,1
26.184244080,0,0
26.284490072,1,0
26.284646236,1,1
26.384892470,0,1
26.385047882,0,0
26.485294906,1,0
26.485451128,1,1
26.585697348,0,1
26.585853814,0,0
26.686099826,1,0
26.686255886,1,1
26.786502226,0,1
26.786657572,0,0
26.886904662,1,0
26.887060920,1,1
26.987307102,0,1
26.987463664,0,0
27.087709580,1,0
27.087865652,1,1
27.188111980,0,1
27.188267306,0,0
27.288514416,1,0
27.288670686,1,1
27.388916858,0,1
27.389073364,0,0
27.489319336,1,0
27.489475394,1,1
27.589721736,0,1
27.589877180,0,0
27.690124172,1,0
27.690280210,1,1
27.790526614,0,1
27.790682686,0,0
27.890929092,1,0
27.891085250,1,1
27.991331490,0,1
27.991487002,0,0
28.091733926,1,0
28.091890456,1,1
28.192136368,0,1
28.192292508,0,0
28.292538846,1,0
28.292695138,1,1
28.392941246,0,1
28.393096698,0,0
28.493343680,1,0
28.493500268,1,1
28.593746122,0,1
28.593902236,0,0
28.694149674,1,0
28.694305932,1,1
28.794551008,0,1
28.794706576,0,0
28.894953442,1,0
28.895109854,1,1
28.995355884,0,1
28.995512106,0,0
29.095758360,1,0
29.095914578,1,1
29.196160760,0,1
29.196316138,0,0
29.296563194,1,0
29.296719566,1,1
29.396965634,0,1
29.397121752,0,0
29.497368112,1,0
29.497524422,1,1
29.597770510,0,1
29.597925808,0,0
29.698172946,1,0
29.698329452,1,1
29.798575386,0,1
29.798731562,0,0
29.898977862,1,0
29.899134066,1,1
29.999380262,0,1
29.999535718,0,0
30.099782696,1,0
30.099939296,1,1
30.200185138,0,1
30.200341256,0,0
30.300587614,1,0
30.300743992,1,1
30.400990012,0,1
30.401145526,0,0
30.501392446,1,0
30.501548972,1,1
30.601794886,0,1
30.601951098,0,0
30.702197364,1,0
30.702353376,1,1
30.802599762,0,1
30.802755476,0,0
30.903002196,1,0
30.903158612,1,1
31.003404636,0,1
31.003560772,0,0
31.103807112,1,0
31.103963300,1,1
31.204209510,0,1
31.204364968,0,0
31.304611944,1,0
31.304768588,1,1
31.405014384,0,1
31.405170354,0,0
31.505416858,1,0
31.505573116,1,1
31.605819256,0,1
31.605974758,0,0
31.706221690,1,0
31.706378294,1,1
31.806624130,0,1
31.806780262,0,0
31.907026606,1,0
31.907182890,1,1
32.007429004,0,1
32.007584532,0,0
32.107831436,1,0
32.107987910,1,1
32.208233876,0,1
32.208390010,0,0
32.308636350,1,0
32.308792562,1,1
32.409038748,0,1
32.409194322,0,0
32.509441182,1,0
32.509597666,1,1
32.609843622,0,1
32.609998832,0,0
32.710246096,1,0
32.710402444,1,1
32.810648494,0,1
32.810804076,0,0
32.911050928,1,0
32.911207172,1,1
33.011453366,0,1
33.011609580,0,0
33.111855840,1,0
33.112012132,1,1
33.212258238,0,1
33.212413966,0,0
33.312660670,1,0
33.312816744,1,1
33.413063110,0,1
33.413219286,0,0
33.513465584,1,0
33.513621920,1,1
33.613869054,0,1
33.614024804,0,0
33.714270420,1,0
33.714426532,1,1
33.814672858,0,1
33.814828974,0,0
33.915075332,1,0
33.915231500,1,1
34.015477728,0,1
34.015633352,0,0
34.115880152,1,0
34.116036336,1,1
34.216282598,0,1
34.216438878,0,0
34.316685072,1,0
34.316841206,1,1
34.417087468,0,1
34.417243304,0,0
34.517489900,1,0
34.517645924,1,1
34.617892338,0,1
34.618048406,0,0
34.718294812,1,0
34.718451066,1,1
34.818697206,0,1
34.818852942,0,0
34.919099638,1,0
34.919255842,1,1
35.019502076,0,1
35.019658326,0,0
35.119904548,1,0
35.120060784,1,1
35.220306944,0,1
35.220462808,0,0
35.320709376,1,0
35.320865368,1,1
35.421111812,0,1
35.421268150,0,0
35.521514286,1,0
35.521670502,1,1
35.621916680,0,1
35.622072442,0,0
35.722319112,1,0
35.722475086,1,1
35.822721548,0,1
35.822877700,0,0
35.923124020,1,0
35.923280336,1,1
36.023526416,0,1
36.023682168,0,0
36.123928846,1,0
36.124084876,1,1
36.224331282,0,1
36.224487468,0,0
36.324733756,1,0
36.324889968,1,1
36.425136150,0,1
36.425291932,0,0
36.525538580,1,0
36.525694658,1,1
36.625941016,0,1
36.626097332,0,0
36.726343488,1,0
36.726499814,1,1
36.826745882,0,1
36.826901396,0,0
36.927148312,1,0
36.927304370,1,1
37.027550748,0,1
37.027707042,0,0
37.127953220,1,0
37.128109368,1,1
37.228355614,0,1
37.228511298,0,0
37.328758044,1,0
37.328914248,1,1
37.429160480,0,1
37.429316636,0,0
37.529562954,1,0
37.529719078,1,1
37.629965348,0,1
37.630119640,0,0
37.730367780,1,0
37.730523932,1,1
37.830770216,0,1
37.830926344,0,0
37.931172690,1,0
37.931329186,1,1
38.031575084,0,1
38.031730490,0,0
38.131977516,1,0
38.132133672,1,1
38.232379952,0,1
38.232536202,0,0
38.332782426,1,0
38.332938926,1,1
38.433184822,0,1
38.433340132,0,0
38.533587252,1,0
38.533743406,1,1
38.633990764,0,1
38.634147020,0,0
38.734392172,1,0
38.734548636,1,1
38.834794566,0,1
38.834949924,0,0
38.935196998,1,0
38.935353148,1,1
39.035599436,0,1
39.035755746,0,0
39.136001908,1,0
39.136158478,1,1
39.236404304,0,1
39.236559474,0,0
39.336806738,1,0
39.336962964,1,1
39.437209174,0,1
39.437365454,0,0
39.537611648,1,0
39.537768218,1,1
39.638014046,0,1
39.638169232,0,0
39.738416478,1,0
39.738572672,1,1
39.838818916,0,1
39.838975244,0,0
39.939221390,1,0
39.939377842,1,1
40.039623786,0,1
40.039779172,0,0
40.140026220,1,0
40.140182544,1,1
40.240428656,0,1
40.240584980,0,0
40.340831130,1,0
40.340987686,1,1
40.441233526,0,1
40.441388796,0,0
40.541635958,1,0
40.541792094,1,1
40.642038396,0,1
40.642194646,0,0
40.742440870,1,0
40.742597352,1,1
40.842843266,0,1
40.842998664,0,0
40.943245698,1,0
40.943401810,1,1
41.043648136,0,1
41.043804406,0,0
41.144050608,1,0
41.144207210,1,1
41.244453004,0,1
41.244608280,0,0
41.344855438,1,0
41.345011628,1,1
41.445257874,0,1
41.445414122,0,0
41.545660350,1,0
41.545817046,1,1
41.646062746,0,1
41.646217950,0,0
41.746465178,1,0
41.746621356,1,1
41.846867616,0,1
41.847024018,0,0
41.947270090,1,0
41.947426582,1,1
42.047672486,0,1
42.047827786,0,0
42.148074918,1,0
42.148231010,1,1
42.248477356,0,1
42.248633606,0,0
42.348879828,1,0
42.349036288,1,1
42.449282222,0,1
42.449437536,0,0
42.549684654,1,0
42.549840942,1,1
42.650087090,0,1
42.650242630,0,0
42.750489564,1,0
42.750645722,1,1
42.850891960,0,1
42.851047434,0,0
42.951294390,1,0
42.951450610,1,1
43.051696828,0,1
43.051853282,0,0
43.152099302,1,0
43.152255414,1,1
43.252501698,0,1
43.252656894,0,0
43.352904130,1,0
43.353060486,1,1
43.453306566,0,1
43.453463258,0,0
43.553709040,1,0
43.553865134,1,1
43.654112510,0,1
43.654268030,0,0
43.754513876,1,0
43.754670030,1,1
43.854916314,0,1
43.855072836,0,0
43.955318788,1,0
43.955474878,1,1
44.055721184,0,1
44.055876624,0,0
44.156123616,1,0
44.156279840,1,1
44.256526054,0,1
44.256682486,0,0
44.356928528,1,0
44.357084660,1,1
44.457330924,0,1
44.457486316,0,0
44.557733356,1,0
44.557889598,1,1
44.658135792,0,1
44.658292228,0,0
44.758538266,1,0
44.758694268,1,1
44.858940660,0,1
44.859096108,0,0
44.959343092,1,0
44.959499232,1,1
45.059745528,0,1
45.059901996,0,0
45.160148000,1,0
45.160304214,1,1
45.260550396,0,1
45.260705718,0,0
45.360952826,1,0
45.361108960,1,1
45.461355262,0,1
45.461511806,0,0
45.561757736,1,0
45.561913872,1,1
45.662160130,0,1
45.662315484,0,0
