Time [s],Channel 0,Channel 1
0.000000000,0,0
1.697948960,1,0
1.698582850,1,1
1.797940848,0,1
1.798223812,0,0
1.897943246,1,0
1.898226458,1,1
1.997945734,0,1
1.998227636,0,0
2.097948218,1,0
2.098231174,1,1
2.197951064,0,1
2.198234242,0,0
2.297953446,1,0
2.298236804,1,1
2.397955916,0,1
2.398238038,0,0
2.497958298,1,0
2.498240942,1,1
2.597960686,0,1
2.598243836,0,0
2.697963126,1,0
2.698246430,1,1
2.797965614,0,1
2.798247732,0,0
2.897968096,1,0
2.898251026,1,1
2.997970940,0,1
2.998253752,0,0
3.097973322,1,0
3.098256704,1,1
3.197975792,0,1
3.198257954,0,0
3.297978172,1,0
3.298261282,1,1
3.397980558,0,1
3.398263480,0,0
3.497982996,1,0
3.498266148,1,1
3.597985482,0,1
3.598267656,0,0
3.697987962,1,0
3.698270416,1,1
3.797990806,0,1
3.798274248,0,0
3.897993184,1,0
3.898276074,1,1
3.997995652,0,1
3.998277646,0,0
4.097998032,1,0
4.098281064,1,1
4.198000416,0,1
4.198290330,0,0
4.298002854,1,0
4.298285806,1,1
4.398005336,0,1
4.398287554,0,0
4.498007816,1,0
4.498290704,1,1
4.598010656,0,1
4.598293926,0,0
4.698013034,1,0
4.698302984,1,1
4.798015500,0,1
4.798297890,0,0
4.898017878,1,0
4.898300888,1,1
4.998020260,0,1
4.998303360,0,0
5.098022696,1,0
5.098305542,1,1
5.198025178,0,1
5.198307356,0,0
5.298027656,1,0
5.298310596,1,1
5.398030496,0,1
5.398313860,0,0
5.498032872,1,0
5.498315658,1,1
5.598035336,0,1
5.598317444,0,0
5.698037946,1,0
5.698321084,1,1
5.798040328,0,1
5.798323712,0,0
5.898042704,1,0
5.898325550,1,1
5.998045126,0,1
5.998327268,0,0
6.098047500,1,0
6.098330498,1,1
6.198049964,0,1
6.198333326,0,0
6.298052796,1,0
6.298335680,1,1
6.398055258,0,1
6.398337374,0,0
6.498057632,1,0
6.498340518,1,1
6.598060012,0,1
6.598343186,0,0
6.698062384,1,0
6.698345224,1,1
6.798064822,0,1
6.798346916,0,0
6.898067296,1,0
6.898350368,1,1
6.998070132,0,1
