Time [s],Channel 0,Channel 1
0.000000000,0,0
9.439623342,1,0
9.439793078,1,1
9.441191080,0,1
9.441330162,0,0
9.442798204,0,1
9.442963360,1,1
9.444574058,1,0
9.444739318,0,0
9.446377006,0,1
9.446541914,1,1
9.448179062,1,0
9.448344516,0,0
9.449981860,0,1
9.450147112,1,1
9.451784514,1,0
9.451949712,0,0
9.453587430,0,1
9.453752308,1,1
9.455389568,1,0
9.455554910,0,0
9.457192158,0,1
9.457357496,1,1
9.458994904,1,0
9.459160106,0,0
9.460797770,0,1
9.460962702,1,1
9.462599942,1,0
9.462765304,0,0
9.464402590,0,1
9.464567900,1,1
9.466205328,1,0
9.466370500,0,0
9.468008228,0,1
9.468173096,1,1
9.469810248,1,0
9.469975698,0,0
9.471612964,0,1
9.471778294,1,1
9.473415868,1,0
9.473580894,0,0
9.475218618,0,1
9.475383490,1,1
9.477020738,1,0
9.477186092,0,0
9.478823504,0,1
9.478988688,1,1
9.480626076,1,0
9.480791288,0,0
9.482428990,0,1
9.482593884,1,1
9.484231162,1,0
9.484396486,0,0
9.486033760,0,1
9.486199082,1,1
9.487836498,1,0
9.488001682,0,0
9.489639248,0,1
9.489804278,1,1
9.491441418,1,0
9.491606880,0,0
9.493244184,0,1
9.493409476,1,1
9.495046890,1,0
9.495212076,0,0
9.496849722,0,1
9.497014672,1,1
9.498651842,1,0
9.498817274,0,0
9.500454724,0,1
9.500619870,1,1
9.502257296,1,0
9.502422470,0,0
9.504060128,0,1
9.504225066,1,1
9.505862182,1,0
9.506027668,0,0
9.507664982,0,1
9.507830264,1,1
9.509467720,1,0
9.509632864,0,0
9.511270552,0,1
9.511435460,1,1
9.513072640,1,0
9.513238062,0,0
9.514875454,0,1
9.515040658,1,1
9.516678060,1,0
9.516843258,0,0
9.518480942,0,1
9.518645854,1,1
9.520283062,1,0
9.520448456,0,0
9.522085862,0,1
9.522251052,1,1
9.523888400,1,0
9.524053652,0,0
9.525691232,0,1
9.525856248,1,1
9.527493404,1,0
9.527658850,0,0
9.529296136,0,1
9.529461446,1,1
9.531098740,1,0
9.531264048,0,0
9.532901622,0,1
9.533066634,1,1
9.534703794,1,0
9.534869244,0,0
9.536506542,0,1
9.536671840,1,1
9.538309280,1,0
9.538474442,0,0
9.540112162,0,1
9.540277036,1,1
9.541914200,1,0
9.542079638,0,0
9.543716816,0,1
9.543882226,1,1
9.545519736,1,0
9.545684834,0,0
9.547322570,0,1
9.547487430,1,1
9.549124624,1,0
9.549290032,0,0
9.550927306,0,1
9.551092628,1,1
9.552730076,1,0
9.552895230,0,0
9.554532792,0,1
9.554697824,1,1
9.556335098,1,0
9.556500426,0,0
9.558137896,0,1
9.558303022,1,1
9.559940434,1,0
9.560105624,0,0
9.561743332,0,1
9.561908220,1,1
9.563545588,1,0
9.563710820,0,0
9.565348236,0,1
9.565513416,1,1
9.567150924,1,0
9.567316018,0,0
9.568953722,0,1
9.569118614,1,1
9.570755928,1,0
9.570921214,0,0
9.572558576,0,1
9.572723810,1,1
9.574361264,1,0
9.574526412,0,0
9.576164014,0,1
9.576329008,1,1
9.577966384,1,0
9.578131608,0,0
9.579769000,0,1
9.579934204,1,1
9.581571772,1,0
9.581736806,0,0
9.583374554,0,1
9.583539402,1,1
9.585176608,1,0
9.585342002,0,0
9.586979340,0,1
9.587144598,1,1
9.588782062,1,0
9.588947200,0,0
9.590584744,0,1
9.590749796,1,1
9.592387064,1,0
9.592552396,0,0
9.594189796,0,1
9.594354992,1,1
9.595992452,1,0
9.596157594,0,0
9.597795100,0,1
9.597960190,1,1
9.599597454,1,0
9.599762790,0,0
9.601400136,0,1
9.601565386,1,1
9.603202792,1,0
9.603367988,0,0
9.605005656,0,1
9.605170584,1,1
9.606807744,1,0
9.606973184,0,0
9.608610510,0,1
9.608775780,1,1
9.610413214,1,0
9.610578382,0,0
9.612215914,0,1
9.612380978,1,1
9.614018168,1,0
9.614183578,0,0
9.615820768,0,1
9.615986174,1,1
9.617623556,1,0
9.617788768,0,0
9.619426388,0,1
9.619591372,1,1
9.621228508,1,0
9.621393972,0,0
9.623031308,0,1
9.623196568,1,1
9.624833962,1,0
9.624999170,0,0
9.626636728,0,1
9.626801766,1,1
9.628438966,1,0
9.628604366,0,0
9.630241648,0,1
9.630406954,1,1
9.632044302,1,0
9.632209564,0,0
9.633847134,0,1
9.634012160,1,1
9.635649388,1,0
9.635814760,0,0
9.637451920,0,1
9.637617356,1,1
9.639254642,1,0
9.639419958,0,0
9.641057608,0,1
9.641222554,1,1
9.642859646,1,0
9.643025154,0,0
9.644662528,0,1
9.644827750,1,1
9.646465182,1,0
9.646630352,0,0
9.648267948,0,1
9.648432948,1,1
9.650070320,1,0
9.650235548,0,0
9.651873002,0,1
9.652038144,1,1
9.653675606,1,0
9.653840746,0,0
9.655478438,0,1
9.655643334,1,1
9.657280526,1,0
9.657445942,0,0
9.659083292,0,1
9.659248538,1,1
9.660885946,1,0
9.661051140,0,0
9.662688778,0,1
9.662853736,1,1
9.664491000,1,0
9.664656336,0,0
9.666293682,0,1
9.666458932,1,1
9.668096336,1,0
