Time [s],Channel 0,Channel 1
0.000000000,0,0
16.758973104,1,0
16.759807240,1,1
17.259289322,0,1
17.259718684,0,0
17.759614986,1,0
17.760043760,1,1
18.259940728,0,1
18.260370038,0,0
18.760266842,1,0
18.760696162,1,1
19.260592578,0,1
19.261021990,0,0
19.760918580,1,0
19.761347496,1,1
20.261244472,0,1
20.261673754,0,0
20.761569966,1,0
20.761999272,1,1
21.261895782,0,1
21.262325244,0,0
21.762221804,1,0
21.762650134,1,1
22.262547444,0,1
22.262976730,0,0
22.762873392,1,0
22.763303068,1,1
23.263199194,0,1
23.263627676,0,0
23.763525020,1,0
23.763954502,1,1
24.263850750,0,1
24.264280182,0,0
24.764176932,1,0
24.764606608,1,1
25.264502540,0,1
25.264930926,0,0
25.764828608,1,0
25.765257888,1,1
26.265154040,0,1
26.265583320,0,0
26.765479866,1,0
26.765909038,1,1
27.265805686,0,1
27.266234192,0,0
27.766131632,1,0
27.766560948,1,1
28.266457508,0,1
28.266887060,0,0
28.766783456,1,0
28.767212650,1,1
29.267109274,0,1
29.267537758,0,0
29.767435036,1,0
29.767864376,1,1
30.267760804,0,1
30.268190440,0,0
30.768086788,1,0
30.768516182,1,1
31.268412540,0,1
31.268841128,0,0
31.768738310,1,0
31.769167974,1,1
32.269064068,0,1
32.269493328,0,0
32.769390000,1,0
32.769819254,1,1
33.269715514,0,1
33.270144204,0,0
33.770041714,1,0
33.770471414,1,1
34.270367186,0,1
34.270796598,0,0
34.770693094,1,0
34.771122426,1,1
35.271019032,0,1
35.271447694,0,0
35.771344802,1,0
35.771774456,1,1
36.271670560,0,1
36.272099908,0,0
36.771996224,1,0
36.772425630,1,1
37.272322158,0,1
37.272751040,0,0
37.772648060,1,0
37.773077302,1,1
38.272973636,0,1
38.273403070,0,0
38.773299740,1,0
38.773729168,1,1
39.273625390,0,1
39.274054372,0,0
39.773951158,1,0
39.774380386,1,1
40.274277032,0,1
40.274706406,0,0
40.774602960,1,0
40.775032338,1,1
41.274928742,0,1
41.275357540,0,0
41.775254380,1,0
41.775683796,1,1
42.275580080,0,1
42.276009456,0,0
42.775906186,1,0
42.776335968,1,1
43.276231694,0,1
43.276660218,0,0
43.776557888,1,0
43.776987144,1,1
44.276883644,0,1
44.277313326,0,0
44.777209396,1,0
44.777638732,1,1
45.277535170,0,1
45.277963776,0,0
45.777860716,1,0
45.778290182,1,1
46.278186834,0,1
46.278616380,0,0
46.778512626,1,0
46.778941878,1,1
47.278838224,0,1
47.279266932,0,0
47.779163982,1,0
47.779593686,1,1
48.279489844,0,1
48.279919046,0,0
48.779815634,1,0
48.780244968,1,1
49.280141532,0,1
49.280570212,0,0
49.780467286,1,0
49.780896852,1,1
50.280792854,0,1
50.281221968,0,0
50.781118670,1,0
50.781548012,1,1
51.281444440,0,1
51.281873128,0,0
51.781770252,1,0
51.782199796,1,1
52.282096130,0,1
52.282525770,0,0
52.782422020,1,0
52.782850380,1,1
53.282747814,0,1
53.283177296,0,0
53.783073764,1,0
53.783503124,1,1
54.283399514,0,1
54.283829192,0,0
54.783725158,1,0
54.784153636,1,1
55.284051156,0,1
55.284480432,0,0
55.784376606,1,0
55.784806070,1,1
56.284702698,0,1
56.285132414,0,0
56.785028202,1,0
56.785456744,1,1
57.285354060,0,1
57.285783742,0,0
57.785679970,1,0
57.786109094,1,1
58.286005838,0,1
58.286435286,0,0
58.786331648,1,0
58.786760208,1,1
59.286657502,0,1
59.287087218,0,0
59.786982944,1,0
59.787412090,1,1
60.287308710,0,1
60.287738034,0,0
60.787634664,1,0
60.788063186,1,1
61.287960500,0,1
61.288390244,0,0
61.788286104,1,0
61.788715290,1,1
62.288611874,0,1
62.289041256,0,0
62.788937870,1,0
62.789366708,1,1
63.289263540,0,1
63.289692766,0,0
63.789589444,1,0
63.790018788,1,1
64.289915038,0,1
64.290344416,0,0
64.790241182,1,0
64.790670104,1,1
65.290566826,0,1
65.290996132,0,0
65.790892774,1,0
65.791321986,1,1
66.291218204,0,1
66.291647544,0,0
66.791544158,1,0
66.791972524,1,1
67.291869868,0,1
67.292299224,0,0
67.792195772,1,0
67.792625244,1,1
68.292521582,0,1
68.292951270,0,0
68.792847514,1,0
68.793275888,1,1
69.293173050,0,1
69.293602374,0,0
69.793498848,1,0
69.793928206,1,1
70.293824656,0,1
70.294254442,0,0
70.794150486,1,0
70.794578856,1,1
71.294476326,0,1
71.294905674,0,0
71.794801936,1,0
71.795231544,1,1
72.295127708,0,1
72.295556936,0,0
72.795453800,1,0
72.795882416,1,1
73.295779298,0,1
73.296208766,0,0
73.796105294,1,0
73.796534998,1,1
74.296431170,0,1
74.296860466,0,0
74.796756730,1,0
74.797185180,1,1
75.297082588,0,1
75.297511998,0,0
75.797408348,1,0
75.797838076,1,1
76.297734356,0,1
76.298163660,0,0
76.798060042,1,0
76.798488482,1,1
77.298385884,0,1
77.298815440,0,0
77.798711536,1,0
77.799140768,1,1
78.299037544,0,1
78.299466900,0,0
78.799363106,1,0
78.799791762,1,1
79.299689232,0,1
79.300119026,0,0
79.800014864,1,0
79.800443952,1,1
80.300340784,0,1
80.300770082,0,0
80.800666576,1,0
80.801095292,1,1
81.300992424,0,1
81.301422138,0,0
81.801318082,1,0
81.801747316,1,1
82.301643962,0,1
82.302073402,0,0
82.801969460,1,0
82.802398320,1,1
83.302295528,0,1
83.302724838,0,0
83.802621040,1,0
83.803050434,1,1
84.302946946,0,1
84.303375652,0,0
84.803272978,1,0
84.803702600,1,1
85.303598422,0,1
85.304027604,0,0
85.803924178,1,0
85.804353552,1,1
86.304249942,0,1
86.304678690,0,0
86.804575962,1,0
86.805005080,1,1
87.304901520,0,1
87.305330846,0,0
87.805227610,1,0
87.805657264,1,1
88.305553380,0,1
88.305981790,0,0
88.805879152,1,0
88.806308458,1,1
89.306204866,0,1
89.306634214,0,0
89.806530874,1,0
89.806960514,1,1
90.306856420,0,1
90.307284870,0,0
90.807182304,1,0
90.807611704,1,1
91.307508044,0,1
91.307937346,0,0
91.807833688,1,0
91.808262904,1,1
92.308159460,0,1
92.308588032,0,0
92.808485360,1,0
92.808914922,1,1
93.308811046,0,1
93.309240158,0,0
93.809137176,1,0
93.809566596,1,1
94.309462610,0,1
94.309891416,0,0
94.809788418,1,0
94.810217774,1,1
95.310114356,0,1
95.310543762,0,0
95.810440266,1,0
95.810869436,1,1
96.310765900,0,1
96.311194426,0,0
96.811091570,1,0
96.811521052,1,1
97.311417340,0,1
97.311846582,0,0
97.811743430,1,0
97.812172964,1,1
98.312068928,0,1
98.312497548,0,0
98.812395112,1,0
98.812824694,1,1
99.312720518,0,1
99.313149712,0,0
99.813046336,1,0
99.813475694,1,1
100.313372108,0,1
100.313800646,0,0
100.813697906,1,0
100.814127510,1,1
101.314023692,0,1
101.314452924,0,0
101.814349506,1,0
101.814778890,1,1
102.314675276,0,1
102.315104280,0,0
102.815001324,1,0
102.815430488,1,1
103.315326908,0,1
103.315756434,0,0
103.815652670,1,0
103.816082106,1,1
104.315978706,0,1
104.316407748,0,0
104.816304602,1,0
104.816733898,1,1
105.316630174,0,1
105.317059586,0,0
105.816956026,1,0
105.817385618,1,1
106.317281850,0,1
106.317710774,0,0
106.817607594,1,0
106.818036970,1,1
107.317933200,0,1
107.318362718,0,0
107.818258960,1,0
107.818688734,1,1
108.318584728,0,1
108.319013186,0,0
108.818910908,1,0
108.819340198,1,1
109.319236310,0,1
109.319665864,0,0
109.819562102,1,0
109.819991870,1,1
110.319888158,0,1
110.320316732,0,0
110.820213968,1,0
110.820643302,1,1
111.320539504,0,1
111.320968996,0,0
111.820865526,1,0
111.821294984,1,1
112.321191004,0,1
112.321619604,0,0
112.821517010,1,0
112.821946590,1,1
113.321842554,0,1
113.322271766,0,0
113.822168492,1,0
113.822597134,1,1
114.322494464,0,1
114.322923790,0,0
114.822820230,1,0
114.823249708,1,1
115.323145906,0,1
115.323575284,0,0
115.823471420,1,0
115.823900004,1,1
116.323797528,0,1
116.324226914,0,0
116.824123000,1,0
116.824552182,1,1
117.324448914,0,1
117.324878350,0,0
117.824774494,1,0
117.825203254,1,1
118.325100330,0,1
118.325529634,0,0
118.825426042,1,0
118.825855358,1,1
119.325751794,0,1
119.326181236,0,0
119.826077722,1,0
119.826506640,1,1
120.326403544,0,1
120.326832730,0,0
120.826729300,1,0
120.827158478,1,1
121.327054868,0,1
121.327484502,0,0
121.827380840,1,0
121.827809202,1,1
122.327706482,0,1
122.328135800,0,0
122.828032362,1,0
122.828461684,1,1
123.328357930,0,1
123.328787608,0,0
123.828683950,1,0
123.829112274,1,1
124.329009668,0,1
124.329438912,0,0
124.829335422,1,0
124.829764760,1,1
125.329661308,0,1
125.330090948,0,0
125.829986764,1,0
125.830415116,1,1
126.330312606,0,1
126.330741954,0,0
126.830638358,1,0
126.831068056,1,1
127.330964044,0,1
127.331393222,0,0
127.831289932,1,0
127.831718504,1,1
128.331615660,0,1
128.332045106,0,0
