Time [s],Channel 0,Channel 1
3.095934840,0,0
3.195698444,1,0
3.196151730,1,1
3.295914318,0,1
3.296366484,0,0
3.396129702,1,0
3.396582634,1,1
3.496345592,0,1
3.496797872,0,0
3.596560960,1,0
3.597014178,1,1
3.696776816,0,1
3.697228876,0,0
3.796992550,1,0
3.797445624,1,1
3.897207906,0,1
3.897660180,0,0
3.997423798,1,0
3.997877212,1,1
4.097639162,0,1
4.098091126,0,0
4.197854728,1,0
4.198307732,1,1
4.298070358,0,1
4.298522704,0,0
4.398285982,1,0
4.398738636,1,1
4.498501838,0,1
4.498954040,0,0
4.598717562,1,0
4.599170314,1,1
4.698933090,0,1
4.699385728,0,0
4.799148564,1,0
4.799601526,1,1
4.899364376,0,1
4.899816614,0,0
4.999579942,1,0
5.000033146,1,1
5.099795628,0,1
5.100247974,0,0
5.200010994,1,0
5.200463866,1,1
5.300226846,0,1
5.300679136,0,0
5.400442286,1,0
5.400895434,1,1
5.500657932,0,1
5.501110472,0,0
5.600873696,1,0
5.601326430,1,1
5.701089384,0,1
5.701541608,0,0
5.801304880,1,0
5.801757874,1,1
5.901520600,0,1
5.901973162,0,0
6.001736322,1,0
6.002189244,1,1
6.101951626,0,1
6.102403606,0,0
6.202167380,1,0
6.202620496,1,1
6.302382934,0,1
6.302835568,0,0
6.402598498,1,0
6.403051416,1,1
6.502814124,0,1
6.503266336,0,0
6.603030072,1,0
6.603482860,1,1
6.703245634,0,1
6.703698222,0,0
6.803461040,1,0
6.803913972,1,1
6.903676684,0,1
6.904128908,0,0
7.003892248,1,0
7.004344474,1,1
7.104107934,0,1
7.104559970,0,0
7.204323498,1,0
7.204776492,1,1
7.304539350,0,1
7.304991580,0,0
7.404755014,1,0
7.405208328,1,1
7.504970434,0,1
7.505422430,0,0
7.605186030,1,0
7.605638802,1,1
7.705401624,0,1
7.705853946,0,0
7.805617246,1,0
7.806070494,1,1
7.905832874,0,1
7.906285012,0,0
8.006048536,1,0
8.006501460,1,1
8.106264348,0,1
8.106716470,0,0
8.206480068,1,0
8.206933390,1,1
8.306695428,0,1
8.307147426,0,0
8.406910992,1,0
8.407364054,1,1
8.507126744,0,1
8.507579006,0,0
8.607342282,1,0
8.607795460,1,1
8.707557924,0,1
8.708010004,0,0
8.807773630,1,0
8.808226748,1,1
8.907989338,0,1
8.908441668,0,0
