Time [s],Channel 2,Channel 3
0.000000000,0,0
0.268481280,1,0
0.269906518,1,1
0.368984230,0,1
0.368984236,1,1
0.368984240,0,1
0.370435372,0,0
0.370435376,0,1
0.370435380,0,0
0.469487210,1,0
0.470848428,1,1
0.569987176,0,1
0.569987182,1,1
0.569987186,0,1
0.571129936,0,0
0.571129942,0,1
0.571129946,0,0
0.670489964,1,0
0.671788048,1,1
0.770995754,0,1
0.770995760,1,1
0.770995764,0,1
0.772345062,0,0
0.772345066,0,1
0.772345070,0,0
0.871498366,1,0
0.872848904,1,1
0.972001282,0,1
0.972001288,1,1
0.972001292,0,1
0.973297730,0,0
0.973297736,0,1
0.973297740,0,0
1.072501244,1,0
1.073831974,1,1
1.173003984,0,1
1.173003990,1,1
1.173003994,0,1
1.174304384,0,0
1.174304390,0,1
1.174304394,0,0
1.273509820,1,0
1.274821978,1,1
1.374012360,0,1
1.374012366,1,1
1.374012370,0,1
1.375305788,0,0
1.375305794,0,1
1.375305798,0,0
1.474515320,1,0
1.475827848,1,1
1.575015336,0,1
1.575015340,1,1
1.575015346,0,1
1.576331760,0,0
1.576331766,0,1
1.576331768,0,0
1.675518022,1,0
1.676830334,1,1
1.776023860,0,1
1.776023866,1,1
1.776023870,0,1
1.777552600,0,0
1.777552606,0,1
1.777552610,0,0
1.876526446,1,0
1.877670618,1,1
1.977029144,0,1
1.977029148,1,1
1.977029154,0,1
1.978512236,0,0
1.978512242,0,1
1.978512246,0,0
2.077529320,1,0
2.079041512,1,1
2.178032108,0,1
2.178032114,1,1
2.178032120,0,1
2.179334600,0,0
2.179334606,0,1
2.179334610,0,0
2.278537894,1,0
2.280043546,1,1
2.379040434,0,1
2.379040440,1,1
2.379040444,0,1
2.380413538,0,0
2.380413544,0,1
2.380413546,0,0
2.479543444,1,0
2.480908794,1,1
2.580043358,0,1
2.580043364,1,1
2.580043368,0,1
2.581359570,0,0
2.581359576,0,1
2.581359580,0,0
2.680546092,1,0
2.681689256,1,1
2.781051980,0,1
2.781051986,1,1
2.781051990,0,1
2.782160532,0,0
2.782160538,0,1
2.782160542,0,0
2.881554466,1,0
2.882884892,1,1
2.982057428,0,1
2.982057434,1,1
2.982057438,0,1
2.983354402,0,0
2.983354406,0,1
2.983354410,0,0
3.082557388,1,0
3.083873958,1,1
3.183060176,0,1
3.183060182,1,1
3.183060186,0,1
3.184179962,0,0
3.184179968,0,1
3.184179972,0,0
3.283565960,1,0
3.284931706,1,1
3.384068498,0,1
3.384068504,1,1
3.384068508,0,1
3.385413248,0,0
3.385413254,0,1
3.385413258,0,0
3.484571508,1,0
3.486075472,1,1
3.585071418,0,1
3.585071424,1,1
3.585071430,0,1
3.586406010,0,0
3.586406016,0,1
3.586406020,0,0
3.685574152,1,0
3.686896382,1,1
3.786080040,0,1
3.786080046,1,1
3.786080050,0,1
3.787403090,0,0
3.787403096,0,1
3.787403100,0,0
3.886582522,1,0
3.887873152,1,1
3.987085484,0,1
3.987085490,1,1
3.987085494,0,1
3.988224622,0,0
3.988224628,0,1
3.988224632,0,0
4.087585442,1,0
4.088909046,1,1
4.188088228,0,1
4.188088234,1,1
4.188088238,0,1
4.189582706,0,0
4.189582712,0,1
4.189582716,0,0
4.288594010,1,0
4.289726954,1,1
4.389096546,0,1
4.389096552,1,1
4.389096556,0,1
4.390403964,0,0
4.390403968,0,1
4.390403972,0,0
4.489599554,1,0
4.490744280,1,1
4.590099464,0,1
4.590099468,1,1
4.590099474,0,1
4.591403588,0,0
4.591403594,0,1
4.591403598,0,0
4.690602196,1,0
4.691913026,1,1
4.791108080,0,1
4.791108086,1,1
4.791108090,0,1
4.792412164,0,0
4.792412170,0,1
4.792412174,0,0
4.891610494,1,0
4.892729762,1,1
4.992113520,0,1
4.992113526,1,1
4.992113530,0,1
4.993253418,0,0
4.993253424,0,1
4.993253428,0,0
5.092613476,1,0
5.093942958,1,1
5.193116260,0,1
5.193116266,1,1
5.193116270,0,1
5.194119858,0,0
5.194119862,0,1
5.194119866,0,0
5.293622040,1,0
5.294933998,1,1
5.394124574,0,1
5.394124580,1,1
5.394124584,0,1
5.395268600,0,0
5.395268606,0,1
5.395268610,0,0
5.494627570,1,0
5.495741752,1,1
5.595127486,0,1
5.595127492,1,1
5.595127496,0,1
5.596495712,0,0
5.596495716,0,1
5.596495720,0,0
5.695630216,1,0
5.696992380,1,1
5.796136098,0,1
5.796136104,1,1
5.796136108,0,1
5.797455482,0,0
5.797455488,0,1
5.797455492,0,0
5.896638578,1,0
5.897979750,1,1
5.997141534,0,1
5.997141540,1,1
5.997141546,0,1
5.998243016,0,0
5.998243022,0,1
5.998243026,0,0
6.097641488,1,0
6.099003088,1,1
6.198144272,0,1
6.198144276,1,1
6.198144282,0,1
6.199459008,0,0
6.199459014,0,1
6.199459018,0,0
6.298650050,1,0
6.299951376,1,1
6.399152582,0,1
6.399152588,1,1
6.399152592,0,1
6.400470628,0,0
6.400470634,0,1
6.400470638,0,0
6.499655584,1,0
6.500978178,1,1
6.600155492,0,1
6.600155498,1,1
6.600155502,0,1
6.601537132,0,0
6.601537138,0,1
6.601537142,0,0
6.700658220,1,0
6.702021882,1,1
6.801164100,0,1
6.801164106,1,1
6.801164112,0,1
6.802537968,0,0
6.802537974,0,1
6.802537978,0,0
6.901666580,1,0
6.902969500,1,1
7.002169536,0,1
7.002169540,1,1
7.002169546,0,1
7.003571954,0,0
7.003571958,0,1
7.003571962,0,0
7.102669488,1,0
7.104190454,1,1
7.203172268,0,1
7.203172274,1,1
7.203172278,0,1
7.204518270,0,0
7.204518274,0,1
7.204518278,0,0
7.303678046,1,0
7.304813848,1,1
7.404180576,0,1
7.404180582,1,1
7.404180588,0,1
7.405328966,0,0
7.405328972,0,1
7.405328976,0,0
7.504683580,1,0
7.505783464,1,1
7.605183484,0,1
7.605183490,1,1
7.605183494,0,1
7.606298982,0,0
7.606298988,0,1
7.606298992,0,0
7.705686212,1,0
7.707048886,1,1
7.806192092,0,1
7.806192098,1,1
7.806192102,0,1
7.807511620,0,0
7.807511624,0,1
7.807511628,0,0
7.906694570,1,0
7.907812656,1,1
8.007197524,0,1
8.007197530,1,1
8.007197534,0,1
8.008308714,0,0
8.008308720,0,1
8.008308724,0,0
8.107697476,1,0
8.108833246,1,1
8.208200256,0,1
8.208200262,1,1
8.208200266,0,1
8.209516334,0,0
8.209516338,0,1
8.209516342,0,0
