Time [s],Channel 0,Channel 1
0.000000000,0,0
3.346548708,1,0
3.347184086,1,1
3.846549694,0,1
3.846832730,0,0
4.346563906,1,0
4.346846872,1,1
4.846578120,0,1
4.846860402,0,0
5.346592322,1,0
5.346875206,1,1
5.846606528,0,1
5.846888796,0,0
6.346620722,1,0
6.346903678,1,1
6.846634918,0,1
6.846917196,0,0
7.346649106,1,0
7.346931906,1,1
7.846663294,0,1
7.846945566,0,0
8.346677476,1,0
8.346960402,1,1
8.846691660,0,1
8.846974198,0,0
9.346705838,1,0
9.346988984,1,1
9.846720016,0,1
9.847002470,0,0
10.346734188,1,0
10.347017264,1,1
10.846748360,0,1
10.847030978,0,0
11.346762528,1,0
11.347045514,1,1
11.846776700,0,1
11.847059204,0,0
12.346790866,1,0
12.347073976,1,1
12.846805034,0,1
12.847087608,0,0
13.346819198,1,0
13.347102266,1,1
13.846833366,0,1
13.847115450,0,0
14.346847544,1,0
14.347130628,1,1
14.846861728,0,1
14.847143878,0,0
15.346875904,1,0
15.347158976,1,1
15.846890086,0,1
15.847172260,0,0
16.346904264,1,0
16.347187552,1,1
16.846918444,0,1
16.847200680,0,0
17.346932620,1,0
17.347215796,1,1
17.846946824,0,1
17.847229916,0,0
18.346960994,1,0
18.347244158,1,1
18.846975168,0,1
18.847258278,0,0
19.346989338,1,0
19.347272840,1,1
19.847003512,0,1
19.847286506,0,0
20.347017678,1,0
20.347300998,1,1
20.847031846,0,1
20.847314894,0,0
21.347046010,1,0
21.347329530,1,1
21.847060562,0,1
21.847350454,0,0
22.347074334,1,0
22.347357390,1,1
22.847088482,0,1
22.847370628,0,0
23.347102624,1,0
23.347385638,1,1
23.847116774,0,1
23.847398854,0,0
24.347130918,1,0
24.347414120,1,1
24.847145068,0,1
24.847427372,0,0
25.347159212,1,0
25.347442596,1,1
25.847173364,0,1
25.847455498,0,0
26.347187508,1,0
26.347470442,1,1
26.847201662,0,1
26.847483998,0,0
27.347215812,1,0
27.347498834,1,1
27.847229962,0,1
27.847512344,0,0
28.347244102,1,0
28.347527012,1,1
28.847258246,0,1
28.847540696,0,0
29.347272384,1,0
29.347555422,1,1
29.847286528,0,1
29.847569084,0,0
30.347300668,1,0
30.347583788,1,1
30.847314812,0,1
30.847597282,0,0
31.347328952,1,0
31.347612084,1,1
31.847343092,0,1
31.847625488,0,0
32.347357228,1,0
32.347640320,1,1
32.847371374,0,1
32.847653826,0,0
33.347385514,1,0
33.347668894,1,1
33.847399662,0,1
33.847682624,0,0
34.347413814,1,0
34.347696822,1,1
34.847427970,0,1
34.847711150,0,0
35.347442120,1,0
35.347725056,1,1
35.847456278,0,1
35.847739416,0,0
36.347470436,1,0
36.347753522,1,1
36.847484600,0,1
36.847767732,0,0
37.347498758,1,0
37.347781938,1,1
37.847512918,0,1
37.847796182,0,0
38.347527074,1,0
38.347810088,1,1
38.847541230,0,1
38.847824622,0,0
39.347555380,1,0
39.347838562,1,1
39.847569538,0,1
39.847852992,0,0
40.347583692,1,0
40.347866932,1,1
40.847597852,0,1
40.847881214,0,0
41.347612008,1,0
41.347895090,1,1
41.847625194,0,1
41.847908290,0,0
42.347639168,1,0
42.347922032,1,1
42.847653314,0,1
42.847935582,0,0
43.347667454,1,0
43.347950392,1,1
43.847681598,0,1
43.847964256,0,0
44.347695738,1,0
44.347978686,1,1
44.847709880,0,1
44.847992300,0,0
45.347724018,1,0
45.348007038,1,1
45.847738164,0,1
45.848020732,0,0
46.347752302,1,0
46.348035256,1,1
46.847766448,0,1
46.848049068,0,0
47.347780590,1,0
47.348063492,1,1
47.847794736,0,1
47.848077304,0,0
48.347808880,1,0
48.348091954,1,1
48.847823028,0,1
48.848105114,0,0
49.347837172,1,0
49.348120318,1,1
49.847851320,0,1
49.848133498,0,0
50.347865464,1,0
50.348148524,1,1
50.847879614,0,1
50.848161622,0,0
51.347893760,1,0
51.348176830,1,1
51.847907908,0,1
51.848190072,0,0
52.347922052,1,0
52.348205022,1,1
52.847936198,0,1
52.848218462,0,0
53.347950340,1,0
53.348233612,1,1
53.847964486,0,1
53.848246878,0,0
54.347978644,1,0
54.348261556,1,1
54.847992808,0,1
54.848275156,0,0
55.348006964,1,0
55.348289924,1,1
