Time [s],Channel 0,Channel 1
0.000000000,0,0
51.932328640,1,0
51.933830560,1,1
52.034242400,0,1
52.036065280,0,0
52.136444640,1,0
52.137364800,1,1
52.237746880,0,1
52.239360160,0,0
52.339749120,1,0
52.341155040,1,1
52.441551360,0,1
52.442925280,0,0
52.543353600,1,0
52.544754400,1,1
52.645155840,0,1
52.646353120,0,0
52.746758240,1,0
52.748330720,1,1
52.848660480,0,1
52.850363360,0,0
52.950762720,1,0
52.952483360,1,1
53.052864960,0,1
53.054506720,0,0
53.154867200,1,0
53.156539520,1,1
53.256869600,0,1
53.257790080,0,0
53.358171680,1,0
53.359653760,1,1
53.460074080,0,1
53.461840320,0,0
53.562176320,1,0
53.563952640,1,1
53.664278560,0,1
53.665812160,0,0
53.766180800,1,0
53.767695040,1,1
53.868083040,0,1
53.869017440,0,0
53.969385280,1,0
53.970577120,1,1
54.070987680,0,1
54.072461600,0,0
54.172889920,1,0
54.174413120,1,1
54.274792160,0,1
54.276206560,0,0
54.376594400,1,0
54.378033440,1,1
54.478396640,0,1
54.479787680,0,0
54.580198880,1,0
54.581376480,1,1
54.681801120,0,1
54.683659520,0,0
54.784003360,1,0
54.785375360,1,1
54.885705760,0,1
54.887044000,0,0
54.987408000,1,0
54.988853120,1,1
55.089210240,0,1
55.090616480,0,0
55.191012480,1,0
55.192521440,1,1
55.292914720,0,1
55.294305920,0,0
55.394716960,1,0
55.396194080,1,1
55.496619200,0,1
55.498171200,0,0
55.598521600,1,0
55.599966560,1,1
55.700323840,0,1
55.701824000,0,0
55.802226080,1,0
55.803890400,1,1
55.904228320,0,1
55.905918720,0,0
56.006330560,1,0
56.007750880,1,1
56.108132960,0,1
56.109717920,0,0
56.210135040,1,0
56.211518720,1,1
56.311937440,0,1
56.313503520,0,0
56.413839680,1,0
56.414777920,1,1
56.515141920,0,1
56.516842080,0,0
56.617244160,1,0
56.618169120,1,1
56.718546400,0,1
56.720025600,0,0
56.820448640,1,0
56.822138720,1,1
56.922551040,0,1
56.923963200,0,0
57.024354240,1,0
57.025542080,1,1
57.125956480,0,1
57.127371840,0,0
57.227757760,1,0
57.228892960,1,1
57.329260000,0,1
57.330828320,0,0
57.431162240,1,0
57.432620800,1,1
57.532964480,0,1
57.534871200,0,0
57.635266880,1,0
57.636671520,1,1
57.737069120,0,1
57.738510720,0,0
57.838871360,1,0
57.840402080,1,1
57.940773600,0,1
57.942329440,0,0
58.042675840,1,0
58.044136960,1,1
58.144478080,0,1
58.145638720,0,0
58.245981600,1,0
58.247610240,1,1
58.347982560,0,1
58.349344320,0,0
58.449684960,1,0
58.451201440,1,1
58.551587200,0,1
58.553200000,0,0
58.653589440,1,0
58.654953920,1,1
58.755291680,0,1
58.756403040,0,0
58.856793920,1,0
58.858269920,1,1
58.958696160,0,1
58.960097760,0,0
59.060498400,1,0
59.061910880,1,1
59.162300640,0,1
59.163967360,0,0
59.264403040,1,0
59.265887520,1,1
59.366305280,0,1
59.367688960,0,0
59.468107520,1,0
59.470248160,1,1
59.570609760,0,1
59.572076480,0,0
59.672512160,1,0
