Time [s],Channel 0,Channel 1
0.000000000,0,1
0.433278868,0,0
1.433299304,0,1
2.433319734,0,0
3.429162852,1,0
3.433340190,1,1
4.224534380,0,1
4.433360582,0,0
5.224552776,1,0
5.433380904,1,1
6.224571200,0,1
6.420874996,0,0
7.224593566,1,0
7.438053230,1,1
8.224607952,0,1
8.466631236,0,0
9.224626288,1,0
9.474706848,1,1
10.224644614,0,1
10.476045810,0,0
11.224662964,1,0
11.477274904,1,1
12.224681252,0,1
12.479074212,0,0
13.224699576,1,0
13.481299238,1,1
14.224720696,0,1
14.483527314,0,0
15.224736212,1,0
15.485795870,1,1
16.224754454,0,1
16.488046916,0,0
17.224772758,1,0
17.490250346,1,1
18.224791010,0,1
18.492461574,0,0
19.224809294,1,0
19.494666590,1,1
20.224827522,0,1
20.496879848,0,0
21.224845792,1,0
21.498384774,1,1
22.224864016,0,1
22.500900270,0,0
23.224882282,1,0
23.502799534,1,1
24.224900506,0,1
24.505330462,0,0
25.224918774,1,0
25.507983730,1,1
26.224936992,0,1
26.510234164,0,0
27.224962946,1,0
27.511720162,1,1
28.224973490,0,1
28.514274248,0,0
29.224998394,1,0
29.443492436,1,1
30.225009960,0,1
30.378097402,0,0
31.225028172,1,0
31.384215106,1,1
32.225046442,0,1
32.394886632,0,0
33.225064706,1,0
33.397673978,1,1
34.225083106,0,1
34.398937938,0,0
35.225101524,1,0
35.400961998,1,1
36.225119740,0,1
36.403733700,0,0
37.225137728,1,0
37.406190402,1,1
38.225156368,0,1
38.408204182,0,0
38.613811200,0,0
