Time [s],Channel 0,Channel 1
0.000000000,0,0
6.294658730,1,0
6.375044962,1,1
6.416661010,1,0
6.428950454,0,0
6.545305912,1,0
6.547970060,1,1
6.667238204,1,0
6.669594336,0,0
6.791557374,0,1
6.803899038,1,1
6.918220430,0,1
6.920891554,0,0
7.040185840,0,1
7.042528748,1,1
7.164483950,1,0
7.166827362,0,0
7.276121904,1,0
7.278786362,1,1
7.388079886,1,0
7.400411720,0,0
7.513921422,1,0
7.516575124,1,1
7.633218968,0,1
7.635833542,0,0
7.755204812,0,1
7.757558418,1,1
7.879481562,1,0
7.881835706,0,0
7.991144614,1,0
7.993840674,1,1
8.100442394,0,1
8.103133488,0,0
8.226525050,0,1
8.228840176,1,1
8.350820900,1,0
8.353136196,0,0
8.472439436,1,0
8.475127252,1,1
8.591781072,0,1
8.594472686,0,0
8.711082012,1,0
8.713744080,1,1
8.830372906,0,1
8.833057930,0,0
8.949662968,1,0
8.952339030,1,1
9.071630322,1,0
9.073956570,0,0
9.183257126,1,0
9.185927414,1,1
9.305209720,1,0
9.312544184,0,0
9.434553108,0,1
9.436894772,1,1
9.556198700,0,1
9.558858424,0,0
9.670485696,1,0
9.673132790,1,1
9.792437498,1,0
9.799781688,0,0
9.911717448,0,1
9.924037498,1,1
10.050124542,1,0
10.057474458,0,0
10.179423860,0,1
10.181770336,1,1
10.303772084,1,0
10.311121804,0,0
10.433068662,0,1
10.440417564,1,1
10.562363936,1,0
10.569713332,0,0
10.679005860,1,0
10.681642426,1,1
10.800948816,1,0
10.808303560,0,0
10.917577812,1,0
10.920275582,1,1
11.039576288,1,0
11.046887978,0,0
11.156237958,1,0
11.158932822,1,1
11.279644948,0,1
11.282334928,0,0
11.398939850,1,0
11.401630234,1,1
11.518234216,0,1
11.520923022,0,0
11.637528794,1,0
11.640196520,1,1
11.756824042,0,1
11.759507426,0,0
11.878775140,0,1
11.881086894,1,1
12.003137496,1,0
12.005454542,0,0
12.127429336,0,1
12.134755334,1,1
12.244047782,0,1
12.246730932,0,0
12.366020304,0,1
12.368369866,1,1
12.490315184,1,0
12.497667072,0,0
12.606959606,1,0
12.609612122,1,1
12.721261912,0,1
12.723891834,0,0
12.843167998,0,1
12.845515118,1,1
12.964849034,0,1
12.967495136,0,0
13.084143224,1,0
13.086794592,1,1
13.203494690,0,1
13.206185580,0,0
13.325414276,0,1
13.332756954,1,1
13.452055910,0,1
13.454714414,0,0
13.574046702,0,1
13.576397010,1,1
13.698322548,1,0
13.705694990,0,0
13.827637936,0,1
13.834988864,1,1
13.949297554,0,1
13.951945724,0,0
14.071240886,0,1
14.073598418,1,1
14.187901150,0,1
14.190590248,0,0
14.312186572,1,0
14.314857536,1,1
14.434174438,1,0
14.436509894,0,0
14.555814418,1,0
14.558481378,1,1
14.675107512,0,1
14.677757862,0,0
14.794456070,1,0
14.797124252,1,1
14.913832208,0,1
14.916494530,0,0
15.033140956,1,0
15.035802244,1,1
15.152438858,0,1
15.155100220,0,0
15.271733212,1,0
15.274394758,1,1
15.393724586,1,0
15.396045572,0,0
15.518015448,0,1
15.520340528,1,1
15.634643722,0,1
15.637300716,0,0
15.756605220,0,1
15.763932926,1,1
15.873210188,0,1
15.875885564,0,0
15.982568420,1,0
15.985244484,1,1
16.104530752,1,0
16.111869122,0,0
16.223833048,0,1
16.236144818,1,1
16.354670506,0,1
16.357329786,0,0
16.476616788,0,1
16.478958034,1,1
16.600906598,1,0
16.603253534,0,0
16.725180476,0,1
16.732551662,1,1
16.841878648,0,1
16.844528504,0,0
16.956188618,1,0
16.958837764,1,1
17.078128024,1,0
17.080485768,0,0
17.199790272,1,0
17.202479686,1,1
17.319084554,0,1
17.321768504,0,0
17.433377342,1,0
17.436057256,1,1
17.555337540,1,0
17.557659866,0,0
17.677021920,1,0
17.679679594,1,1
17.791308404,0,1
17.793987444,0,0
17.913258564,0,1
17.915583488,1,1
18.029900506,0,1
18.032570448,0,0
18.151866526,0,1
18.154191216,1,1
18.276148142,1,0
18.278486514,0,0
18.397837518,1,0
18.400501846,1,1
18.507228744,0,1
18.509887914,0,0
18.629147724,0,1
18.636525710,1,1
18.758463976,1,0
18.765821682,0,0
18.887739722,0,1
18.895099024,1,1
19.009413982,0,1
19.012057314,0,0
19.131345758,0,1
19.133703340,1,1
19.248053882,0,1
19.250747162,0,0
19.370034764,0,1
19.372347064,1,1
19.491651578,0,1
19.494335890,0,0
19.613619400,0,1
19.615937218,1,1
19.725232142,0,1
19.727907618,0,0
19.847165970,0,1
19.854495072,1,1
19.976490572,1,0
19.983818182,0,0
20.093170234,1,0
20.095842424,1,1
20.205130950,1,0
20.217464402,0,0
20.343623472,0,1
20.345962950,1,1
20.460259946,0,1
20.462927756,0,0
20.579551336,1,0
20.582213916,1,1
20.698857756,0,1
20.701501682,0,0
20.813145538,1,0
20.815812868,1,1
20.935134802,1,0
20.937474032,0,0
21.056794248,1,0
21.059451162,1,1
21.171080926,0,1
21.173736754,0,0
21.293018440,0,1
21.295374116,1,1
21.409676904,0,1
21.412323340,0,0
21.531651594,0,1
21.533963994,1,1
21.655979270,1,0
21.658312506,0,0
21.777617606,1,0
21.780298656,1,1
21.899665924,1,0
21.901984194,0,0
22.021302920,1,0
22.023984278,1,1
22.143266644,1,0
22.145591990,0,0
22.264896314,1,0
22.267573606,1,1
22.386857506,1,0
22.389180044,0,0
22.511200768,0,1
22.513530118,1,1
22.632834492,0,1
22.635465676,0,0
22.754785014,0,1
22.757120416,1,1
22.879064506,1,0
22.881397588,0,0
23.003373108,0,1
23.010710212,1,1
23.132670934,1,0
23.140008716,0,0
23.261967738,0,1
23.264300558,1,1
23.386316114,1,0
23.388650464,0,0
23.497945540,1,0
23.500618050,1,1
23.619910492,1,0
23.627247780,0,0
23.749198438,0,1
23.751535670,1,1
23.873472862,1,0
23.875813000,0,0
23.987781532,0,1
24.000125116,1,1
24.126271428,1,0
24.128623946,0,0
24.240622148,0,1
24.252975254,1,1
24.379158644,1,0
24.381471342,0,0
24.500776258,1,0
24.503465840,1,1
24.622747548,1,0
24.625061788,0,0
24.747038034,0,1
24.749357602,1,1
24.871311686,1,0
24.873634872,0,0
