Time [s],Channel 0,Channel 1
0.000000000,0,0
23.323288480,1,0
23.323709760,1,1
23.324024320,0,1
23.324368800,0,0
23.325112000,1,0
23.325863680,0,0
23.326358080,1,0
23.326441120,1,1
23.326645120,1,0
23.326676480,1,1
23.327002400,0,1
23.327437280,0,0
23.328060640,1,0
23.328856000,0,0
23.329356160,1,0
23.329443360,1,1
23.329475360,1,0
23.329722880,1,1
23.330337280,0,1
23.331218400,1,1
23.331787360,0,1
23.331806080,0,0
23.331838080,0,1
23.332174240,0,0
23.332710880,1,0
23.332988160,1,1
23.333404640,0,1
23.333749120,0,0
23.334406560,1,0
23.334872480,1,1
23.334888800,0,1
23.335383680,1,1
23.335826080,1,0
23.335858080,1,1
23.336085760,0,1
23.336363520,0,0
23.337104960,1,0
23.337526080,1,1
23.338146080,0,1
23.338646720,0,0
23.338662880,1,0
23.339297120,0,0
23.339739840,0,1
23.339772000,0,0
23.339832480,1,0
23.340109600,1,1
23.340212960,0,1
23.340489920,0,0
23.340613600,1,0
23.340890880,1,1
23.341014240,0,1
23.341291840,0,0
23.342011040,1,0
23.342432160,1,1
23.343052160,0,1
23.343518560,0,0
23.343534720,1,0
23.343955520,0,0
23.344443680,0,1
23.344475840,0,0
23.344660160,1,0
23.345075840,0,0
23.345504160,1,0
23.345766560,1,1
23.345799520,1,0
23.345830880,1,1
23.345925920,0,1
23.346247840,0,0
23.346445440,1,0
23.346722400,1,1
23.346821600,0,1
23.347099040,0,0
23.347521920,1,0
23.347866400,1,1
23.347923360,0,1
23.348200160,0,0
23.348324000,1,0
23.348607360,1,1
23.349444800,0,1
23.349865440,0,0
23.350485920,1,0
23.350951520,1,1
23.350967840,0,1
23.351383680,1,1
23.351832320,1,0
23.351864480,1,1
23.352393280,0,1
23.353408160,1,1
23.353819680,1,0
23.354036640,0,0
23.354044960,0,1
23.354313440,0,0
23.354430240,1,0
23.354713600,1,1
23.354965440,0,1
23.355243040,0,0
23.355631040,1,0
23.355975520,1,1
23.356633280,0,1
23.357099360,0,0
23.357115680,1,0
23.357577600,1,1
23.357644640,0,1
23.358648640,1,1
23.358925920,1,0
23.359155040,1,1
23.359747360,0,1
23.360213600,0,0
23.360229920,1,0
23.360648320,0,0
23.361135520,0,1
23.361167680,0,0
23.361652160,1,0
23.362364800,0,0
23.362926560,1,0
23.362951680,1,1
23.362983680,1,0
23.363203680,1,1
23.363346080,0,1
23.363668000,0,0
23.363872480,1,0
23.364149760,1,1
23.364836640,0,1
23.365257440,0,0
23.365878240,1,0
23.366344640,1,1
23.366360800,0,1
23.366781600,1,1
23.367269440,1,0
23.367301440,1,1
23.367486080,0,1
23.368198400,1,1
23.368693920,0,1
23.368718720,0,0
23.368750880,0,1
23.368971840,0,0
23.369052480,1,0
23.369374240,1,1
23.369874880,0,1
23.370219840,0,0
23.370248960,1,0
23.370526400,1,1
23.370800640,0,1
23.371077600,0,0
23.371148960,1,0
23.371425760,1,1
23.372145760,0,1
23.372566240,0,0
23.372582880,1,0
23.372859840,1,1
23.373257120,0,1
23.373647200,0,0
23.373672640,1,0
23.374093920,0,0
23.374581760,0,1
23.374613920,0,0
23.375094880,1,0
23.375805440,0,0
23.376367200,1,0
23.376392320,1,1
23.376424480,1,0
23.376644800,1,1
23.376762560,0,1
23.377084480,0,0
23.377588320,1,0
23.377933280,1,1
23.378261440,0,1
23.378650880,0,0
23.378676960,1,0
23.379139680,0,0
23.379582080,0,1
23.379614240,0,0
23.380267520,1,0
23.380688960,1,1
23.381009120,0,1
23.381409120,0,0
23.381424960,1,0
23.381891840,0,0
23.382334080,0,1
23.382366240,0,0
23.382423680,1,0
23.382701280,1,1
23.383063040,0,1
23.383407520,0,0
23.384065600,1,0
23.384531840,1,1
23.384547680,0,1
23.385008000,1,1
23.385450400,1,0
23.385482400,1,1
23.385966880,0,1
23.386677120,1,1
23.387245440,0,1
23.387264160,0,0
23.387296320,0,1
23.387568160,0,0
23.387771360,1,0
23.388048320,1,1
23.388468640,0,1
23.388813600,0,0
23.389470880,1,0
23.389936640,1,1
23.389953120,0,1
23.390413280,1,1
23.390773920,0,1
23.390856000,0,0
23.390888000,0,1
23.391182400,1,1
23.391573120,0,1
23.391625120,0,0
23.391657280,0,1
23.391861280,0,0
23.391973760,1,0
23.392251520,1,1
23.392374400,0,1
23.392651360,0,0
23.393371040,1,0
23.393792320,1,1
23.394412480,0,1
23.394879200,0,0
23.394895040,1,0
23.395360640,0,0
23.395803680,0,1
23.395835840,0,0
23.396491680,1,0
23.396913600,1,1
23.396929280,0,1
23.397206240,0,0
23.397286400,1,0
23.397608000,1,1
23.397809280,0,1
23.398086720,0,0
23.398777120,1,0
23.399197600,1,1
23.399214240,0,1
23.399497440,0,0
23.400041280,1,0
23.400395520,1,1
23.400412160,0,1
23.400689120,0,0
23.400797600,1,0
23.401202400,0,0
23.401645280,0,1
23.401677440,0,0
23.401885280,1,0
23.402230080,1,1
23.402286720,0,1
23.402564160,0,0
23.402815360,1,0
23.403092800,1,1
23.403187840,0,1
23.403464800,0,0
23.403888160,1,0
23.404233120,1,1
23.404289600,0,1
23.404567200,0,0
23.404696320,1,0
23.405018080,1,1
23.405811840,0,1
23.406233120,0,0
23.406852960,1,0
23.407319040,1,1
23.407334880,0,1
23.407756800,1,1
23.408162720,0,1
23.408244960,0,0
23.408277120,0,1
23.408571840,1,1
23.409014720,1,0
23.409046720,1,1
23.409591200,0,1
23.410012320,0,0
23.410028480,1,0
23.410305760,1,1
23.410396960,0,1
23.410674560,0,0
23.411224960,1,0
23.411569440,1,1
23.411599200,0,1
23.411876480,0,0
23.412005760,1,0
23.412328160,1,1
23.412525280,0,1
23.412802240,0,0
23.413200000,1,0
23.413544960,1,1
23.414202080,0,1
23.414668000,0,0
23.414684160,1,0
23.415144640,0,0
23.415587360,0,1
23.415619520,0,0
23.415803840,1,0
23.416512160,0,0
23.417007680,1,0
23.417022720,1,1
23.417054880,1,0
23.417284640,1,1
23.417411360,0,1
23.417732800,0,0
23.417934080,1,0
23.418211680,1,1
23.418902560,0,1
23.419323360,0,0
23.419644000,1,0
23.420044320,1,1
23.420060160,0,1
23.420527360,1,1
23.420969760,1,0
23.421001760,1,1
23.421358880,0,1
23.421704320,0,0
23.422032160,1,0
23.422431200,1,1
23.422448160,0,1
23.422911840,1,1
23.423354720,1,0
23.423386880,1,1
23.423743360,0,1
23.424088000,0,0
23.424117120,1,0
23.424394400,1,1
23.424514560,0,1
23.424792000,0,0
23.424921760,1,0
23.425243520,1,1
23.425441280,0,1
23.425718400,0,0
23.425816320,1,0
23.426093600,1,1
23.426516640,0,1
23.426861120,0,0
23.426918080,1,0
23.427195040,1,1
23.427318720,0,1
23.427602240,0,0
23.428143200,1,0
23.428487680,1,1
23.428817120,0,1
23.429162080,0,0
23.429226880,1,0
23.429549280,1,1
23.429759520,0,1
23.430081280,0,0
23.430577920,1,0
23.430932320,1,1
23.431548960,0,1
23.432015040,0,0
23.432031360,1,0
23.432445760,0,0
23.432934080,0,1
23.432966240,0,0
23.433150080,1,0
23.433861120,0,0
23.434356640,1,0
23.434371520,1,1
23.434403680,1,0
23.434633920,1,1
23.434727840,0,1
23.435055520,0,0
23.435256800,1,0
23.435534080,1,1
23.435928640,0,1
23.436272960,0,0
23.436924800,1,0
23.437352960,1,1
23.437413120,0,1
23.437872640,1,1
23.438233440,0,1
23.438315040,0,0
23.438347200,0,1
23.438941440,1,1
23.439369760,0,1
23.439384800,0,0
23.439416960,0,1
23.439646880,0,0
23.439740800,1,0
23.440062880,1,1
23.440856000,0,1
23.441276480,0,0
23.441897280,1,0
23.442362880,1,1
23.442687040,0,1
23.443318560,1,1
23.443746400,0,1
23.443828960,0,0
23.444042240,0,1
23.444075040,0,0
23.444570880,1,0
23.444915680,1,1
23.445541920,0,1
23.446007840,0,0
23.446024000,1,0
23.446486240,1,1
23.446508320,0,1
23.446830720,0,0
23.447031040,1,0
23.447308160,1,1
23.447442400,0,1
23.447719200,0,0
23.447843040,1,0
23.448120320,1,1
23.448243680,0,1
23.448521120,0,0
23.449240320,1,0
23.449661600,1,1
23.449975840,0,1
23.450320480,0,0
23.450396320,1,0
23.450862880,0,0
23.451304960,0,1
23.451337120,0,0
23.451394720,1,0
23.451672640,1,1
23.451748160,0,1
23.452025120,0,0
23.452448480,1,0
23.452793280,1,1
23.452849920,0,1
23.453127360,0,0
23.453250560,1,0
23.453527360,1,1
23.453657280,0,1
23.453978880,0,0
23.454476160,1,0
23.454821120,1,1
23.454852800,0,1
23.455129760,0,0
23.455253440,1,0
23.455530240,1,1
23.456098400,0,1
23.456443520,0,0
23.456468800,1,0
23.456745600,1,1
23.456855680,0,1
23.457132640,0,0
23.457417280,1,0
23.457694720,1,1
23.457756800,0,1
23.458034400,0,0
23.458457120,1,0
23.458801440,1,1
23.459459360,0,1
23.459925600,0,0
23.459941760,1,0
23.460403680,1,1
23.460425920,0,1
23.460748320,0,0
23.461544480,1,0
23.461955200,1,1
23.462585280,0,1
23.463051200,0,0
23.463067680,1,0
23.463485440,0,0
23.463973280,0,1
23.464005440,0,0
23.464189920,1,0
23.464901120,0,0
23.465396640,1,0
23.465411680,1,1
23.465443680,1,0
23.465674400,1,1
23.465771680,0,1
23.466093440,0,0
23.466294720,1,0
23.466571360,1,1
23.467262880,0,1
23.467683360,0,0
23.467700000,1,0
23.467983040,1,1
23.468227680,0,1
23.468505120,0,0
23.468568960,1,0
23.468852800,1,1
23.469565760,0,1
23.469986720,0,0
23.470002880,1,0
23.470280480,1,1
23.470377760,0,1
23.470699840,0,0
23.470900800,1,0
23.471177440,1,1
23.471868640,0,1
23.472289280,0,0
23.472609920,1,0
23.473010240,1,1
23.473026240,0,1
23.473493440,1,1
23.473936160,1,0
23.473968320,1,1
23.474025600,0,1
23.474302880,0,0
23.474376320,1,0
23.474653760,1,1
23.474777120,0,1
23.475054720,0,0
23.475177600,1,0
23.475454560,1,1
23.476174400,0,1
23.476595520,0,0
23.476611520,1,0
23.476888480,1,1
23.477285760,0,1
23.477675520,0,0
23.477701280,1,0
23.478122560,0,0
23.478528800,1,0
23.478610720,1,1
23.478642880,1,0
23.479233760,0,0
23.479661760,1,0
23.479676480,1,1
23.479708640,1,0
23.479938720,1,1
23.480219360,0,1
23.480496480,0,0
23.480585120,1,0
23.480862560,1,1
23.481285440,0,1
23.481629920,0,0
23.481686880,1,0
23.481963680,1,1
23.482215360,0,1
23.482492800,0,0
23.482588000,1,0
23.482865440,1,1
23.483288320,0,1
23.483632800,0,0
