Time [s],Channel 0,Channel 1
0.000000000,0,0
18.731936160,1,0
18.732212320,1,1
18.732523360,0,1
18.732863520,0,0
18.733308320,1,0
18.733710880,1,1
18.734293600,0,1
18.734768320,0,0
18.735519680,1,0
18.736056960,1,1
18.736992960,0,1
18.737591360,0,0
18.738712480,1,0
18.739373280,1,1
18.740678560,0,1
18.741401760,0,0
18.742891680,1,0
18.743676960,1,1
18.745351520,0,1
18.746199680,0,0
18.748057920,1,0
18.748968640,1,1
18.751011520,0,1
18.751984160,0,0
18.754211520,1,0
18.755246720,1,1
18.757658560,0,1
18.758755360,0,0
18.761352320,1,0
18.762511360,1,1
18.765292800,0,1
18.766514240,0,0
18.769480160,1,0
18.770763840,1,1
18.773914240,0,1
18.775260960,0,0
18.778595200,1,0
18.780003840,1,1
18.783522720,0,1
18.784993760,0,0
18.788697120,1,0
18.790230400,1,1
18.794118080,0,1
18.795713120,0,0
18.799786080,1,0
18.801443360,1,1
18.805700800,0,1
18.807420320,0,0
18.811862080,1,0
18.813643840,1,1
18.818270080,0,1
18.820115040,0,0
18.824925280,1,0
18.826832480,1,1
18.831827040,0,1
18.833796160,0,0
18.838975360,1,0
18.841007520,1,1
18.846371360,0,1
18.848464640,0,0
18.854013440,1,0
18.856168960,1,1
18.861902240,0,1
18.864120640,0,0
18.870038400,1,0
18.872318720,1,1
18.878420800,0,1
18.880763680,0,0
18.887049920,1,0
18.889454240,1,1
18.889467360,0,1
18.889744000,0,0
18.890048000,1,0
18.890387520,1,1
18.890832960,0,1
18.891234720,0,0
18.891817920,1,0
18.892291520,1,1
18.893042880,0,1
18.893578880,0,0
18.894514560,1,0
18.895113120,1,1
18.896232640,0,1
18.896893440,0,0
18.898197280,1,0
18.898920640,1,1
18.900408640,0,1
18.901194560,0,0
18.902866880,1,0
18.903713920,1,1
18.905571200,0,1
18.906480800,0,0
18.908522240,1,0
18.909493920,1,1
18.911719840,0,1
18.912753760,0,0
18.915163840,1,0
18.916260480,1,1
18.918854400,0,1
18.920013760,0,0
18.922791840,1,0
18.924013760,1,1
18.926976160,0,1
18.928260000,0,0
18.931406560,1,0
18.932751680,1,1
18.936083360,0,1
18.937490560,0,0
18.941006400,1,0
18.942476480,1,1
18.946176640,0,1
18.947708320,0,0
18.951592800,1,0
18.953187680,1,1
18.957256000,0,1
18.958913120,0,0
18.963165600,1,0
18.964884800,1,1
18.969321760,0,1
18.971103520,0,0
18.975724640,1,0
18.977568160,1,1
18.982374240,0,1
18.984279520,0,0
18.989270080,1,0
18.991237760,1,1
18.996412320,0,1
18.998442400,0,0
19.003801280,1,0
19.005894560,1,1
19.011437280,0,1
19.013592320,0,0
19.019319360,1,0
19.021536480,1,1
19.027447840,0,1
19.029727360,0,0
19.035823040,1,0
19.038164160,1,1
19.044444640,0,1
19.046848160,0,0
19.046861760,1,0
19.047137760,1,1
19.047472800,0,1
19.047812960,0,0
19.048257760,1,0
19.048660000,1,1
19.049242720,0,1
19.049716800,0,0
19.050467680,1,0
19.051004320,1,1
19.051939360,0,1
19.052537440,0,0
19.053657440,1,0
19.054317920,1,1
19.055622240,0,1
19.056344960,0,0
19.057833600,1,0
19.058618720,1,1
19.060291520,0,1
19.061139360,0,0
19.062995840,1,0
19.063905920,1,1
19.065946880,0,1
19.066919040,0,0
19.069144320,1,0
19.070178720,1,1
19.072588160,0,1
19.073684480,0,0
19.076278720,1,0
19.077437440,1,1
19.080216320,0,1
19.081437440,0,0
19.084400640,1,0
19.085683840,1,1
19.088831040,0,1
19.090176960,0,0
19.093508000,1,0
19.094915680,1,1
19.098431200,0,1
19.099901440,0,0
19.103601440,1,0
19.105134080,1,1
19.109017920,0,1
19.110612480,0,0
19.114681280,1,0
19.116337760,1,1
19.120591040,0,1
19.122309760,0,0
19.126747200,1,0
19.128528640,1,1
19.133150400,0,1
19.134994400,0,0
19.139799680,1,0
19.141705440,1,1
19.146695520,0,1
19.148663520,0,0
19.153837760,1,0
19.155868640,1,1
