Time [s],Channel 0,Channel 1
0.000000000,0,0
23.312054880,1,0
23.312841280,1,1
23.313778560,0,1
23.314378880,0,0
23.314392320,1,0
23.314668800,1,1
23.314780640,0,1
23.315056960,0,0
23.317580960,1,0
23.318680640,1,1
23.319617120,0,1
23.320216640,0,0
23.325584960,1,0
23.327683520,1,1
23.327697440,0,1
23.327973920,0,0
23.328084160,1,0
23.328360480,1,1
23.330698720,0,1
23.331736320,0,0
23.334332640,1,0
23.335493920,1,1
23.335508320,0,1
23.335785280,0,0
23.335886880,1,0
23.336163680,1,1
23.339608000,0,1
23.341020320,0,0
23.345092160,1,0
23.346752800,1,1
23.346767200,0,1
23.347044000,0,0
23.347189600,1,0
23.347466560,1,1
23.352017280,0,1
23.353803680,0,0
23.358244800,1,0
23.360030240,1,1
23.360044640,0,1
23.360321440,0,0
23.360392320,1,0
23.360669280,1,1
23.360792960,0,1
23.361069440,0,0
23.362669920,1,0
23.363456640,1,1
23.367344640,0,1
23.368943360,0,0
23.368957280,1,0
23.369233760,1,1
23.369295680,0,1
23.369572160,0,0
23.372279200,1,0
23.373440480,1,1
23.376037440,0,1
23.377199520,0,0
23.377213280,1,0
23.377489920,1,1
23.377598400,0,1
23.377874720,0,0
23.383532640,1,0
23.385692960,1,1
23.389949920,0,1
23.391672960,0,0
23.391687360,1,0
23.391963840,1,1
23.392101280,0,1
23.392378080,0,0
23.395453600,1,0
23.396740320,1,1
23.401918400,0,1
23.403953760,0,0
23.407657920,1,0
23.409193920,1,1
23.409208160,0,1
23.409484960,0,0
23.409604800,1,0
23.409881600,1,1
23.412772640,0,1
23.413997280,0,0
23.416593440,1,0
23.417755200,1,1
23.417769120,0,1
23.418045920,0,0
23.418107520,1,0
23.418383840,1,1
23.422381920,0,1
23.423981280,0,0
23.426946080,1,0
23.428233120,1,1
23.428246720,0,1
23.428523040,0,0
23.428610240,1,0
23.428886400,1,1
23.434913600,0,1
23.437199680,0,0
23.441455840,1,0
23.443179520,1,1
23.443193440,0,1
23.443470400,0,0
23.443612960,1,0
23.443889440,1,1
23.444013760,0,1
23.444290080,0,0
23.450132320,1,0
23.452355520,1,1
23.456612160,0,1
23.458335200,0,0
23.458349760,1,0
23.458626560,1,1
23.458716480,0,1
23.458993440,0,0
23.460408960,1,0
23.461133920,1,1
23.464652160,0,1
23.466126080,0,0
23.466140000,1,0
23.466416480,1,1
23.466519200,0,1
23.466795520,0,0
23.469318080,1,0
23.470417920,1,1
23.475964800,0,1
23.478125600,0,0
23.478139520,1,0
23.478416480,1,1
23.478521920,0,1
23.478798400,0,0
23.478922560,1,0
23.479199040,1,1
23.483381440,0,1
23.485041920,0,0
23.485241440,1,0
23.485581760,1,1
23.485624800,0,1
23.485901760,0,0
23.486025280,1,0
23.486301760,1,1
23.491590720,0,1
23.493626080,0,0
23.499727040,1,0
23.502075520,1,1
23.502089440,0,1
23.502365920,0,0
23.502428160,1,0
23.502704320,1,1
23.507255840,0,1
