Time [s],Channel 0,Channel 1
0.000000000,0,0
20.758304320,1,0
20.758582400,1,1
20.759356960,0,1
20.759724800,0,0
20.760044000,1,0
20.760321760,1,1
20.760555840,0,1
20.760833920,0,0
20.761323840,1,0
20.761600800,1,1
20.762440320,0,1
20.762717120,0,0
20.763123680,1,0
20.763446560,1,1
20.763547680,0,1
20.763825280,0,0
20.764080480,1,0
20.764357760,1,1
20.764554560,0,1
20.764832000,0,0
20.765514080,1,0
20.765791040,1,1
20.765959200,0,1
20.766237280,0,0
20.766317600,1,0
20.766594400,1,1
20.767333280,0,1
20.767609920,0,0
20.768583520,1,0
20.768861280,1,1
20.769166720,0,1
20.769539680,1,1
20.769983200,1,0
20.770015360,1,1
20.770582720,0,1
20.770859680,0,0
20.771521280,1,0
20.771798720,1,1
20.771966400,0,1
20.772243840,0,0
20.772360640,1,0
20.772638080,1,1
20.773005280,0,1
20.773282560,0,0
20.774024480,1,0
20.774301280,1,1
20.774469440,0,1
20.774747680,0,0
20.774828320,1,0
20.775105280,1,1
20.775360960,0,1
20.775637600,0,0
20.775835680,1,0
20.776112800,1,1
20.776229920,0,1
20.776507520,0,0
20.776630560,1,0
20.776907520,1,1
20.777031200,0,1
20.777307840,0,0
20.778030240,1,0
20.778307520,1,1
20.778475360,0,1
20.778752800,0,0
20.779141280,1,0
20.779463520,1,1
20.779564480,0,1
20.779841760,0,0
20.780049760,1,0
20.780332640,1,1
20.780574400,0,1
20.780851840,0,0
20.781238400,1,0
20.781515840,1,1
20.781637440,0,1
20.781914720,0,0
20.782044000,1,0
20.782366240,1,1
20.783161600,0,1
20.783439200,0,0
20.783606400,1,0
20.783884320,1,1
20.784040320,0,1
20.784317760,0,0
20.784447040,1,0
20.784768640,1,1
20.785568000,0,1
20.785844800,0,0
20.786619680,1,0
20.786942080,1,1
20.787110080,0,1
20.787388000,0,0
20.787646880,1,0
20.787924000,1,1
20.788124960,0,1
20.788401920,0,0
20.788847360,1,0
20.789124640,1,1
20.789850720,0,1
20.790172960,0,0
20.790341280,1,0
20.790619200,1,1
20.790829280,0,1
20.791151040,0,0
20.791351680,1,0
20.791628640,1,1
20.792347520,0,1
20.792624640,0,0
20.792792640,1,0
20.793069920,1,1
20.793157440,0,1
20.793479840,0,0
20.794278400,1,0
20.794556000,1,1
20.794723680,0,1
20.795001280,0,0
20.795153280,1,0
20.795430720,1,1
20.795560160,0,1
20.795881760,0,0
20.796083040,1,0
20.796360000,1,1
20.797053280,0,1
20.797330560,0,0
20.797498400,1,0
20.797775840,1,1
20.797856800,0,1
20.798134240,0,0
20.798272480,1,0
20.798549920,1,1
20.798750560,0,1
20.799027200,0,0
20.799158560,1,0
20.799435360,1,1
20.799559200,0,1
20.799836640,0,0
20.799959840,1,0
20.800237280,1,1
20.800958720,0,1
20.801235680,0,0
20.801403840,1,0
20.801681920,1,1
20.801762240,0,1
20.802039200,0,0
20.802327520,1,0
20.802604640,1,1
20.803261600,0,1
20.803538720,0,0
20.803706720,1,0
20.803984000,1,1
20.804372160,0,1
20.804694560,0,0
