Time [s],Channel 0,Channel 1
0.000000000,0,0
10.519389600,1,0
10.519666240,1,1
10.519979200,0,1
10.520256000,0,0
10.520764320,1,0
10.521040960,1,1
10.521753440,0,1
10.522031040,0,0
10.522990560,1,0
10.523268160,1,1
10.524473920,0,1
10.524751040,0,0
10.526204160,1,0
10.526481440,1,1
10.528181280,0,1
10.528458080,0,0
10.530404960,1,0
10.530681920,1,1
10.532875520,0,1
10.533153120,0,0
10.535592960,1,0
10.535869920,1,1
10.538557120,0,1
10.538834560,0,0
10.541767840,1,0
10.542045440,1,1
10.545225440,0,1
10.545502240,0,0
10.548929920,1,0
10.549207360,1,1
10.552880960,0,1
10.553157920,0,0
10.557078720,1,0
10.557355840,1,1
10.561523840,0,1
10.561801280,0,0
10.566216160,1,0
10.566492960,1,1
10.571154720,0,1
10.571432320,0,0
10.576339680,1,0
10.576617280,1,1
10.581771520,0,1
10.582048480,0,0
10.587449920,1,0
10.587727360,1,1
10.593375200,0,1
10.593652160,0,0
10.599547200,1,0
10.599824160,1,1
10.605966400,0,1
10.606243840,0,0
10.612632000,1,0
10.612908960,1,1
10.619545120,0,1
10.619822560,0,0
10.626704000,1,0
10.626981600,1,1
10.634109920,0,1
10.634387040,0,0
10.641762880,1,0
10.642040160,1,1
10.649662400,0,1
10.649939200,0,0
10.657808640,1,0
10.658085600,1,1
10.666201600,0,1
10.666479040,0,0
10.674841280,1,0
10.675118080,1,1
10.677266880,0,1
10.677544000,0,0
10.677803840,1,0
10.678080160,1,1
10.678588800,0,1
10.678865920,0,0
10.679577920,1,0
10.679854400,1,1
10.680813600,0,1
10.681090240,0,0
10.682295680,1,0
10.682572960,1,1
10.684024960,0,1
10.684301600,0,0
10.686000000,1,0
10.686276960,1,1
10.688221920,0,1
10.688499200,0,0
10.690690400,1,0
10.690967200,1,1
10.693405280,0,1
10.693682400,0,0
10.696366720,1,0
10.696643520,1,1
10.699574880,0,1
10.699851360,0,0
10.703029600,1,0
10.703306720,1,1
10.706730560,0,1
10.707007200,0,0
10.710678080,1,0
10.710955200,1,1
10.714872480,0,1
10.715149600,0,0
10.719313280,1,0
10.719589920,1,1
10.724000640,0,1
10.724277760,0,0
10.728934720,1,0
10.729211040,1,1
10.734114880,0,1
10.734391520,0,0
10.739541920,1,0
10.739819040,1,1
10.745215680,0,1
10.745492320,0,0
10.751135680,1,0
10.751412800,1,1
10.757302400,0,1
10.757579520,0,0
10.763715520,1,0
10.763992160,1,1
10.770375360,0,1
10.770652480,0,0
10.777282080,1,0
10.777558560,1,1
10.784434880,0,1
10.784711520,0,0
10.791834720,1,0
10.792111840,1,1
10.799480960,0,1
10.799757600,0,0
10.807373600,1,0
10.807650560,1,1
10.815512640,0,1
10.815789760,0,0
10.823898560,1,0
10.824175360,1,1
10.832530880,0,1
10.832808000,0,0
10.834956000,1,0
10.835239200,1,1
10.835528640,0,1
10.835805280,0,0
10.836313760,1,0
10.836590400,1,1
10.837302720,0,1
10.837580000,0,0
10.838538400,1,0
10.838815520,1,1
10.840020640,0,1
10.840297120,0,0
10.841749760,1,0
10.842026880,1,1
10.843724800,0,1
10.844001440,0,0
10.845946720,1,0
10.846223200,1,1
10.848415040,0,1
10.848692000,0,0
10.851129760,1,0
10.851406560,1,1
10.854091200,0,1
10.854368640,0,0
10.857299200,1,0
10.857576480,1,1
10.860753760,0,1
10.861030240,0,0
10.864454720,1,0
10.864731840,1,1
10.868402240,0,1
10.868678720,0,0
10.872596480,1,0
10.872872960,1,1
10.877037280,0,1
10.877314400,0,0
10.881724640,1,0
10.882001280,1,1
10.886658560,0,1
10.886935840,0,0
10.891838880,1,0
10.892116000,1,1
10.897265920,0,1
10.897542560,0,0
10.902939680,1,0
10.903216800,1,1
10.908859840,0,1
10.909136480,0,0
10.915026880,1,0
10.915303200,1,1
10.921440160,0,1
10.921717120,0,0
10.928099840,1,0
10.928376640,1,1
10.935006720,0,1
10.935284000,0,0
10.942159680,1,0
10.942436800,1,1
10.949559360,0,1
10.949836000,0,0
10.957205600,1,0
10.957482880,1,1
10.965098240,0,1
10.965374880,0,0
10.973237440,1,0
10.973513760,1,1
10.981623200,0,1
10.981900480,0,0
10.990255520,1,0
10.990532160,1,1
10.992680480,0,1
10.992957920,0,0
10.993253600,1,0
10.993529440,1,1
10.994038560,0,1
10.994315680,0,0
10.995027520,1,0
10.995304320,1,1
10.996263200,0,1
10.996539840,0,0
10.997745280,1,0
10.998022240,1,1
10.999474400,0,1
10.999751200,0,0
11.001449600,1,0
11.001726880,1,1
11.003671520,0,1
11.003948800,0,0
11.006140000,1,0
11.006416640,1,1
11.008854720,0,1
